"Year","Subject group HECoS","Detailed subject group HECoS","POLAR4 Quintile","Main scheme applicant","Main scheme application","Accepted applicants"
"2020","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","Quintile 2","Main scheme applicant","Main scheme application","25"
"2021","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","Quintile 2","Main scheme applicant","Main scheme application","35"
"2022","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","Quintile 2","Main scheme applicant","Main scheme application","35"
"2023","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","Quintile 2","Main scheme applicant","Main scheme application","25"
"2019","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Quintile 2","Main scheme applicant","Main scheme application","75"
"2020","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Quintile 2","Main scheme applicant","Main scheme application","65"
"2021","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Quintile 2","Main scheme applicant","Main scheme application","80"
"2022","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Quintile 2","Main scheme applicant","Main scheme application","70"
"2023","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Quintile 2","Main scheme applicant","Main scheme application","55"
"2019","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Quintile 2","Main scheme applicant","Main scheme application","275"
"2020","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Quintile 2","Main scheme applicant","Main scheme application","260"
"2021","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Quintile 2","Main scheme applicant","Main scheme application","315"
"2022","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Quintile 2","Main scheme applicant","Main scheme application","300"
"2023","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Quintile 2","Main scheme applicant","Main scheme application","310"
"2019","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","270"
"2020","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","280"
"2021","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","355"
"2022","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","245"
"2023","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","285"
"2019","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","470"
"2020","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","425"
"2021","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","410"
"2022","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","360"
"2023","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","365"
"2019","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 2","Main scheme applicant","Main scheme application","255"
"2020","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 2","Main scheme applicant","Main scheme application","280"
"2021","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 2","Main scheme applicant","Main scheme application","315"
"2022","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 2","Main scheme applicant","Main scheme application","320"
"2023","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 2","Main scheme applicant","Main scheme application","270"
"2019","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 2","Main scheme applicant","Main scheme application","70"
"2020","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 2","Main scheme applicant","Main scheme application","75"
"2021","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 2","Main scheme applicant","Main scheme application","75"
"2022","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 2","Main scheme applicant","Main scheme application","75"
"2023","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 2","Main scheme applicant","Main scheme application","80"
"2019","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Quintile 2","Main scheme applicant","Main scheme application","10"
"2020","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Quintile 2","Main scheme applicant","Main scheme application","10"
"2021","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Quintile 2","Main scheme applicant","Main scheme application","10"
"2022","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Quintile 2","Main scheme applicant","Main scheme application","10"
"2023","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Quintile 2","Main scheme applicant","Main scheme application","5"
"2019","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 2","Main scheme applicant","Main scheme application","235"
"2020","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 2","Main scheme applicant","Main scheme application","235"
"2021","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 2","Main scheme applicant","Main scheme application","295"
"2022","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 2","Main scheme applicant","Main scheme application","265"
"2023","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 2","Main scheme applicant","Main scheme application","225"
"2019","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","Quintile 2","Main scheme applicant","Main scheme application","15"
"2020","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","Quintile 2","Main scheme applicant","Main scheme application","10"
"2021","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","Quintile 2","Main scheme applicant","Main scheme application","10"
"2022","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","Quintile 2","Main scheme applicant","Main scheme application","5"
"2023","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","Quintile 2","Main scheme applicant","Main scheme application","5"
"2019","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 2","Main scheme applicant","Main scheme application","475"
"2020","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 2","Main scheme applicant","Main scheme application","515"
"2021","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 2","Main scheme applicant","Main scheme application","575"
"2022","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 2","Main scheme applicant","Main scheme application","570"
"2023","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 2","Main scheme applicant","Main scheme application","520"
"2019","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Quintile 2","Main scheme applicant","Main scheme application","15"
"2020","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Quintile 2","Main scheme applicant","Main scheme application","20"
"2021","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Quintile 2","Main scheme applicant","Main scheme application","10"
"2022","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Quintile 2","Main scheme applicant","Main scheme application","20"
"2023","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Quintile 2","Main scheme applicant","Main scheme application","15"
"2019","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 2","Main scheme applicant","Main scheme application","285"
"2020","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 2","Main scheme applicant","Main scheme application","330"
"2021","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 2","Main scheme applicant","Main scheme application","325"
"2022","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 2","Main scheme applicant","Main scheme application","310"
"2023","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 2","Main scheme applicant","Main scheme application","255"
"2019","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 2","Main scheme applicant","Main scheme application","75"
"2020","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 2","Main scheme applicant","Main scheme application","70"
"2021","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 2","Main scheme applicant","Main scheme application","75"
"2022","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 2","Main scheme applicant","Main scheme application","60"
"2023","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 2","Main scheme applicant","Main scheme application","70"
"2019","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 2","Main scheme applicant","Main scheme application","25"
"2020","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 2","Main scheme applicant","Main scheme application","25"
"2021","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 2","Main scheme applicant","Main scheme application","25"
"2022","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 2","Main scheme applicant","Main scheme application","30"
"2023","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 2","Main scheme applicant","Main scheme application","20"
"2019","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 2","Main scheme applicant","Main scheme application","135"
"2020","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 2","Main scheme applicant","Main scheme application","150"
"2021","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 2","Main scheme applicant","Main scheme application","175"
"2022","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 2","Main scheme applicant","Main scheme application","160"
"2023","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 2","Main scheme applicant","Main scheme application","170"
"2019","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","820"
"2020","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","935"
"2021","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","1205"
"2022","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","895"
"2023","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","995"
"2019","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","35"
"2020","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","50"
"2021","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","45"
"2022","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","45"
"2023","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","40"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Quintile 2","Main scheme applicant","Main scheme application","1135"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Quintile 2","Main scheme applicant","Main scheme application","1045"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Quintile 2","Main scheme applicant","Main scheme application","1090"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Quintile 2","Main scheme applicant","Main scheme application","1020"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Quintile 2","Main scheme applicant","Main scheme application","975"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Quintile 2","Main scheme applicant","Main scheme application","110"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Quintile 2","Main scheme applicant","Main scheme application","95"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Quintile 2","Main scheme applicant","Main scheme application","85"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Quintile 2","Main scheme applicant","Main scheme application","120"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Quintile 2","Main scheme applicant","Main scheme application","115"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","Quintile 2","Main scheme applicant","Main scheme application","80"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","Quintile 2","Main scheme applicant","Main scheme application","85"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","Quintile 2","Main scheme applicant","Main scheme application","100"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","Quintile 2","Main scheme applicant","Main scheme application","120"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","Quintile 2","Main scheme applicant","Main scheme application","120"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","Quintile 2","Main scheme applicant","Main scheme application","55"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","Quintile 2","Main scheme applicant","Main scheme application","60"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","Quintile 2","Main scheme applicant","Main scheme application","65"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","Quintile 2","Main scheme applicant","Main scheme application","70"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","Quintile 2","Main scheme applicant","Main scheme application","80"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Quintile 2","Main scheme applicant","Main scheme application","270"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Quintile 2","Main scheme applicant","Main scheme application","270"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Quintile 2","Main scheme applicant","Main scheme application","295"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Quintile 2","Main scheme applicant","Main scheme application","280"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Quintile 2","Main scheme applicant","Main scheme application","300"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Quintile 2","Main scheme applicant","Main scheme application","100"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Quintile 2","Main scheme applicant","Main scheme application","105"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Quintile 2","Main scheme applicant","Main scheme application","85"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Quintile 2","Main scheme applicant","Main scheme application","95"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Quintile 2","Main scheme applicant","Main scheme application","80"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","Quintile 2","Main scheme applicant","Main scheme application","5"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","Quintile 2","Main scheme applicant","Main scheme application","5"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","Quintile 2","Main scheme applicant","Main scheme application","5"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","Quintile 2","Main scheme applicant","Main scheme application","5"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","Quintile 2","Main scheme applicant","Main scheme application","5"
"2019","(CAH11) computing","(CAH11-01-08) others in computing","Quintile 2","Main scheme applicant","Main scheme application","195"
"2020","(CAH11) computing","(CAH11-01-08) others in computing","Quintile 2","Main scheme applicant","Main scheme application","205"
"2021","(CAH11) computing","(CAH11-01-08) others in computing","Quintile 2","Main scheme applicant","Main scheme application","170"
"2022","(CAH11) computing","(CAH11-01-08) others in computing","Quintile 2","Main scheme applicant","Main scheme application","150"
"2023","(CAH11) computing","(CAH11-01-08) others in computing","Quintile 2","Main scheme applicant","Main scheme application","155"
"2019","(CAH11) computing","(CAH11-01-05) artificial intelligence","Quintile 2","Main scheme applicant","Main scheme application","35"
"2020","(CAH11) computing","(CAH11-01-05) artificial intelligence","Quintile 2","Main scheme applicant","Main scheme application","40"
"2021","(CAH11) computing","(CAH11-01-05) artificial intelligence","Quintile 2","Main scheme applicant","Main scheme application","45"
"2022","(CAH11) computing","(CAH11-01-05) artificial intelligence","Quintile 2","Main scheme applicant","Main scheme application","60"
"2023","(CAH11) computing","(CAH11-01-05) artificial intelligence","Quintile 2","Main scheme applicant","Main scheme application","75"
"2019","(CAH11) computing","(CAH11-01-07) business computing","Quintile 2","Main scheme applicant","Main scheme application","125"
"2020","(CAH11) computing","(CAH11-01-07) business computing","Quintile 2","Main scheme applicant","Main scheme application","115"
"2021","(CAH11) computing","(CAH11-01-07) business computing","Quintile 2","Main scheme applicant","Main scheme application","120"
"2022","(CAH11) computing","(CAH11-01-07) business computing","Quintile 2","Main scheme applicant","Main scheme application","110"
"2023","(CAH11) computing","(CAH11-01-07) business computing","Quintile 2","Main scheme applicant","Main scheme application","85"
"2019","(CAH11) computing","(CAH11-01-06) computer games and animation","Quintile 2","Main scheme applicant","Main scheme application","855"
"2020","(CAH11) computing","(CAH11-01-06) computer games and animation","Quintile 2","Main scheme applicant","Main scheme application","870"
"2021","(CAH11) computing","(CAH11-01-06) computer games and animation","Quintile 2","Main scheme applicant","Main scheme application","860"
"2022","(CAH11) computing","(CAH11-01-06) computer games and animation","Quintile 2","Main scheme applicant","Main scheme application","930"
"2023","(CAH11) computing","(CAH11-01-06) computer games and animation","Quintile 2","Main scheme applicant","Main scheme application","960"
"2019","(CAH11) computing","(CAH11-01-01) computer science","Quintile 2","Main scheme applicant","Main scheme application","1545"
"2020","(CAH11) computing","(CAH11-01-01) computer science","Quintile 2","Main scheme applicant","Main scheme application","1645"
"2021","(CAH11) computing","(CAH11-01-01) computer science","Quintile 2","Main scheme applicant","Main scheme application","1685"
"2022","(CAH11) computing","(CAH11-01-01) computer science","Quintile 2","Main scheme applicant","Main scheme application","1760"
"2023","(CAH11) computing","(CAH11-01-01) computer science","Quintile 2","Main scheme applicant","Main scheme application","1840"
"2019","(CAH11) computing","(CAH11-01-02) information technology","Quintile 2","Main scheme applicant","Main scheme application","135"
"2020","(CAH11) computing","(CAH11-01-02) information technology","Quintile 2","Main scheme applicant","Main scheme application","130"
"2021","(CAH11) computing","(CAH11-01-02) information technology","Quintile 2","Main scheme applicant","Main scheme application","120"
"2022","(CAH11) computing","(CAH11-01-02) information technology","Quintile 2","Main scheme applicant","Main scheme application","115"
"2023","(CAH11) computing","(CAH11-01-02) information technology","Quintile 2","Main scheme applicant","Main scheme application","80"
"2019","(CAH11) computing","(CAH11-01-03) information systems","Quintile 2","Main scheme applicant","Main scheme application","75"
"2020","(CAH11) computing","(CAH11-01-03) information systems","Quintile 2","Main scheme applicant","Main scheme application","90"
"2021","(CAH11) computing","(CAH11-01-03) information systems","Quintile 2","Main scheme applicant","Main scheme application","85"
"2022","(CAH11) computing","(CAH11-01-03) information systems","Quintile 2","Main scheme applicant","Main scheme application","80"
"2023","(CAH11) computing","(CAH11-01-03) information systems","Quintile 2","Main scheme applicant","Main scheme application","80"
"2019","(CAH11) computing","(CAH11-01-04) software engineering","Quintile 2","Main scheme applicant","Main scheme application","445"
"2020","(CAH11) computing","(CAH11-01-04) software engineering","Quintile 2","Main scheme applicant","Main scheme application","490"
"2021","(CAH11) computing","(CAH11-01-04) software engineering","Quintile 2","Main scheme applicant","Main scheme application","565"
"2022","(CAH11) computing","(CAH11-01-04) software engineering","Quintile 2","Main scheme applicant","Main scheme application","640"
"2023","(CAH11) computing","(CAH11-01-04) software engineering","Quintile 2","Main scheme applicant","Main scheme application","650"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Quintile 2","Main scheme applicant","Main scheme application","170"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Quintile 2","Main scheme applicant","Main scheme application","155"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Quintile 2","Main scheme applicant","Main scheme application","190"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Quintile 2","Main scheme applicant","Main scheme application","190"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Quintile 2","Main scheme applicant","Main scheme application","185"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Quintile 2","Main scheme applicant","Main scheme application","115"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Quintile 2","Main scheme applicant","Main scheme application","125"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Quintile 2","Main scheme applicant","Main scheme application","145"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Quintile 2","Main scheme applicant","Main scheme application","150"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Quintile 2","Main scheme applicant","Main scheme application","135"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","Quintile 2","Main scheme applicant","Main scheme application","230"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","Quintile 2","Main scheme applicant","Main scheme application","195"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","Quintile 2","Main scheme applicant","Main scheme application","245"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","Quintile 2","Main scheme applicant","Main scheme application","235"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","Quintile 2","Main scheme applicant","Main scheme application","235"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","115"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","120"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","110"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","95"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","120"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 2","Main scheme applicant","Main scheme application","240"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 2","Main scheme applicant","Main scheme application","210"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 2","Main scheme applicant","Main scheme application","230"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 2","Main scheme applicant","Main scheme application","215"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 2","Main scheme applicant","Main scheme application","250"
"2019","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 2","Main scheme applicant","Main scheme application","400"
"2020","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 2","Main scheme applicant","Main scheme application","410"
"2021","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 2","Main scheme applicant","Main scheme application","445"
"2022","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 2","Main scheme applicant","Main scheme application","430"
"2023","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 2","Main scheme applicant","Main scheme application","430"
"2019","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","75"
"2020","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","70"
"2021","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","70"
"2022","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","105"
"2023","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","150"
"2019","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","55"
"2020","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","45"
"2021","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","65"
"2022","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","60"
"2023","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","40"
"2019","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 2","Main scheme applicant","Main scheme application","505"
"2020","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 2","Main scheme applicant","Main scheme application","520"
"2021","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 2","Main scheme applicant","Main scheme application","505"
"2022","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 2","Main scheme applicant","Main scheme application","430"
"2023","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 2","Main scheme applicant","Main scheme application","485"
"2019","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 2","Main scheme applicant","Main scheme application","70"
"2020","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 2","Main scheme applicant","Main scheme application","80"
"2021","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 2","Main scheme applicant","Main scheme application","95"
"2022","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 2","Main scheme applicant","Main scheme application","90"
"2023","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 2","Main scheme applicant","Main scheme application","85"
"2019","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 2","Main scheme applicant","Main scheme application","445"
"2020","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 2","Main scheme applicant","Main scheme application","470"
"2021","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 2","Main scheme applicant","Main scheme application","525"
"2022","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 2","Main scheme applicant","Main scheme application","435"
"2023","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 2","Main scheme applicant","Main scheme application","450"
"2019","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","10"
"2020","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","5"
"2021","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","5"
"2022","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","10"
"2023","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","Quintile 2","Main scheme applicant","Main scheme application","5"
"2019","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 2","Main scheme applicant","Main scheme application","390"
"2020","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 2","Main scheme applicant","Main scheme application","450"
