"Year","Subject group HECoS","Detailed subject group HECoS","POLAR4 Quintile","Main scheme applicant","Main scheme application","Accepted applicants"
"2022","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Unknown","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Unknown","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Unknown","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Unknown","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Unknown","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","Unknown","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","Unknown","Not main scheme applicant","Not main scheme application","15"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","Unknown","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","Unknown","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","Unknown","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","25"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","Not main scheme applicant","Not main scheme application","45"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","Not main scheme applicant","Not main scheme application","30"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","Unknown","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","Unknown","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","25"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH19) language and area studies","(CAH19-01-05) creative writing","Unknown","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH19) language and area studies","(CAH19-01-05) creative writing","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH19) language and area studies","(CAH19-01-05) creative writing","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH19) language and area studies","(CAH19-01-03) literature in English","Unknown","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH19) language and area studies","(CAH19-01-03) literature in English","Unknown","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","Unknown","Not main scheme applicant","Not main scheme application","20"
"2022","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","Unknown","Not main scheme applicant","Not main scheme application","15"
"2023","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH23) combined and general studies","(CAH23-01-02) personal development","Unknown","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH23) combined and general studies","(CAH23-01-02) personal development","Unknown","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH17) business and management","(CAH17-01-03) marketing","Unknown","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH17) business and management","(CAH17-01-03) marketing","Unknown","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH17) business and management","(CAH17-01-03) marketing","Unknown","Not main scheme applicant","Not main scheme application","55"
"2022","(CAH17) business and management","(CAH17-01-03) marketing","Unknown","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH17) business and management","(CAH17-01-03) marketing","Unknown","Not main scheme applicant","Not main scheme application","40"
"2019","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","20"
"2020","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","50"
"2022","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","15"
"2023","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","40"
"2019","(CAH17) business and management","(CAH17-01-02) business studies","Unknown","Not main scheme applicant","Not main scheme application","20"
"2020","(CAH17) business and management","(CAH17-01-02) business studies","Unknown","Not main scheme applicant","Not main scheme application","30"
"2021","(CAH17) business and management","(CAH17-01-02) business studies","Unknown","Not main scheme applicant","Not main scheme application","1175"
"2022","(CAH17) business and management","(CAH17-01-02) business studies","Unknown","Not main scheme applicant","Not main scheme application","55"
"2023","(CAH17) business and management","(CAH17-01-02) business studies","Unknown","Not main scheme applicant","Not main scheme application","1090"
"2019","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Unknown","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Unknown","Not main scheme applicant","Not main scheme application","25"
"2021","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Unknown","Not main scheme applicant","Not main scheme application","215"
"2022","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Unknown","Not main scheme applicant","Not main scheme application","15"
"2023","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Unknown","Not main scheme applicant","Not main scheme application","75"
"2021","(CAH17) business and management","(CAH17-01-05) human resource management","Unknown","Not main scheme applicant","Not main scheme application","30"
"2022","(CAH17) business and management","(CAH17-01-05) human resource management","Unknown","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH17) business and management","(CAH17-01-05) human resource management","Unknown","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH17) business and management","(CAH17-01-04) management studies","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH17) business and management","(CAH17-01-04) management studies","Unknown","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH17) business and management","(CAH17-01-04) management studies","Unknown","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH17) business and management","(CAH17-01-04) management studies","Unknown","Not main scheme applicant","Not main scheme application","25"
"2019","(CAH17) business and management","(CAH17-01-08) accounting","Unknown","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH17) business and management","(CAH17-01-08) accounting","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH17) business and management","(CAH17-01-08) accounting","Unknown","Not main scheme applicant","Not main scheme application","20"
"2022","(CAH17) business and management","(CAH17-01-08) accounting","Unknown","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH17) business and management","(CAH17-01-08) accounting","Unknown","Not main scheme applicant","Not main scheme application","15"
"2019","(CAH17) business and management","(CAH17-01-07) finance","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH17) business and management","(CAH17-01-07) finance","Unknown","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH17) business and management","(CAH17-01-07) finance","Unknown","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH17) business and management","(CAH17-01-07) finance","Unknown","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH15) social sciences","(CAH15-03-01) politics","Unknown","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH15) social sciences","(CAH15-03-01) politics","Unknown","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH15) social sciences","(CAH15-03-01) politics","Unknown","Not main scheme applicant","Not main scheme application","5"
