"Year","Predicted A level points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","6 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","6 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2020","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2021","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2017","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2019","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2021","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2012","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2014","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2015","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.909","5"
"2019","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.9520000000000001","5"
"2021","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2010","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2012","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2013","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2020","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","30","30","1","5"
"2021","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2022","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2012","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2014","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2016","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2019","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.786","0"
"2020","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","35","30","0.9390000000000001","5"
"2021","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","13 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","13 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","13 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","13 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2016","13 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","13 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","13 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","13 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","13 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.895","0"
"2021","13 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","13 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","13 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","14 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","14 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","14 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","14 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","14 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2021","14 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","14 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","15 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","15 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","15 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","15 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","15 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.875","5"
"2021","15 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","15 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2020","16 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","17 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2016","4 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","5 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","5 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","6 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","6 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","6 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","6 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","6 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","6 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","6 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","7 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","7 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","7 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","7 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","7 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","15","10","0.923","0"
"2021","7 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","7 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","7 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2012","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2013","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2021","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2014","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2015","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2018","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","25","25","1","5"
"2021","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10","0.909","5"
"2012","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2020","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","25","25","1","5"
"2021","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2022","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2020","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","25","25","1","10"
"2021","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10","0.909","5"
"2010","12 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","12 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","12 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","12 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","12 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","12 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","12 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","12 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","12 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","12 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","25","25","0.9580000000000001","5"
"2021","12 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","12 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","12 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","13 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","13 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","13 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","13 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","13 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","13 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","13 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2020","13 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","20","20","0.909","5"
"2021","13 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","13 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","13 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","14 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","14 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","14 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","14 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","14 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2021","14 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","14 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","14 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","15 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","15 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2021","15 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","16 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","3 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","3 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","3 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","3 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","3 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","3 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","3 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2013","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","10","10","1","0"
"2021","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","10","10","1","0"
"2023","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2010","5 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","40","30","0.775","0"
"2011","5 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","55","45","0.804","0"
"2012","5 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","25","20","0.8260000000000001","0"
"2013","5 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","15","10","0.8","0"
"2014","5 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","15","10","0.8","0"
"2015","5 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2016","5 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","5 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","10","10","1","0"
"2018","5 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2019","5 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","20","15","0.778","0"
"2020","5 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","15","15","1","0"
"2021","5 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","20","15","0.8","0"
"2022","5 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","20","10","0.611","0"
"2023","5 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","15","15","0.9410000000000001","0"
"2010","6 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","130","110","0.845","0"
"2011","6 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","120","90","0.754","0"
"2012","6 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","85","75","0.88","0"
"2013","6 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","70","65","0.928","0"
"2014","6 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","50","45","0.863","0"
"2015","6 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","40","40","0.9520000000000001","0"
"2016","6 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","40","35","0.895","0"
"2017","6 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","55","50","0.891","0"
"2018","6 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","35","35","1","0"
"2019","6 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","60","55","0.918","0"
"2020","6 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","45","45","0.979","0"
"2021","6 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","50","45","0.904","0"
"2022","6 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","80","75","0.926","0"
"2023","6 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","55","50","0.86","0"
"2010","6 point(s)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","6 point(s)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","7 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","7 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","7 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","295","245","0.834","0"
"2011","7 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","285","215","0.753","0"
"2012","7 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","180","145","0.794","0"
"2013","7 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","150","130","0.868","0"
"2014","7 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","105","90","0.874","0"
"2015","7 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","145","130","0.917","0"
"2016","7 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","125","115","0.913","0"
"2017","7 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","125","110","0.887","0"
"2018","7 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","100","90","0.908","0"
"2019","7 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","115","105","0.9390000000000001","0"
"2020","7 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","105","100","0.962","0"
"2021","7 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","105","95","0.9420000000000001","0"
"2022","7 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","125","120","0.929","0"
"2023","7 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","145","130","0.916","0"
"2010","7 point(s)","18","Wales","Female","Main scheme applicant","Not main scheme application","15","15","0.933","0"
"2011","7 point(s)","18","Wales","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","7 point(s)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","7 point(s)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","7 point(s)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","7 point(s)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","7 point(s)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","7 point(s)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","8 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","8 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","8 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2013","8 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","8 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","8 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","8 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","8 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","8 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","8 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","500","400","0.8","0"
"2011","8 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","575","470","0.8170000000000001","0"
"2012","8 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","395","330","0.845","0"
"2013","8 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","330","300","0.9","0"
"2014","8 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","275","240","0.873","0"
"2015","8 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","280","260","0.926","0"
"2016","8 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","265","240","0.902","0"
"2017","8 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","240","215","0.9","0"
"2018","8 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","215","195","0.911","0"
"2019","8 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","175","165","0.9430000000000001","0"
"2020","8 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","195","185","0.934","0"
"2021","8 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","195","180","0.9380000000000001","0"
