"Year","POLAR4 Quintile","Age group","Domicile","Gender","Self-released","Applied after self-releasing","Placed after self-releasing"
"2020","Quintile 5","18","Scotland","Male","110","80","80"
"2021","Quintile 5","18","Scotland","Male","80","30","30"
"2022","Quintile 5","18","Scotland","Male","115","55","50"
"2023","Quintile 5","18","Scotland","Male","155","80","80"
"2019","Quintile 5","18","Wales","Male","60","40","40"
"2020","Quintile 5","18","Wales","Male","70","55","55"
"2021","Quintile 5","18","Wales","Male","55","40","40"
"2022","Quintile 5","18","Wales","Male","80","45","45"
"2023","Quintile 5","18","Wales","Male","80","45","45"
"2019","Unknown","19","England","Male","5","0","0"
"2019","Quintile 1","19","Northern Ireland","Male","5","0","0"
"2020","Quintile 1","19","Northern Ireland","Male","15","10","10"
"2021","Quintile 1","19","Northern Ireland","Male","5","0","0"
"2023","Quintile 1","19","Northern Ireland","Male","10","5","5"
"2019","Quintile 1","19","England","Male","140","110","110"
"2020","Quintile 1","19","England","Male","185","150","145"
"2021","Quintile 1","19","England","Male","150","105","100"
"2022","Quintile 1","19","England","Male","160","105","100"
"2023","Quintile 1","19","England","Male","170","115","105"
"2020","Quintile 1","19","Scotland","Male","5","5","5"
"2021","Quintile 1","19","Scotland","Male","5","0","0"
"2022","Quintile 1","19","Scotland","Male","5","0","0"
"2019","Quintile 1","19","Wales","Male","15","15","15"
"2020","Quintile 1","19","Wales","Male","10","10","10"
"2021","Quintile 1","19","Wales","Male","15","5","5"
"2022","Quintile 1","19","Wales","Male","10","10","10"
"2023","Quintile 1","19","Wales","Male","10","5","5"
"2019","Quintile 2","19","Northern Ireland","Male","10","5","5"
"2020","Quintile 2","19","Northern Ireland","Male","10","5","5"
"2023","Quintile 2","19","Northern Ireland","Male","5","0","0"
"2019","Quintile 2","19","England","Male","190","155","150"
"2020","Quintile 2","19","England","Male","240","195","195"
"2021","Quintile 2","19","England","Male","215","160","155"
"2022","Quintile 2","19","England","Male","225","155","155"
"2023","Quintile 2","19","England","Male","275","175","170"
"2019","Quintile 2","19","Scotland","Male","5","5","0"
"2022","Quintile 2","19","Scotland","Male","5","5","5"
"2023","Quintile 2","19","Scotland","Male","5","0","0"
"2019","Quintile 2","19","Wales","Male","15","10","10"
"2020","Quintile 2","19","Wales","Male","10","10","10"
"2021","Quintile 2","19","Wales","Male","10","10","10"
"2022","Quintile 2","19","Wales","Male","10","5","5"
"2023","Quintile 2","19","Wales","Male","10","10","10"
"2019","Quintile 3","19","Northern Ireland","Male","10","5","5"
"2020","Quintile 3","19","Northern Ireland","Male","10","5","5"
"2021","Quintile 3","19","Northern Ireland","Male","5","0","0"
"2022","Quintile 3","19","Northern Ireland","Male","5","5","5"
"2023","Quintile 3","19","Northern Ireland","Male","15","10","10"
"2019","Quintile 3","19","England","Male","340","285","280"
"2020","Quintile 3","19","England","Male","360","325","320"
"2021","Quintile 3","19","England","Male","305","220","215"
"2022","Quintile 3","19","England","Male","295","210","205"
"2023","Quintile 3","19","England","Male","340","245","240"
"2019","Quintile 3","19","Scotland","Male","5","0","0"
"2020","Quintile 3","19","Scotland","Male","10","5","5"
"2022","Quintile 3","19","Scotland","Male","5","5","5"
"2023","Quintile 3","19","Scotland","Male","10","0","0"
"2019","Quintile 3","19","Wales","Male","10","10","10"
"2020","Quintile 3","19","Wales","Male","10","10","10"
"2021","Quintile 3","19","Wales","Male","10","10","10"
"2022","Quintile 3","19","Wales","Male","10","5","5"
"2023","Quintile 3","19","Wales","Male","10","5","5"
"2019","Quintile 4","19","Northern Ireland","Male","15","10","10"
"2020","Quintile 4","19","Northern Ireland","Male","10","5","5"
"2021","Quintile 4","19","Northern Ireland","Male","10","5","5"
"2022","Quintile 4","19","Northern Ireland","Male","10","5","5"
"2023","Quintile 4","19","Northern Ireland","Male","10","5","5"
"2019","Quintile 4","19","England","Male","405","330","330"
"2020","Quintile 4","19","England","Male","470","405","400"
"2021","Quintile 4","19","England","Male","370","285","280"
"2022","Quintile 4","19","England","Male","345","250","240"
"2023","Quintile 4","19","England","Male","425","305","295"
"2019","Quintile 4","19","Scotland","Male","10","5","5"
"2020","Quintile 4","19","Scotland","Male","10","5","5"
"2021","Quintile 4","19","Scotland","Male","15","5","5"
"2022","Quintile 4","19","Scotland","Male","10","5","5"
"2023","Quintile 4","19","Scotland","Male","20","10","10"
"2019","Quintile 4","19","Wales","Male","10","5","5"
"2020","Quintile 4","19","Wales","Male","10","10","10"
"2021","Quintile 4","19","Wales","Male","10","5","5"
"2022","Quintile 4","19","Wales","Male","10","10","10"
"2023","Quintile 4","19","Wales","Male","5","5","5"
"2019","Quintile 5","19","Northern Ireland","Male","20","10","10"
"2020","Quintile 5","19","Northern Ireland","Male","30","20","20"
"2021","Quintile 5","19","Northern Ireland","Male","25","20","20"
"2022","Quintile 5","19","Northern Ireland","Male","20","15","15"
"2023","Quintile 5","19","Northern Ireland","Male","20","10","10"
"2019","Quintile 5","19","England","Male","515","430","425"
"2020","Quintile 5","19","England","Male","660","565","565"
"2021","Quintile 5","19","England","Male","445","325","320"
"2022","Quintile 5","19","England","Male","440","305","295"
"2023","Quintile 5","19","England","Male","550","385","380"
"2019","Quintile 5","19","Scotland","Male","25","10","10"
"2020","Quintile 5","19","Scotland","Male","35","30","30"
"2021","Quintile 5","19","Scotland","Male","20","10","10"
"2022","Quintile 5","19","Scotland","Male","35","20","20"
"2023","Quintile 5","19","Scotland","Male","40","20","20"
"2019","Quintile 5","19","Wales","Male","10","5","5"
"2020","Quintile 5","19","Wales","Male","20","15","15"
"2021","Quintile 5","19","Wales","Male","10","5","5"
"2022","Quintile 5","19","Wales","Male","10","5","5"
"2023","Quintile 5","19","Wales","Male","15","10","10"
"2020","Quintile 1","20","Northern Ireland","Male","5","0","0"
"2021","Quintile 1","20","Northern Ireland","Male","5","0","0"
"2022","Quintile 1","20","Northern Ireland","Male","5","5","5"
"2019","Quintile 1","20","England","Male","45","35","35"
"2020","Quintile 1","20","England","Male","50","40","40"
"2021","Quintile 1","20","England","Male","65","45","45"
"2022","Quintile 1","20","England","Male","70","40","40"
"2023","Quintile 1","20","England","Male","65","40","35"
"2019","Quintile 1","20","Scotland","Male","5","0","0"
"2020","Quintile 1","20","Wales","Male","5","5","0"
"2023","Quintile 1","20","Wales","Male","5","0","0"
"2021","Quintile 2","20","Northern Ireland","Male","5","0","0"
"2022","Quintile 2","20","Northern Ireland","Male","5","0","0"
"2019","Quintile 2","20","England","Male","65","55","50"
"2020","Quintile 2","20","England","Male","75","60","55"
"2021","Quintile 2","20","England","Male","70","45","45"
"2022","Quintile 2","20","England","Male","60","40","40"
"2023","Quintile 2","20","England","Male","70","50","50"
"2020","Quintile 2","20","Scotland","Male","5","5","5"
"2023","Quintile 2","20","Scotland","Male","5","5","0"
"2019","Quintile 2","20","Wales","Male","5","5","5"
"2020","Quintile 2","20","Wales","Male","5","5","5"
"2021","Quintile 2","20","Wales","Male","5","5","5"
"2023","Quintile 2","20","Wales","Male","5","5","5"
"2019","Quintile 3","20","Northern Ireland","Male","5","5","5"
"2020","Quintile 3","20","Northern Ireland","Male","5","0","0"
"2021","Quintile 3","20","Northern Ireland","Male","5","0","0"
"2022","Quintile 3","20","Northern Ireland","Male","5","0","0"
"2019","Quintile 3","20","England","Male","85","70","65"
"2020","Quintile 3","20","England","Male","80","65","60"
"2021","Quintile 3","20","England","Male","95","70","65"
"2022","Quintile 3","20","England","Male","95","55","55"
"2023","Quintile 3","20","England","Male","100","65","65"
"2019","Quintile 3","20","Scotland","Male","5","5","5"
"2020","Quintile 3","20","Scotland","Male","5","0","0"
"2021","Quintile 3","20","Scotland","Male","5","0","0"
"2022","Quintile 3","20","Scotland","Male","10","0","0"
"2019","Quintile 3","20","Wales","Male","5","0","0"
"2020","Quintile 3","20","Wales","Male","10","5","5"
"2022","Quintile 3","20","Wales","Male","5","0","0"
"2019","Quintile 4","20","Northern Ireland","Male","10","5","5"
"2020","Quintile 4","20","Northern Ireland","Male","5","5","5"
"2021","Quintile 4","20","Northern Ireland","Male","5","5","5"
"2022","Quintile 4","20","Northern Ireland","Male","10","5","5"
"2023","Quintile 4","20","Northern Ireland","Male","5","5","5"
"2019","Quintile 4","20","England","Male","110","90","90"
"2020","Quintile 4","20","England","Male","95","85","80"
"2021","Quintile 4","20","England","Male","85","60","60"
"2022","Quintile 4","20","England","Male","100","60","60"
"2023","Quintile 4","20","England","Male","110","80","75"
"2020","Quintile 4","20","Scotland","Male","5","0","0"
"2021","Quintile 4","20","Scotland","Male","5","5","5"
"2022","Quintile 4","20","Scotland","Male","5","5","5"
"2023","Quintile 4","20","Scotland","Male","10","5","5"
"2020","Quintile 4","20","Wales","Male","5","0","0"
"2021","Quintile 4","20","Wales","Male","5","5","5"
"2022","Quintile 4","20","Wales","Male","5","0","0"
"2019","Quintile 5","20","Northern Ireland","Male","5","0","0"
"2020","Quintile 5","20","Northern Ireland","Male","5","0","0"
"2021","Quintile 5","20","Northern Ireland","Male","5","0","0"
"2022","Quintile 5","20","Northern Ireland","Male","5","0","0"
"2023","Quintile 5","20","Northern Ireland","Male","5","0","0"
"2019","Quintile 5","20","England","Male","105","80","80"
"2020","Quintile 5","20","England","Male","100","80","80"
"2021","Quintile 5","20","England","Male","95","75","70"
"2022","Quintile 5","20","England","Male","115","70","65"
"2023","Quintile 5","20","England","Male","120","95","95"
"2019","Quintile 5","20","Scotland","Male","5","5","5"
"2020","Quintile 5","20","Scotland","Male","15","10","10"
"2021","Quintile 5","20","Scotland","Male","5","0","0"
"2022","Quintile 5","20","Scotland","Male","5","0","0"
"2023","Quintile 5","20","Scotland","Male","15","5","5"
"2022","Quintile 5","20","Wales","Male","5","0","0"
"2023","Quintile 5","20","Wales","Male","5","0","0"
"2019","Quintile 1","21 - 24","Northern Ireland","Male","5","0","0"
"2020","Quintile 1","21 - 24","Northern Ireland","Male","5","5","5"
"2021","Quintile 1","21 - 24","Northern Ireland","Male","5","0","0"
"2022","Quintile 1","21 - 24","Northern Ireland","Male","5","0","0"
"2019","Quintile 1","21 - 24","England","Male","60","45","40"
"2020","Quintile 1","21 - 24","England","Male","60","45","45"
"2021","Quintile 1","21 - 24","England","Male","55","30","30"
"2022","Quintile 1","21 - 24","England","Male","60","35","30"
"2023","Quintile 1","21 - 24","England","Male","55","35","30"
"2022","Quintile 1","21 - 24","Scotland","Male","10","0","0"
"2023","Quintile 1","21 - 24","Scotland","Male","5","0","0"
"2019","Quintile 1","21 - 24","Wales","Male","5","5","5"
"2020","Quintile 1","21 - 24","Wales","Male","5","5","5"
"2022","Quintile 1","21 - 24","Wales","Male","5","0","0"
"2023","Quintile 1","21 - 24","Wales","Male","5","5","5"
"2019","Quintile 2","21 - 24","Northern Ireland","Male","5","0","0"
"2021","Quintile 2","21 - 24","Northern Ireland","Male","5","0","0"
"2022","Quintile 2","21 - 24","Northern Ireland","Male","5","0","0"
"2023","Quintile 2","21 - 24","Northern Ireland","Male","5","0","0"
"2019","Quintile 2","21 - 24","England","Male","50","35","35"
"2020","Quintile 2","21 - 24","England","Male","65","40","35"
"2021","Quintile 2","21 - 24","England","Male","60","35","35"
"2022","Quintile 2","21 - 24","England","Male","75","40","40"
"2023","Quintile 2","21 - 24","England","Male","70","45","45"
"2020","Quintile 2","21 - 24","Scotland","Male","5","5","5"
"2021","Quintile 2","21 - 24","Scotland","Male","5","5","5"
"2022","Quintile 2","21 - 24","Scotland","Male","10","5","5"
"2023","Quintile 2","21 - 24","Scotland","Male","5","0","0"
"2019","Quintile 2","21 - 24","Wales","Male","5","5","5"
"2020","Quintile 2","21 - 24","Wales","Male","5","5","5"
"2021","Quintile 2","21 - 24","Wales","Male","10","5","5"
"2022","Quintile 2","21 - 24","Wales","Male","5","5","5"
"2023","Quintile 2","21 - 24","Wales","Male","5","0","0"
"2019","Quintile 3","21 - 24","Northern Ireland","Male","5","0","0"
"2020","Quintile 3","21 - 24","Northern Ireland","Male","5","0","0"
"2021","Quintile 3","21 - 24","Northern Ireland","Male","5","0","0"
"2022","Quintile 3","21 - 24","Northern Ireland","Male","10","0","0"
"2023","Quintile 3","21 - 24","Northern Ireland","Male","5","0","0"
"2019","Quintile 3","21 - 24","England","Male","65","45","45"
"2020","Quintile 3","21 - 24","England","Male","75","50","50"
"2021","Quintile 3","21 - 24","England","Male","60","45","45"
"2022","Quintile 3","21 - 24","England","Male","90","55","55"
"2023","Quintile 3","21 - 24","England","Male","90","55","55"
"2019","Quintile 3","21 - 24","Scotland","Male","5","5","5"
"2020","Quintile 3","21 - 24","Scotland","Male","10","5","5"
"2021","Quintile 3","21 - 24","Scotland","Male","5","0","0"
"2022","Quintile 3","21 - 24","Scotland","Male","10","5","5"
"2023","Quintile 3","21 - 24","Scotland","Male","10","5","5"
"2019","Quintile 3","21 - 24","Wales","Male","5","5","5"
"2020","Quintile 3","21 - 24","Wales","Male","5","5","5"
"2021","Quintile 3","21 - 24","Wales","Male","5","5","5"
"2022","Quintile 3","21 - 24","Wales","Male","5","5","0"
"2023","Quintile 3","21 - 24","Wales","Male","5","0","0"
"2019","Quintile 4","21 - 24","Northern Ireland","Male","5","5","5"
"2020","Quintile 4","21 - 24","Northern Ireland","Male","5","0","0"
"2021","Quintile 4","21 - 24","Northern Ireland","Male","10","0","0"
"2022","Quintile 4","21 - 24","Northern Ireland","Male","5","5","5"
"2023","Quintile 4","21 - 24","Northern Ireland","Male","5","0","0"
"2019","Quintile 4","21 - 24","England","Male","90","75","75"
"2020","Quintile 4","21 - 24","England","Male","75","55","55"
"2021","Quintile 4","21 - 24","England","Male","95","65","65"
"2022","Quintile 4","21 - 24","England","Male","90","60","55"
"2023","Quintile 4","21 - 24","England","Male","100","65","60"
"2019","Quintile 4","21 - 24","Scotland","Male","10","5","5"
"2020","Quintile 4","21 - 24","Scotland","Male","10","5","5"
"2021","Quintile 4","21 - 24","Scotland","Male","10","5","5"
"2022","Quintile 4","21 - 24","Scotland","Male","15","5","5"
"2023","Quintile 4","21 - 24","Scotland","Male","10","5","5"
"2020","Quintile 4","21 - 24","Wales","Male","5","0","0"
"2021","Quintile 4","21 - 24","Wales","Male","5","0","0"
"2022","Quintile 4","21 - 24","Wales","Male","5","5","5"
"2023","Quintile 4","21 - 24","Wales","Male","5","0","0"
"2019","Quintile 5","21 - 24","Northern Ireland","Male","5","5","5"
"2020","Quintile 5","21 - 24","Northern Ireland","Male","10","5","5"
"2021","Quintile 5","21 - 24","Northern Ireland","Male","10","5","5"
"2022","Quintile 5","21 - 24","Northern Ireland","Male","10","5","5"
"2019","Quintile 5","21 - 24","England","Male","75","60","55"
"2020","Quintile 5","21 - 24","England","Male","85","70","70"
"2021","Quintile 5","21 - 24","England","Male","75","45","45"
"2022","Quintile 5","21 - 24","England","Male","100","65","60"
"2023","Quintile 5","21 - 24","England","Male","95","60","55"
"2019","Quintile 5","21 - 24","Scotland","Male","10","5","5"
"2020","Quintile 5","21 - 24","Scotland","Male","10","5","0"
"2021","Quintile 5","21 - 24","Scotland","Male","20","10","10"
"2022","Quintile 5","21 - 24","Scotland","Male","20","15","10"
"2023","Quintile 5","21 - 24","Scotland","Male","15","10","10"
"2020","Quintile 5","21 - 24","Wales","Male","5","5","5"
"2022","Quintile 5","21 - 24","Wales","Male","5","0","0"
"2023","Quintile 1","25 - 29","Northern Ireland","Male","5","0","0"
"2019","Quintile 1","25 - 29","England","Male","10","10","10"
"2020","Quintile 1","25 - 29","England","Male","20","15","15"
"2021","Quintile 1","25 - 29","England","Male","15","10","10"
"2022","Quintile 1","25 - 29","England","Male","15","5","5"
"2023","Quintile 1","25 - 29","England","Male","20","10","10"
"2022","Quintile 1","25 - 29","Scotland","Male","5","0","0"
"2019","Quintile 2","25 - 29","England","Male","15","10","10"
"2020","Quintile 2","25 - 29","England","Male","20","15","15"
"2021","Quintile 2","25 - 29","England","Male","20","10","5"
"2022","Quintile 2","25 - 29","England","Male","20","10","10"
"2023","Quintile 2","25 - 29","England","Male","20","10","10"
"2020","Quintile 2","25 - 29","Scotland","Male","5","0","0"
"2021","Quintile 2","25 - 29","Scotland","Male","5","5","5"
"2023","Quintile 2","25 - 29","Scotland","Male","5","0","0"
"2019","Quintile 2","25 - 29","Wales","Male","5","5","5"
"2021","Quintile 2","25 - 29","Wales","Male","5","5","5"
"2019","Quintile 3","25 - 29","England","Male","10","5","5"
"2020","Quintile 3","25 - 29","England","Male","25","15","15"
"2021","Quintile 3","25 - 29","England","Male","25","15","15"
"2022","Quintile 3","25 - 29","England","Male","20","5","5"
"2023","Quintile 3","25 - 29","England","Male","25","10","10"
"2019","Quintile 3","25 - 29","Scotland","Male","5","0","0"
"2020","Quintile 3","25 - 29","Scotland","Male","5","0","0"
"2021","Quintile 3","25 - 29","Scotland","Male","5","0","0"
"2022","Quintile 3","25 - 29","Scotland","Male","5","0","0"
"2023","Quintile 3","25 - 29","Scotland","Male","5","0","0"
"2020","Quintile 3","25 - 29","Wales","Male","5","0","0"
"2021","Quintile 3","25 - 29","Wales","Male","5","0","0"
"2019","Quintile 4","25 - 29","England","Male","25","15","15"
"2020","Quintile 4","25 - 29","England","Male","25","15","15"
"2021","Quintile 4","25 - 29","England","Male","20","15","15"
"2022","Quintile 4","25 - 29","England","Male","20","10","10"
"2023","Quintile 4","25 - 29","England","Male","25","15","15"
"2020","Quintile 4","25 - 29","Scotland","Male","5","0","0"
"2022","Quintile 4","25 - 29","Scotland","Male","5","0","0"
"2023","Quintile 4","25 - 29","Scotland","Male","5","0","0"
"2021","Quintile 5","25 - 29","Northern Ireland","Male","5","5","5"
"2022","Quintile 5","25 - 29","Northern Ireland","Male","5","0","0"
"2019","Quintile 5","25 - 29","England","Male","20","15","10"
"2020","Quintile 5","25 - 29","England","Male","30","20","20"
"2021","Quintile 5","25 - 29","England","Male","30","15","15"
"2022","Quintile 5","25 - 29","England","Male","20","10","10"
"2023","Quintile 5","25 - 29","England","Male","15","10","10"
"2019","Quintile 5","25 - 29","Scotland","Male","5","0","0"
"2020","Quintile 5","25 - 29","Scotland","Male","5","5","5"
"2021","Quintile 5","25 - 29","Scotland","Male","10","0","0"
"2022","Quintile 5","25 - 29","Scotland","Male","10","5","5"
"2023","Quintile 5","25 - 29","Scotland","Male","5","0","0"
"2019","Quintile 1","30 - 34","England","Male","5","5","5"
"2020","Quintile 1","30 - 34","England","Male","5","5","5"
"2021","Quintile 1","30 - 34","England","Male","10","10","10"
"2022","Quintile 1","30 - 34","England","Male","10","5","5"
"2023","Quintile 1","30 - 34","England","Male","5","5","0"
"2019","Quintile 2","30 - 34","England","Male","5","5","5"
"2020","Quintile 2","30 - 34","England","Male","10","10","10"
"2021","Quintile 2","30 - 34","England","Male","15","10","10"
"2022","Quintile 2","30 - 34","England","Male","5","0","0"
"2021","Quintile 2","30 - 34","Scotland","Male","5","0","0"
"2022","Quintile 2","30 - 34","Scotland","Male","5","0","0"
"2023","Quintile 2","30 - 34","Scotland","Male","5","0","0"
"2019","Quintile 3","30 - 34","England","Male","5","0","0"
"2020","Quintile 3","30 - 34","England","Male","10","10","5"
"2021","Quintile 3","30 - 34","England","Male","5","5","5"
"2022","Quintile 3","30 - 34","England","Male","15","5","5"
"2023","Quintile 3","30 - 34","England","Male","10","5","5"
"2021","Quintile 3","30 - 34","Scotland","Male","5","0","0"
"2023","Quintile 3","30 - 34","Scotland","Male","5","0","0"
"2019","Quintile 4","30 - 34","England","Male","5","5","5"
"2020","Quintile 4","30 - 34","England","Male","10","10","10"
"2021","Quintile 4","30 - 34","England","Male","15","10","5"
"2022","Quintile 4","30 - 34","England","Male","10","5","5"
"2023","Quintile 4","30 - 34","England","Male","10","5","5"
"2019","Quintile 4","30 - 34","Scotland","Male","5","5","5"
"2020","Quintile 4","30 - 34","Scotland","Male","5","0","0"
"2019","Quintile 5","30 - 34","England","Male","5","5","5"
"2020","Quintile 5","30 - 34","England","Male","10","10","5"
"2021","Quintile 5","30 - 34","England","Male","10","5","5"
"2022","Quintile 5","30 - 34","England","Male","5","0","0"
"2023","Quintile 5","30 - 34","England","Male","10","5","5"
"2020","Quintile 5","30 - 34","Scotland","Male","5","0","0"
"2023","Quintile 5","30 - 34","Scotland","Male","5","0","0"
"2019","Quintile 1","35 and over","England","Male","10","5","5"
"2020","Quintile 1","35 and over","England","Male","15","10","10"
"2021","Quintile 1","35 and over","England","Male","20","10","10"
"2022","Quintile 1","35 and over","England","Male","10","5","5"
"2023","Quintile 1","35 and over","England","Male","20","15","15"
"2019","Quintile 2","35 and over","England","Male","5","5","5"
"2020","Quintile 2","35 and over","England","Male","15","10","10"
"2021","Quintile 2","35 and over","England","Male","15","10","10"
"2022","Quintile 2","35 and over","England","Male","20","10","10"
"2023","Quintile 2","35 and over","England","Male","25","15","10"
"2019","Quintile 3","35 and over","England","Male","15","10","10"
"2020","Quintile 3","35 and over","England","Male","20","10","10"
"2021","Quintile 3","35 and over","England","Male","15","10","10"
"2022","Quintile 3","35 and over","England","Male","25","15","10"
"2023","Quintile 3","35 and over","England","Male","25","20","20"
"2022","Quintile 3","35 and over","Scotland","Male","5","0","0"
"2023","Quintile 3","35 and over","Scotland","Male","5","0","0"
"2019","Quintile 4","35 and over","England","Male","20","15","15"
"2020","Quintile 4","35 and over","England","Male","20","15","10"
"2021","Quintile 4","35 and over","England","Male","15","5","5"
"2022","Quintile 4","35 and over","England","Male","20","15","10"
"2023","Quintile 4","35 and over","England","Male","20","10","10"
"2020","Quintile 4","35 and over","Scotland","Male","5","0","0"
"2021","Quintile 4","35 and over","Scotland","Male","5","0","0"
"2023","Quintile 4","35 and over","Scotland","Male","5","0","0"
"2019","Quintile 5","35 and over","England","Male","15","10","10"
"2020","Quintile 5","35 and over","England","Male","20","15","10"
"2021","Quintile 5","35 and over","England","Male","25","20","15"
"2022","Quintile 5","35 and over","England","Male","15","10","5"
"2023","Quintile 5","35 and over","England","Male","10","5","5"
"2019","Quintile 5","35 and over","Scotland","Male","5","0","0"
"2020","Quintile 5","35 and over","Scotland","Male","5","0","0"
"2022","Quintile 5","35 and over","Scotland","Male","5","0","0"
"2023","Quintile 5","35 and over","Scotland","Male","5","5","0"
"2019","All","17 and under","England","Female","20","15","15"
"2020","All","17 and under","England","Female","35","30","30"
"2021","All","17 and under","England","Female","20","10","10"
"2022","All","17 and under","England","Female","35","15","15"
"2023","All","17 and under","England","Female","20","10","10"
"2019","All","17 and under","Scotland","Female","10","0","0"
"2020","All","17 and under","Scotland","Female","20","10","10"
"2021","All","17 and under","Scotland","Female","15","5","5"
"2022","All","17 and under","Scotland","Female","30","5","5"
"2023","All","17 and under","Scotland","Female","25","15","15"
"2019","All","18","Northern Ireland","Female","525","200","190"
"2020","All","18","Northern Ireland","Female","515","265","265"
"2021","All","18","Northern Ireland","Female","505","210","205"
"2022","All","18","Northern Ireland","Female","660","280","270"
"2023","All","18","Northern Ireland","Female","625","230","220"
"2019","All","18","England","Female","8770","6590","6545"
"2020","All","18","England","Female","12350","10085","10015"
"2021","All","18","England","Female","9500","6365","6300"
"2022","All","18","England","Female","12935","8020","7895"
"2023","All","18","England","Female","13195","8640","8550"
"2019","All","18","Scotland","Female","270","125","115"
"2020","All","18","Scotland","Female","350","220","215"
"2021","All","18","Scotland","Female","200","95","90"
"2022","All","18","Scotland","Female","325","135","125"
"2023","All","18","Scotland","Female","360","190","190"
"2019","All","18","Wales","Female","305","240","235"
"2020","All","18","Wales","Female","430","355","350"
"2021","All","18","Wales","Female","330","210","205"
"2022","All","18","Wales","Female","530","310","300"
"2023","All","18","Wales","Female","435","265","265"
"2019","All","19","Northern Ireland","Female","105","60","55"
"2020","All","19","Northern Ireland","Female","95","55","55"
"2021","All","19","Northern Ireland","Female","85","45","45"
"2022","All","19","Northern Ireland","Female","70","35","30"
"2023","All","19","Northern Ireland","Female","75","40","40"
"2019","All","19","England","Female","1930","1605","1590"
"2020","All","19","England","Female","2380","1980","1955"
"2021","All","19","England","Female","1850","1355","1330"
"2022","All","19","England","Female","1995","1375","1340"
"2023","All","19","England","Female","2295","1635","1610"
"2019","All","19","Scotland","Female","55","35","30"
"2020","All","19","Scotland","Female","80","45","45"
"2021","All","19","Scotland","Female","55","25","25"
"2022","All","19","Scotland","Female","90","45","45"
"2023","All","19","Scotland","Female","90","50","45"
"2019","All","19","Wales","Female","90","75","70"
"2020","All","19","Wales","Female","105","80","80"
"2021","All","19","Wales","Female","80","55","55"
"2022","All","19","Wales","Female","100","55","50"
"2023","All","19","Wales","Female","85","60","60"
"2019","All","20","Northern Ireland","Female","25","15","15"
"2020","All","20","Northern Ireland","Female","30","15","15"
"2021","All","20","Northern Ireland","Female","30","10","10"
"2022","All","20","Northern Ireland","Female","20","15","15"
"2023","All","20","Northern Ireland","Female","25","15","15"
"2019","All","20","England","Female","430","350","340"
"2020","All","20","England","Female","580","445","430"
"2021","All","20","England","Female","510","365","350"
"2022","All","20","England","Female","490","305","285"
"2023","All","20","England","Female","565","410","395"
"2019","All","20","Scotland","Female","30","15","15"
"2020","All","20","Scotland","Female","25","15","15"
"2021","All","20","Scotland","Female","20","5","5"
"2022","All","20","Scotland","Female","40","15","15"
"2023","All","20","Scotland","Female","45","20","20"
"2019","All","20","Wales","Female","25","25","25"
"2020","All","20","Wales","Female","20","15","15"
"2021","All","20","Wales","Female","25","20","15"
"2022","All","20","Wales","Female","35","25","25"
"2023","All","20","Wales","Female","25","15","15"
"2019","All","21 - 24","Northern Ireland","Female","25","10","10"
"2020","All","21 - 24","Northern Ireland","Female","15","5","5"
"2021","All","21 - 24","Northern Ireland","Female","30","15","15"
"2022","All","21 - 24","Northern Ireland","Female","25","10","10"
"2023","All","21 - 24","Northern Ireland","Female","30","15","15"
"2019","All","21 - 24","England","Female","390","280","260"
"2020","All","21 - 24","England","Female","540","365","350"
"2021","All","21 - 24","England","Female","560","330","310"
"2022","All","21 - 24","England","Female","515","315","290"
"2023","All","21 - 24","England","Female","505","305","295"
"2019","All","21 - 24","Scotland","Female","50","20","20"
"2020","All","21 - 24","Scotland","Female","60","30","30"
"2021","All","21 - 24","Scotland","Female","60","20","15"
"2022","All","21 - 24","Scotland","Female","70","25","20"
"2023","All","21 - 24","Scotland","Female","75","30","30"
"2019","All","21 - 24","Wales","Female","20","5","5"
"2020","All","21 - 24","Wales","Female","15","10","10"
"2021","All","21 - 24","Wales","Female","30","15","15"
"2022","All","21 - 24","Wales","Female","35","15","15"
"2023","All","21 - 24","Wales","Female","25","15","10"
"2019","All","25 - 29","Northern Ireland","Female","5","0","0"
"2020","All","25 - 29","Northern Ireland","Female","10","5","5"
"2021","All","25 - 29","Northern Ireland","Female","15","10","5"
"2022","All","25 - 29","Northern Ireland","Female","10","0","0"
"2023","All","25 - 29","Northern Ireland","Female","10","5","5"
"2019","All","25 - 29","England","Female","135","95","90"
"2020","All","25 - 29","England","Female","245","150","140"
"2021","All","25 - 29","England","Female","210","110","100"
"2022","All","25 - 29","England","Female","195","95","80"
"2023","All","25 - 29","England","Female","190","105","95"
"2019","All","25 - 29","Scotland","Female","10","5","0"
"2020","All","25 - 29","Scotland","Female","20","10","10"
"2021","All","25 - 29","Scotland","Female","30","5","5"
"2022","All","25 - 29","Scotland","Female","50","10","10"
"2023","All","25 - 29","Scotland","Female","45","10","10"
"2019","All","25 - 29","Wales","Female","10","5","5"
"2020","All","25 - 29","Wales","Female","10","10","10"
"2021","All","25 - 29","Wales","Female","10","0","0"
"2022","All","25 - 29","Wales","Female","15","5","0"
"2023","All","25 - 29","Wales","Female","20","10","10"
"2019","All","30 - 34","Northern Ireland","Female","5","5","5"
"2021","All","30 - 34","Northern Ireland","Female","5","5","5"
"2022","All","30 - 34","Northern Ireland","Female","10","5","5"
"2023","All","30 - 34","Northern Ireland","Female","5","5","5"
