"Year","POLAR4 Quintile","Age group","Domicile","Gender","Self-released","Applied after self-releasing","Placed after self-releasing"
"2022","Quintile 3","18","Wales","Female","150","90","90"
"2023","Quintile 3","18","Wales","Female","105","60","60"
"2019","Quintile 4","18","Northern Ireland","Female","135","40","40"
"2020","Quintile 4","18","Northern Ireland","Female","145","70","70"
"2021","Quintile 4","18","Northern Ireland","Female","130","55","50"
"2022","Quintile 4","18","Northern Ireland","Female","155","60","60"
"2023","Quintile 4","18","Northern Ireland","Female","150","65","60"
"2019","Quintile 4","18","England","Female","2210","1695","1680"
"2020","Quintile 4","18","England","Female","3110","2540","2520"
"2021","Quintile 4","18","England","Female","2335","1645","1630"
"2022","Quintile 4","18","England","Female","3060","1990","1960"
"2023","Quintile 4","18","England","Female","3190","2130","2105"
"2019","Quintile 4","18","Scotland","Female","65","40","40"
"2020","Quintile 4","18","Scotland","Female","65","45","45"
"2021","Quintile 4","18","Scotland","Female","40","20","20"
"2022","Quintile 4","18","Scotland","Female","75","30","30"
"2023","Quintile 4","18","Scotland","Female","95","55","55"
"2019","Quintile 4","18","Wales","Female","55","40","35"
"2020","Quintile 4","18","Wales","Female","85","70","70"
"2021","Quintile 4","18","Wales","Female","50","30","30"
"2022","Quintile 4","18","Wales","Female","95","45","45"
"2023","Quintile 4","18","Wales","Female","70","40","40"
"2019","Quintile 5","18","Northern Ireland","Female","210","75","70"
"2020","Quintile 5","18","Northern Ireland","Female","190","95","95"
"2021","Quintile 5","18","Northern Ireland","Female","190","80","80"
"2022","Quintile 5","18","Northern Ireland","Female","245","110","105"
"2023","Quintile 5","18","Northern Ireland","Female","215","65","65"
"2019","Quintile 5","18","England","Female","2645","1960","1945"
"2020","Quintile 5","18","England","Female","4100","3365","3340"
"2021","Quintile 5","18","England","Female","2940","1860","1840"
"2022","Quintile 5","18","England","Female","3970","2285","2260"
"2023","Quintile 5","18","England","Female","3980","2530","2505"
"2019","Quintile 5","18","Scotland","Female","115","50","45"
"2020","Quintile 5","18","Scotland","Female","150","90","90"
"2021","Quintile 5","18","Scotland","Female","90","45","45"
"2022","Quintile 5","18","Scotland","Female","135","65","55"
"2023","Quintile 5","18","Scotland","Female","130","70","70"
"2019","Quintile 5","18","Wales","Female","60","50","50"
"2020","Quintile 5","18","Wales","Female","100","85","80"
"2021","Quintile 5","18","Wales","Female","65","40","40"
"2022","Quintile 5","18","Wales","Female","100","55","55"
"2023","Quintile 5","18","Wales","Female","85","50","50"
"2020","Unknown","19","England","Female","5","5","5"
"2021","Unknown","19","England","Female","5","5","5"
