"Year","Predicted SQA advanced higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","9 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","9 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","10 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","10 point(s)","White","Main scheme applicant","Not main scheme application","15","10","0.667","0"
"2012","10 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","10 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","10 point(s)","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","10 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","10 point(s)","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","10 point(s)","White","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2018","10 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","10 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 point(s)","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","10 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","10 point(s)","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","10 point(s)","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","11 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","11 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","11 point(s)","White","Main scheme applicant","Not main scheme application","10","10","0.833","0"
"2013","11 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","11 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","11 point(s)","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","11 point(s)","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","11 point(s)","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","11 point(s)","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","11 point(s)","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","11 point(s)","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","11 point(s)","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","11 point(s)","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","11 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","12 point(s)","White","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2011","12 point(s)","White","Main scheme applicant","Not main scheme application","15","10","0.786","0"
"2012","12 point(s)","White","Main scheme applicant","Not main scheme application","30","25","0.893","0"
"2013","12 point(s)","White","Main scheme applicant","Not main scheme application","25","25","0.926","0"
"2014","12 point(s)","White","Main scheme applicant","Not main scheme application","40","30","0.78","0"
"2015","12 point(s)","White","Main scheme applicant","Not main scheme application","35","35","0.971","0"
"2016","12 point(s)","White","Main scheme applicant","Not main scheme application","30","30","0.875","0"
"2017","12 point(s)","White","Main scheme applicant","Not main scheme application","30","25","0.833","0"
"2018","12 point(s)","White","Main scheme applicant","Not main scheme application","30","25","0.806","0"
"2019","12 point(s)","White","Main scheme applicant","Not main scheme application","35","30","0.9390000000000001","0"
"2020","12 point(s)","White","Main scheme applicant","Not main scheme application","35","30","0.886","0"
"2021","12 point(s)","White","Main scheme applicant","Not main scheme application","20","20","0.9","0"
"2022","12 point(s)","White","Main scheme applicant","Not main scheme application","25","20","0.8150000000000001","0"
"2023","12 point(s)","White","Main scheme applicant","Not main scheme application","30","25","0.857","0"
"2021","11 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","12 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","12 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","12 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","9 point(s)","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","9 point(s)","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","9 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","9 point(s)","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","9 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","10 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","10 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","10 point(s)","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","10 point(s)","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","10 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","11 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","11 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","12 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","12 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","12 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","12 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","12 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","12 point(s)","Asian","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2018","12 point(s)","Asian","Main scheme applicant","Not main scheme application","15","15","0.929","0"
"2019","12 point(s)","Asian","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","12 point(s)","Asian","Main scheme applicant","Not main scheme application","15","10","0.786","0"
"2021","12 point(s)","Asian","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","12 point(s)","Asian","Main scheme applicant","Not main scheme application","20","20","0.909","0"
"2023","12 point(s)","Asian","Main scheme applicant","Not main scheme application","10","10","0.917","0"
"2023","10 point(s)","Mixed","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","12 point(s)","Mixed","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","12 point(s)","Mixed","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","12 point(s)","Other","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","12 point(s)","Other","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","12 point(s)","Other","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","5 point(s)","White","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","5 point(s)","White","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","5 point(s)","White","Main scheme applicant","Main scheme application","5","5"," ","0"
"2010","6 point(s)","White","Main scheme applicant","Main scheme application","20","15","0.682","0"
"2011","6 point(s)","White","Main scheme applicant","Main scheme application","20","15","0.842","0"
"2012","6 point(s)","White","Main scheme applicant","Main scheme application","15","10","0.8","0"
"2013","6 point(s)","White","Main scheme applicant","Main scheme application","15","15","0.867","0"
"2014","6 point(s)","White","Main scheme applicant","Main scheme application","15","10","0.625","0"
"2015","6 point(s)","White","Main scheme applicant","Main scheme application","20","10","0.667","0"
"2016","6 point(s)","White","Main scheme applicant","Main scheme application","10","5"," ","0"
"2017","6 point(s)","White","Main scheme applicant","Main scheme application","10","5"," ","0"
"2018","6 point(s)","White","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","6 point(s)","White","Main scheme applicant","Main scheme application","10","10"," ","0"
"2020","6 point(s)","White","Main scheme applicant","Main scheme application","10","10","0.917","0"
"2021","6 point(s)","White","Main scheme applicant","Main scheme application","10","10","0.833","0"
"2022","6 point(s)","White","Main scheme applicant","Main scheme application","15","15","1","0"
"2023","6 point(s)","White","Main scheme applicant","Main scheme application","10","10"," ","0"
"2010","7 point(s)","White","Main scheme applicant","Main scheme application","55","50","0.893","0"
"2011","7 point(s)","White","Main scheme applicant","Main scheme application","55","35","0.661","0"
"2012","7 point(s)","White","Main scheme applicant","Main scheme application","40","30","0.737","0"
"2013","7 point(s)","White","Main scheme applicant","Main scheme application","50","40","0.8160000000000001","0"
"2014","7 point(s)","White","Main scheme applicant","Main scheme application","45","35","0.783","0"
"2015","7 point(s)","White","Main scheme applicant","Main scheme application","40","30","0.842","0"
"2016","7 point(s)","White","Main scheme applicant","Main scheme application","25","20","0.8150000000000001","0"
"2017","7 point(s)","White","Main scheme applicant","Main scheme application","20","15","0.714","0"
"2018","7 point(s)","White","Main scheme applicant","Main scheme application","25","20","0.8150000000000001","0"
"2019","7 point(s)","White","Main scheme applicant","Main scheme application","25","15","0.5650000000000001","0"
"2020","7 point(s)","White","Main scheme applicant","Main scheme application","15","15","0.933","0"
"2021","7 point(s)","White","Main scheme applicant","Main scheme application","20","20","0.905","0"
"2022","7 point(s)","White","Main scheme applicant","Main scheme application","30","25","0.844","0"
"2023","7 point(s)","White","Main scheme applicant","Main scheme application","30","20","0.786","0"
"2010","8 point(s)","White","Main scheme applicant","Main scheme application","130","110","0.846","0"
"2011","8 point(s)","White","Main scheme applicant","Main scheme application","110","95","0.865","0"
"2012","8 point(s)","White","Main scheme applicant","Main scheme application","100","80","0.804","0"
"2013","8 point(s)","White","Main scheme applicant","Main scheme application","110","90","0.8","0"
"2014","8 point(s)","White","Main scheme applicant","Main scheme application","75","65","0.877","0"
"2015","8 point(s)","White","Main scheme applicant","Main scheme application","70","55","0.775","0"
"2016","8 point(s)","White","Main scheme applicant","Main scheme application","80","65","0.859","0"
"2017","8 point(s)","White","Main scheme applicant","Main scheme application","50","40","0.8200000000000001","0"
"2018","8 point(s)","White","Main scheme applicant","Main scheme application","60","50","0.845","0"
"2019","8 point(s)","White","Main scheme applicant","Main scheme application","65","60","0.879","0"
"2020","8 point(s)","White","Main scheme applicant","Main scheme application","50","45","0.885","0"
"2021","8 point(s)","White","Main scheme applicant","Main scheme application","60","50","0.8200000000000001","0"
"2022","8 point(s)","White","Main scheme applicant","Main scheme application","70","55","0.8","0"
"2023","8 point(s)","White","Main scheme applicant","Main scheme application","55","45","0.786","0"
"2010","9 point(s)","White","Main scheme applicant","Main scheme application","220","190","0.873","0"
"2011","9 point(s)","White","Main scheme applicant","Main scheme application","210","180","0.87","0"
"2012","9 point(s)","White","Main scheme applicant","Main scheme application","220","180","0.8190000000000001","0"
"2013","9 point(s)","White","Main scheme applicant","Main scheme application","215","185","0.874","0"
"2014","9 point(s)","White","Main scheme applicant","Main scheme application","185","160","0.866","0"
"2015","9 point(s)","White","Main scheme applicant","Main scheme application","230","190","0.838","0"
"2016","9 point(s)","White","Main scheme applicant","Main scheme application","205","180","0.877","0"
"2017","9 point(s)","White","Main scheme applicant","Main scheme application","170","150","0.872","0"
"2018","9 point(s)","White","Main scheme applicant","Main scheme application","185","160","0.88","0"
"2019","9 point(s)","White","Main scheme applicant","Main scheme application","200","180","0.914","0"
"2020","9 point(s)","White","Main scheme applicant","Main scheme application","145","130","0.896","0"
"2021","9 point(s)","White","Main scheme applicant","Main scheme application","140","120","0.838","0"
"2022","9 point(s)","White","Main scheme applicant","Main scheme application","120","110","0.902","0"
"2023","9 point(s)","White","Main scheme applicant","Main scheme application","145","130","0.898","0"
"2010","10 point(s)","White","Main scheme applicant","Main scheme application","275","250","0.895","0"
"2011","10 point(s)","White","Main scheme applicant","Main scheme application","280","255","0.907","0"
"2012","10 point(s)","White","Main scheme applicant","Main scheme application","260","225","0.873","0"
"2013","10 point(s)","White","Main scheme applicant","Main scheme application","270","245","0.903","0"
"2014","10 point(s)","White","Main scheme applicant","Main scheme application","285","260","0.916","0"
"2015","10 point(s)","White","Main scheme applicant","Main scheme application","260","230","0.896","0"
"2016","10 point(s)","White","Main scheme applicant","Main scheme application","235","215","0.903","0"
"2017","10 point(s)","White","Main scheme applicant","Main scheme application","230","205","0.886","0"
"2018","10 point(s)","White","Main scheme applicant","Main scheme application","205","180","0.877","0"
"2019","10 point(s)","White","Main scheme applicant","Main scheme application","220","195","0.886","0"
"2020","10 point(s)","White","Main scheme applicant","Main scheme application","225","205","0.903","0"
"2021","10 point(s)","White","Main scheme applicant","Main scheme application","215","185","0.874","0"
"2022","10 point(s)","White","Main scheme applicant","Main scheme application","210","185","0.886","0"
"2023","10 point(s)","White","Main scheme applicant","Main scheme application","220","200","0.904","0"
"2010","11 point(s)","White","Main scheme applicant","Main scheme application","290","265","0.921","0"
"2011","11 point(s)","White","Main scheme applicant","Main scheme application","315","285","0.899","0"
"2012","11 point(s)","White","Main scheme applicant","Main scheme application","310","270","0.872","0"
"2013","11 point(s)","White","Main scheme applicant","Main scheme application","350","320","0.92","0"
"2014","11 point(s)","White","Main scheme applicant","Main scheme application","315","290","0.918","0"
"2015","11 point(s)","White","Main scheme applicant","Main scheme application","340","310","0.92","0"
"2016","11 point(s)","White","Main scheme applicant","Main scheme application","355","320","0.902","0"
"2017","11 point(s)","White","Main scheme applicant","Main scheme application","325","290","0.895","0"
"2018","11 point(s)","White","Main scheme applicant","Main scheme application","325","295","0.902","0"
"2019","11 point(s)","White","Main scheme applicant","Main scheme application","265","245","0.921","0"
"2020","11 point(s)","White","Main scheme applicant","Main scheme application","275","235","0.865","0"
"2021","11 point(s)","White","Main scheme applicant","Main scheme application","320","290","0.903","0"
"2022","11 point(s)","White","Main scheme applicant","Main scheme application","310","280","0.913","0"
"2023","11 point(s)","White","Main scheme applicant","Main scheme application","310","285","0.929","0"
"2010","12 point(s)","White","Main scheme applicant","Main scheme application","820","750","0.91","0"
"2011","12 point(s)","White","Main scheme applicant","Main scheme application","925","850","0.917","0"
"2012","12 point(s)","White","Main scheme applicant","Main scheme application","935","840","0.9","0"
"2013","12 point(s)","White","Main scheme applicant","Main scheme application","1060","965","0.91","0"
"2014","12 point(s)","White","Main scheme applicant","Main scheme application","1075","955","0.888","0"
"2015","12 point(s)","White","Main scheme applicant","Main scheme application","1120","1000","0.893","0"
"2016","12 point(s)","White","Main scheme applicant","Main scheme application","1120","1000","0.895","0"
"2017","12 point(s)","White","Main scheme applicant","Main scheme application","1195","1085","0.907","0"
"2018","12 point(s)","White","Main scheme applicant","Main scheme application","1250","1140","0.914","0"
"2019","12 point(s)","White","Main scheme applicant","Main scheme application","1140","1030","0.905","0"
"2020","12 point(s)","White","Main scheme applicant","Main scheme application","1150","1045","0.906","0"
"2021","12 point(s)","White","Main scheme applicant","Main scheme application","1450","1350","0.931","0"
"2022","12 point(s)","White","Main scheme applicant","Main scheme application","1450","1315","0.906","0"
"2023","12 point(s)","White","Main scheme applicant","Main scheme application","1480","1390","0.9390000000000001","0"
"2020","7 point(s)","Black","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","7 point(s)","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","8 point(s)","Black","Main scheme applicant","Main scheme application","5","0"," ","0"
"2012","9 point(s)","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","9 point(s)","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2018","9 point(s)","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","9 point(s)","Black","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","9 point(s)","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","9 point(s)","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","9 point(s)","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2011","10 point(s)","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","10 point(s)","Black","Main scheme applicant","Main scheme application","5","0"," ","0"
"2015","10 point(s)","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","10 point(s)","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2018","10 point(s)","Black","Main scheme applicant","Main scheme application","10","5"," ","0"
"2020","10 point(s)","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","10 point(s)","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","10 point(s)","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2017","11 point(s)","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2018","11 point(s)","Black","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","11 point(s)","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","11 point(s)","Black","Main scheme applicant","Main scheme application","10","5"," ","0"
"2021","11 point(s)","Black","Main scheme applicant","Main scheme application","15","10"," ","0"
"2022","11 point(s)","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","11 point(s)","Black","Main scheme applicant","Main scheme application","10","10"," ","0"
"2011","12 point(s)","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","12 point(s)","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","12 point(s)","Black","Main scheme applicant","Main scheme application","10","10"," ","0"
"2014","12 point(s)","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","12 point(s)","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","12 point(s)","Black","Main scheme applicant","Main scheme application","10","10"," ","0"
"2017","12 point(s)","Black","Main scheme applicant","Main scheme application","15","10","0.769","0"
"2018","12 point(s)","Black","Main scheme applicant","Main scheme application","20","15","0.7000000000000001","0"
"2019","12 point(s)","Black","Main scheme applicant","Main scheme application","15","15","0.882","0"
"2020","12 point(s)","Black","Main scheme applicant","Main scheme application","25","20","0.917","0"
"2021","12 point(s)","Black","Main scheme applicant","Main scheme application","30","20","0.759","0"
"2022","12 point(s)","Black","Main scheme applicant","Main scheme application","35","25","0.735","0"
"2023","12 point(s)","Black","Main scheme applicant","Main scheme application","60","55","0.915","0"
"2011","6 point(s)","Asian","Main scheme applicant","Main scheme application","5","0"," ","0"
"2012","6 point(s)","Asian","Main scheme applicant","Main scheme application","5","0"," ","0"
"2017","6 point(s)","Asian","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","7 point(s)","Asian","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","7 point(s)","Asian","Main scheme applicant","Main scheme application","5","0"," ","0"
"2014","7 point(s)","Asian","Main scheme applicant","Main scheme application","5","5"," ","0"
"2017","7 point(s)","Asian","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","7 point(s)","Asian","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","7 point(s)","Asian","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","7 point(s)","Asian","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","8 point(s)","Asian","Main scheme applicant","Main scheme application","5","5"," ","0"
"2011","8 point(s)","Asian","Main scheme applicant","Main scheme application","5","0"," ","0"
"2012","8 point(s)","Asian","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","8 point(s)","Asian","Main scheme applicant","Main scheme application","10","5"," ","0"
"2015","8 point(s)","Asian","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","8 point(s)","Asian","Main scheme applicant","Main scheme application","10","10"," ","0"
"2017","8 point(s)","Asian","Main scheme applicant","Main scheme application","5","5"," ","0"
"2018","8 point(s)","Asian","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","8 point(s)","Asian","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","8 point(s)","Asian","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","8 point(s)","Asian","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","8 point(s)","Asian","Main scheme applicant","Main scheme application","10","10"," ","0"
"2010","9 point(s)","Asian","Main scheme applicant","Main scheme application","10","5"," ","0"
"2011","9 point(s)","Asian","Main scheme applicant","Main scheme application","10","10"," ","0"
"2012","9 point(s)","Asian","Main scheme applicant","Main scheme application","10","10","0.917","0"
"2013","9 point(s)","Asian","Main scheme applicant","Main scheme application","15","10","0.846","0"
"2014","9 point(s)","Asian","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","9 point(s)","Asian","Main scheme applicant","Main scheme application","10","10","0.917","0"
"2016","9 point(s)","Asian","Main scheme applicant","Main scheme application","20","15","0.722","0"
"2017","9 point(s)","Asian","Main scheme applicant","Main scheme application","15","15","0.765","0"
"2018","9 point(s)","Asian","Main scheme applicant","Main scheme application","10","10"," ","0"
"2019","9 point(s)","Asian","Main scheme applicant","Main scheme application","25","20","0.833","0"
"2020","9 point(s)","Asian","Main scheme applicant","Main scheme application","15","15","0.8240000000000001","0"
"2021","9 point(s)","Asian","Main scheme applicant","Main scheme application","15","10"," ","0"
"2022","9 point(s)","Asian","Main scheme applicant","Main scheme application","15","15","0.875","0"
"2023","9 point(s)","Asian","Main scheme applicant","Main scheme application","35","25","0.758","0"
"2010","10 point(s)","Asian","Main scheme applicant","Main scheme application","5","5"," ","0"
"2011","10 point(s)","Asian","Main scheme applicant","Main scheme application","10","10"," ","0"
"2012","10 point(s)","Asian","Main scheme applicant","Main scheme application","10","5"," ","0"
"2013","10 point(s)","Asian","Main scheme applicant","Main scheme application","10","10"," ","0"
"2014","10 point(s)","Asian","Main scheme applicant","Main scheme application","15","10","0.6880000000000001","0"
"2015","10 point(s)","Asian","Main scheme applicant","Main scheme application","20","15","0.9440000000000001","0"
"2016","10 point(s)","Asian","Main scheme applicant","Main scheme application","10","5"," ","0"
"2017","10 point(s)","Asian","Main scheme applicant","Main scheme application","10","10"," ","0"
"2018","10 point(s)","Asian","Main scheme applicant","Main scheme application","10","10","1","0"
"2019","10 point(s)","Asian","Main scheme applicant","Main scheme application","20","15","0.889","0"
"2020","10 point(s)","Asian","Main scheme applicant","Main scheme application","20","20","0.864","0"
"2021","10 point(s)","Asian","Main scheme applicant","Main scheme application","20","15","0.773","0"
"2022","10 point(s)","Asian","Main scheme applicant","Main scheme application","35","30","0.853","0"
"2023","10 point(s)","Asian","Main scheme applicant","Main scheme application","35","30","0.848","0"
"2010","11 point(s)","Asian","Main scheme applicant","Main scheme application","10","10","0.909","0"
"2011","11 point(s)","Asian","Main scheme applicant","Main scheme application","15","10","0.786","0"
"2012","11 point(s)","Asian","Main scheme applicant","Main scheme application","10","5"," ","0"
"2013","11 point(s)","Asian","Main scheme applicant","Main scheme application","10","10"," ","0"
"2014","11 point(s)","Asian","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","11 point(s)","Asian","Main scheme applicant","Main scheme application","30","25","0.806","0"
"2016","11 point(s)","Asian","Main scheme applicant","Main scheme application","25","20","0.72","0"
"2017","11 point(s)","Asian","Main scheme applicant","Main scheme application","25","20","0.846","0"
"2018","11 point(s)","Asian","Main scheme applicant","Main scheme application","25","20","0.88","0"
"2019","11 point(s)","Asian","Main scheme applicant","Main scheme application","25","20","0.76","0"
"2020","11 point(s)","Asian","Main scheme applicant","Main scheme application","40","35","0.881","0"
"2021","11 point(s)","Asian","Main scheme applicant","Main scheme application","40","35","0.868","0"
"2022","11 point(s)","Asian","Main scheme applicant","Main scheme application","30","30","0.875","0"
"2023","11 point(s)","Asian","Main scheme applicant","Main scheme application","55","50","0.889","0"
"2010","12 point(s)","Asian","Main scheme applicant","Main scheme application","55","45","0.811","0"
"2011","12 point(s)","Asian","Main scheme applicant","Main scheme application","55","45","0.8150000000000001","0"
"2012","12 point(s)","Asian","Main scheme applicant","Main scheme application","75","60","0.8270000000000001","0"
"2013","12 point(s)","Asian","Main scheme applicant","Main scheme application","70","55","0.8","0"
"2014","12 point(s)","Asian","Main scheme applicant","Main scheme application","85","75","0.892","0"
"2015","12 point(s)","Asian","Main scheme applicant","Main scheme application","110","90","0.8210000000000001","0"
"2016","12 point(s)","Asian","Main scheme applicant","Main scheme application","115","100","0.868","0"
"2017","12 point(s)","Asian","Main scheme applicant","Main scheme application","120","95","0.787","0"
"2018","12 point(s)","Asian","Main scheme applicant","Main scheme application","135","105","0.782","0"
"2019","12 point(s)","Asian","Main scheme applicant","Main scheme application","140","120","0.862","0"
"2020","12 point(s)","Asian","Main scheme applicant","Main scheme application","185","150","0.811","0"
"2021","12 point(s)","Asian","Main scheme applicant","Main scheme application","185","150","0.791","0"
"2022","12 point(s)","Asian","Main scheme applicant","Main scheme application","255","210","0.8260000000000001","0"
"2023","12 point(s)","Asian","Main scheme applicant","Main scheme application","275","245","0.901","0"
"2023","7 point(s)","Mixed","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","8 point(s)","Mixed","Main scheme applicant","Main scheme application","5","0"," ","0"
"2015","8 point(s)","Mixed","Main scheme applicant","Main scheme application","5","0"," ","0"
"2017","8 point(s)","Mixed","Main scheme applicant","Main scheme application","5","5"," ","0"
"2018","8 point(s)","Mixed","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","8 point(s)","Mixed","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","8 point(s)","Mixed","Main scheme applicant","Main scheme application","5","5"," ","0"
"2011","9 point(s)","Mixed","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","9 point(s)","Mixed","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","9 point(s)","Mixed","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","9 point(s)","Mixed","Main scheme applicant","Main scheme application","5","0"," ","0"
