"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","UK","England","England","19","Male","Not main scheme applicant","Not main scheme application","15","15","0.882","0"
"2022","International","Not EU","India","19","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","International","Not EU","India","19","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","UK","England","England","20","Male","Not main scheme applicant","Not main scheme application","15","10","0.846","0"
"2020","UK","England","England","20","Male","Not main scheme applicant","Not main scheme application","15","10","0.769","0"
"2021","UK","England","England","20","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","UK","England","England","20","Male","Not main scheme applicant","Not main scheme application","15","10","0.769","0"
"2023","UK","England","England","20","Male","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2019","UK","England","England","21 - 24","Male","Not main scheme applicant","Not main scheme application","40","30","0.8160000000000001","0"
"2020","UK","England","England","21 - 24","Male","Not main scheme applicant","Not main scheme application","55","50","0.912","0"
"2021","UK","England","England","21 - 24","Male","Not main scheme applicant","Not main scheme application","25","20","0.846","0"
"2022","UK","England","England","21 - 24","Male","Not main scheme applicant","Not main scheme application","45","30","0.66","0"
"2023","UK","England","England","21 - 24","Male","Not main scheme applicant","Not main scheme application","65","50","0.742","0"
"2019","UK","Scotland","Scotland","21 - 24","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","Scotland","Scotland","21 - 24","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","UK","Scotland","Scotland","21 - 24","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","UK","Scotland","Scotland","21 - 24","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
