"Year","Subject group HECoS","Detailed subject group HECoS","Provider country","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","(CAH17) business and management","(CAH17-01-08) accounting","Northern Ireland","1290","1205","0.935"
"2020","(CAH17) business and management","(CAH17-01-08) accounting","Northern Ireland","1215","1125","0.925"
"2021","(CAH17) business and management","(CAH17-01-08) accounting","Northern Ireland","1430","1310","0.916"
"2022","(CAH17) business and management","(CAH17-01-08) accounting","Northern Ireland","1315","1190","0.905"
"2023","(CAH17) business and management","(CAH17-01-08) accounting","Northern Ireland","1385","1245","0.9"
"2019","(CAH17) business and management","(CAH17-01-07) finance","Northern Ireland","1020","905","0.887"
"2020","(CAH17) business and management","(CAH17-01-07) finance","Northern Ireland","850","745","0.878"
"2021","(CAH17) business and management","(CAH17-01-07) finance","Northern Ireland","965","840","0.872"
"2022","(CAH17) business and management","(CAH17-01-07) finance","Northern Ireland","930","770","0.8290000000000001"
"2023","(CAH17) business and management","(CAH17-01-07) finance","Northern Ireland","1120","930","0.8280000000000001"
"2019","(CAH15) social sciences","(CAH15-03-01) politics","Northern Ireland","1040","990","0.9510000000000001"
"2020","(CAH15) social sciences","(CAH15-03-01) politics","Northern Ireland","1020","950","0.932"
"2021","(CAH15) social sciences","(CAH15-03-01) politics","Northern Ireland","1145","1075","0.9380000000000001"
"2022","(CAH15) social sciences","(CAH15-03-01) politics","Northern Ireland","1030","955","0.928"
"2023","(CAH15) social sciences","(CAH15-03-01) politics","Northern Ireland","1280","1200","0.9390000000000001"
"2019","(CAH15) social sciences","(CAH15-01-04) anthropology","Northern Ireland","145","125","0.866"
"2020","(CAH15) social sciences","(CAH15-01-04) anthropology","Northern Ireland","120","105","0.858"
"2021","(CAH15) social sciences","(CAH15-01-04) anthropology","Northern Ireland","175","160","0.914"
"2022","(CAH15) social sciences","(CAH15-01-04) anthropology","Northern Ireland","175","160","0.926"
"2023","(CAH15) social sciences","(CAH15-01-04) anthropology","Northern Ireland","195","160","0.8210000000000001"
"2019","(CAH15) social sciences","(CAH15-02-01) economics","Northern Ireland","1370","1250","0.914"
"2020","(CAH15) social sciences","(CAH15-02-01) economics","Northern Ireland","1380","1245","0.904"
"2021","(CAH15) social sciences","(CAH15-02-01) economics","Northern Ireland","1530","1380","0.902"
"2022","(CAH15) social sciences","(CAH15-02-01) economics","Northern Ireland","1460","1250","0.857"
"2023","(CAH15) social sciences","(CAH15-02-01) economics","Northern Ireland","1800","1555","0.865"
"2019","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Northern Ireland","915","370","0.402"
"2020","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Northern Ireland","895","380","0.427"
"2021","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Northern Ireland","865","425","0.492"
"2022","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Northern Ireland","760","330","0.432"
"2023","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Northern Ireland","820","465","0.5660000000000001"
"2019","(CAH15) social sciences","(CAH15-04-01) social work","Northern Ireland","2055","535","0.261"
"2020","(CAH15) social sciences","(CAH15-04-01) social work","Northern Ireland","2430","655","0.27"
"2021","(CAH15) social sciences","(CAH15-04-01) social work","Northern Ireland","2705","480","0.178"
"2022","(CAH15) social sciences","(CAH15-04-01) social work","Northern Ireland","2110","490","0.233"
"2023","(CAH15) social sciences","(CAH15-04-01) social work","Northern Ireland","1875","555","0.295"
"2019","(CAH15) social sciences","(CAH15-04-03) health studies","Northern Ireland","480","385","0.801"
"2020","(CAH15) social sciences","(CAH15-04-03) health studies","Northern Ireland","515","400","0.778"
"2021","(CAH15) social sciences","(CAH15-04-03) health studies","Northern Ireland","495","385","0.775"
"2022","(CAH15) social sciences","(CAH15-04-03) health studies","Northern Ireland","495","395","0.799"
"2023","(CAH15) social sciences","(CAH15-04-03) health studies","Northern Ireland","545","420","0.773"
"2019","(CAH15) social sciences","(CAH15-01-03) social policy","Northern Ireland","415","390","0.9420000000000001"
"2020","(CAH15) social sciences","(CAH15-01-03) social policy","Northern Ireland","415","400","0.9590000000000001"
"2021","(CAH15) social sciences","(CAH15-01-03) social policy","Northern Ireland","330","315","0.9560000000000001"
"2022","(CAH15) social sciences","(CAH15-01-03) social policy","Northern Ireland","275","260","0.9460000000000001"
"2023","(CAH15) social sciences","(CAH15-01-03) social policy","Northern Ireland","290","275","0.9500000000000001"
"2019","(CAH15) social sciences","(CAH15-01-02) sociology","Northern Ireland","2135","1965","0.921"
"2020","(CAH15) social sciences","(CAH15-01-02) sociology","Northern Ireland","2125","1990","0.9380000000000001"
"2021","(CAH15) social sciences","(CAH15-01-02) sociology","Northern Ireland","2225","2015","0.907"
"2022","(CAH15) social sciences","(CAH15-01-02) sociology","Northern Ireland","2220","2020","0.911"
"2023","(CAH15) social sciences","(CAH15-01-02) sociology","Northern Ireland","2195","2060","0.9380000000000001"
"2019","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Northern Ireland","1685","1335","0.792"
"2020","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Northern Ireland","1810","1405","0.775"
"2021","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Northern Ireland","1685","1405","0.835"
"2022","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Northern Ireland","1900","1480","0.778"
"2023","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Northern Ireland","2215","1850","0.835"
"2019","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Northern Ireland","195","170","0.882"
"2020","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Northern Ireland","220","200","0.909"
"2021","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Northern Ireland","190","155","0.8160000000000001"
"2022","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Northern Ireland","210","170","0.805"
"2023","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Northern Ireland","250","215","0.864"
"2019","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Northern Ireland","185","170","0.914"
"2020","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Northern Ireland","175","165","0.9490000000000001"
"2021","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Northern Ireland","240","225","0.929"
"2022","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Northern Ireland","250","230","0.92"
"2023","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Northern Ireland","295","275","0.925"
"2019","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Northern Ireland","510","450","0.88"
"2020","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Northern Ireland","460","405","0.883"
"2021","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Northern Ireland","470","395","0.845"
"2022","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Northern Ireland","480","380","0.796"
"2023","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Northern Ireland","570","480","0.846"
"2019","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Northern Ireland","240","230","0.967"
"2020","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Northern Ireland","210","205","0.967"
"2021","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Northern Ireland","165","160","0.97"
"2022","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Northern Ireland","205","200","0.98"
"2023","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Northern Ireland","210","210","0.995"
"2019","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Northern Ireland","130","110","0.854"
"2020","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Northern Ireland","120","100","0.833"
"2021","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Northern Ireland","145","115","0.786"
"2022","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Northern Ireland","185","135","0.73"
"2023","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Northern Ireland","230","180","0.778"
"2019","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Northern Ireland","175","160","0.903"
"2020","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Northern Ireland","150","130","0.86"
"2021","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Northern Ireland","145","120","0.8210000000000001"
"2022","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Northern Ireland","180","155","0.867"
"2023","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Northern Ireland","190","165","0.868"
"2019","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Northern Ireland","155","130","0.8320000000000001"
"2020","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Northern Ireland","180","140","0.783"
"2021","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Northern Ireland","210","145","0.686"
"2022","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Northern Ireland","210","155","0.733"
"2023","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Northern Ireland","220","165","0.745"
"2019","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Northern Ireland","585","430","0.738"
"2020","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Northern Ireland","535","430","0.802"
"2021","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Northern Ireland","620","515","0.8310000000000001"
"2022","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Northern Ireland","685","580","0.848"
"2023","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Northern Ireland","755","595","0.785"
"2019","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Northern Ireland","10","10","1"
"2020","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Northern Ireland","10","10"," "
"2021","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Northern Ireland","10","10","1.1"
"2022","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Northern Ireland","15","15","0.933"
"2023","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Northern Ireland","20","20","1"
"2019","(CAH13) architecture, building and planning","(CAH13-01-02) building","Northern Ireland","960","895","0.933"
"2020","(CAH13) architecture, building and planning","(CAH13-01-02) building","Northern Ireland","1025","1005","0.979"
"2021","(CAH13) architecture, building and planning","(CAH13-01-02) building","Northern Ireland","1040","1025","0.987"
"2022","(CAH13) architecture, building and planning","(CAH13-01-02) building","Northern Ireland","1000","995","0.993"
"2023","(CAH13) architecture, building and planning","(CAH13-01-02) building","Northern Ireland","915","895","0.98"
"2019","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Northern Ireland","295","275","0.936"
"2020","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Northern Ireland","305","290","0.9540000000000001"
"2021","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Northern Ireland","265","260","0.974"
"2022","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Northern Ireland","295","285","0.963"
"2023","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Northern Ireland","305","290","0.9540000000000001"
"2019","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Northern Ireland","320","120","0.369"
"2020","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Northern Ireland","330","115","0.34500000000000003"
"2021","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Northern Ireland","385","80","0.20800000000000002"
"2022","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Northern Ireland","440","70","0.159"
"2023","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Northern Ireland","620","90","0.145"
"2019","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Northern Ireland","1385","540","0.388"
"2020","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Northern Ireland","1345","495","0.367"
"2021","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Northern Ireland","2020","485","0.24"
"2022","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Northern Ireland","2635","430","0.164"
"2023","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Northern Ireland","2720","495","0.182"
"2019","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Northern Ireland","85","80","0.9410000000000001"
"2020","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Northern Ireland","65","60","0.9380000000000001"
"2021","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Northern Ireland","65","65","1"
"2022","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Northern Ireland","70","65","0.929"
"2023","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Northern Ireland","130","125","0.9460000000000001"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Northern Ireland","955","910","0.9520000000000001"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Northern Ireland","895","865","0.964"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Northern Ireland","945","890","0.9440000000000001"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Northern Ireland","1015","980","0.966"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Northern Ireland","1035","990","0.9560000000000001"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Northern Ireland","105","95","0.893"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Northern Ireland","95","80","0.834"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Northern Ireland","95","80","0.8320000000000001"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Northern Ireland","120","110","0.9"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Northern Ireland","140","125","0.888"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Northern Ireland","160","140","0.889"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Northern Ireland","165","150","0.917"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Northern Ireland","185","165","0.903"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Northern Ireland","160","145","0.908"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Northern Ireland","210","185","0.879"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Northern Ireland","95","25","0.258"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Northern Ireland","40","25","0.637"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Northern Ireland","40","30","0.788"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Northern Ireland","40","25","0.663"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Northern Ireland","30","25","0.783"
"2019","(CAH11) computing","(CAH11-01-05) artificial intelligence","Northern Ireland","40","35","0.8250000000000001"
"2020","(CAH11) computing","(CAH11-01-05) artificial intelligence","Northern Ireland","50","50","0.96"
"2021","(CAH11) computing","(CAH11-01-05) artificial intelligence","Northern Ireland","45","40","0.844"
"2022","(CAH11) computing","(CAH11-01-05) artificial intelligence","Northern Ireland","50","45","0.92"
"2023","(CAH11) computing","(CAH11-01-05) artificial intelligence","Northern Ireland","60","55","0.933"
"2019","(CAH11) computing","(CAH11-01-07) business computing","Northern Ireland","330","295","0.9"
"2020","(CAH11) computing","(CAH11-01-07) business computing","Northern Ireland","280","245","0.875"
"2021","(CAH11) computing","(CAH11-01-07) business computing","Northern Ireland","250","220","0.872"
"2022","(CAH11) computing","(CAH11-01-07) business computing","Northern Ireland","320","280","0.878"
"2023","(CAH11) computing","(CAH11-01-07) business computing","Northern Ireland","245","215","0.886"
"2023","(CAH11) computing","(CAH11-01-06) computer games and animation","Northern Ireland","135","130","0.978"
"2019","(CAH11) computing","(CAH11-01-01) computer science","Northern Ireland","2655","2350","0.885"
"2020","(CAH11) computing","(CAH11-01-01) computer science","Northern Ireland","2285","2065","0.904"
"2021","(CAH11) computing","(CAH11-01-01) computer science","Northern Ireland","2110","1940","0.92"
"2022","(CAH11) computing","(CAH11-01-01) computer science","Northern Ireland","2190","1935","0.883"
"2023","(CAH11) computing","(CAH11-01-01) computer science","Northern Ireland","2300","2065","0.898"
"2019","(CAH11) computing","(CAH11-01-02) information technology","Northern Ireland","395","335","0.843"
"2020","(CAH11) computing","(CAH11-01-02) information technology","Northern Ireland","420","375","0.89"
"2021","(CAH11) computing","(CAH11-01-02) information technology","Northern Ireland","310","265","0.848"
"2022","(CAH11) computing","(CAH11-01-02) information technology","Northern Ireland","295","250","0.854"
"2023","(CAH11) computing","(CAH11-01-02) information technology","Northern Ireland","240","215","0.896"
"2019","(CAH11) computing","(CAH11-01-03) information systems","Northern Ireland","600","585","0.975"
"2020","(CAH11) computing","(CAH11-01-03) information systems","Northern Ireland","605","595","0.983"
"2021","(CAH11) computing","(CAH11-01-03) information systems","Northern Ireland","560","555","0.988"
"2022","(CAH11) computing","(CAH11-01-03) information systems","Northern Ireland","505","485","0.9590000000000001"
"2023","(CAH11) computing","(CAH11-01-03) information systems","Northern Ireland","510","500","0.975"
"2019","(CAH11) computing","(CAH11-01-04) software engineering","Northern Ireland","1075","985","0.915"
"2020","(CAH11) computing","(CAH11-01-04) software engineering","Northern Ireland","1045","950","0.909"
"2021","(CAH11) computing","(CAH11-01-04) software engineering","Northern Ireland","1025","935","0.914"
"2022","(CAH11) computing","(CAH11-01-04) software engineering","Northern Ireland","1225","1090","0.891"
"2023","(CAH11) computing","(CAH11-01-04) software engineering","Northern Ireland","1265","1130","0.894"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Northern Ireland","95","90","0.926"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Northern Ireland","115","110","0.9390000000000001"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Northern Ireland","140","140","1.0070000000000001"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Northern Ireland","175","145","0.8260000000000001"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Northern Ireland","225","210","0.9410000000000001"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Northern Ireland","190","185","0.975"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Northern Ireland","205","200","0.964"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Northern Ireland","245","230","0.9490000000000001"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","Northern Ireland","395","375","0.9550000000000001"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","Northern Ireland","390","380","0.973"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","Northern Ireland","355","345","0.973"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","Northern Ireland","350","340","0.97"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","Northern Ireland","525","510","0.974"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","Northern Ireland","10","10"," "
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Northern Ireland","335","320","0.9520000000000001"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Northern Ireland","300","280","0.933"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Northern Ireland","305","290","0.9520000000000001"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Northern Ireland","300","285","0.9450000000000001"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Northern Ireland","420","395","0.936"
"2019","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Northern Ireland","10","5"," "
"2020","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Northern Ireland","5","5"," "
"2021","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Northern Ireland","10","5"," "
"2019","(CAH07) physical sciences","(CAH07-02-01) chemistry","Northern Ireland","290","265","0.912"
"2020","(CAH07) physical sciences","(CAH07-02-01) chemistry","Northern Ireland","270","255","0.9480000000000001"
"2021","(CAH07) physical sciences","(CAH07-02-01) chemistry","Northern Ireland","295","280","0.9530000000000001"
"2022","(CAH07) physical sciences","(CAH07-02-01) chemistry","Northern Ireland","350","325","0.929"
"2023","(CAH07) physical sciences","(CAH07-02-01) chemistry","Northern Ireland","430","400","0.928"
"2019","(CAH07) physical sciences","(CAH07-01-02) astronomy","Northern Ireland","20","15","0.87"
"2020","(CAH07) physical sciences","(CAH07-01-02) astronomy","Northern Ireland","20","20","0.878"
"2021","(CAH07) physical sciences","(CAH07-01-02) astronomy","Northern Ireland","20","15","0.8250000000000001"
"2022","(CAH07) physical sciences","(CAH07-01-02) astronomy","Northern Ireland","20","20","0.925"
"2023","(CAH07) physical sciences","(CAH07-01-02) astronomy","Northern Ireland","25","20","0.856"
"2019","(CAH07) physical sciences","(CAH07-01-01) physics","Northern Ireland","325","315","0.97"
"2020","(CAH07) physical sciences","(CAH07-01-01) physics","Northern Ireland","305","290","0.9450000000000001"
"2021","(CAH07) physical sciences","(CAH07-01-01) physics","Northern Ireland","340","325","0.9550000000000001"
"2022","(CAH07) physical sciences","(CAH07-01-01) physics","Northern Ireland","320","305","0.9510000000000001"
"2023","(CAH07) physical sciences","(CAH07-01-01) physics","Northern Ireland","315","300","0.9540000000000001"
"2019","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Northern Ireland","1550","1445","0.932"
"2020","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Northern Ireland","1635","1500","0.918"
"2021","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Northern Ireland","1575","1465","0.93"
"2022","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Northern Ireland","1670","1405","0.841"
"2023","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Northern Ireland","1670","1395","0.835"
"2019","(CAH04) psychology","(CAH04-01-05) others in psychology","Northern Ireland","205","200","0.966"
"2020","(CAH04) psychology","(CAH04-01-05) others in psychology","Northern Ireland","5","0"," "
"2019","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Northern Ireland","630","600","0.9540000000000001"
"2020","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Northern Ireland","515","485","0.9420000000000001"
"2021","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Northern Ireland","605","580","0.96"
"2022","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Northern Ireland","640","605","0.9450000000000001"
"2023","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Northern Ireland","610","565","0.929"
"2019","(CAH09) mathematical sciences","(CAH09-01-03) statistics","Northern Ireland","15","15","1.056"
"2020","(CAH09) mathematical sciences","(CAH09-01-03) statistics","Northern Ireland","10","10","1.089"
"2021","(CAH09) mathematical sciences","(CAH09-01-03) statistics","Northern Ireland","15","15","0.968"
"2022","(CAH09) mathematical sciences","(CAH09-01-03) statistics","Northern Ireland","15","15","1.034"
"2023","(CAH09) mathematical sciences","(CAH09-01-03) statistics","Northern Ireland","15","15","1.078"
"2019","(CAH22) education and teaching","(CAH22-01-01) education","Northern Ireland","105","100","0.969"
"2020","(CAH22) education and teaching","(CAH22-01-01) education","Northern Ireland","105","105","0.977"
"2021","(CAH22) education and teaching","(CAH22-01-01) education","Northern Ireland","165","160","0.962"
"2022","(CAH22) education and teaching","(CAH22-01-01) education","Northern Ireland","175","170","0.9590000000000001"
"2023","(CAH22) education and teaching","(CAH22-01-01) education","Northern Ireland","210","195","0.9380000000000001"
"2019","(CAH22) education and teaching","(CAH22-01-02) teacher training","Northern Ireland","655","250","0.379"
"2020","(CAH22) education and teaching","(CAH22-01-02) teacher training","Northern Ireland","630","265","0.417"
"2021","(CAH22) education and teaching","(CAH22-01-02) teacher training","Northern Ireland","715","310","0.431"
"2022","(CAH22) education and teaching","(CAH22-01-02) teacher training","Northern Ireland","695","255","0.37"
"2023","(CAH22) education and teaching","(CAH22-01-02) teacher training","Northern Ireland","660","255","0.386"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","Northern Ireland","150","110","0.72"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","Northern Ireland","145","115","0.793"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","Northern Ireland","155","125","0.8130000000000001"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","Northern Ireland","130","100","0.785"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","Northern Ireland","195","160","0.8210000000000001"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","Northern Ireland","90","85","0.967"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","Northern Ireland","70","65","0.9570000000000001"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","Northern Ireland","85","80","0.965"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","Northern Ireland","60","60","0.967"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","Northern Ireland","95","85","0.916"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","Northern Ireland","75","65","0.833"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","Northern Ireland","85","70","0.8"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","Northern Ireland","75","60","0.773"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","Northern Ireland","75","55","0.707"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","Northern Ireland","100","70","0.6950000000000001"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","Northern Ireland","75","65","0.833"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","Northern Ireland","85","70","0.8"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","Northern Ireland","75","60","0.773"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","Northern Ireland","75","55","0.707"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","Northern Ireland","100","70","0.6950000000000001"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","Northern Ireland","195","175","0.908"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","Northern Ireland","200","185","0.915"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","Northern Ireland","160","155","0.969"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","Northern Ireland","155","135","0.884"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","Northern Ireland","135","135","0.985"
"2019","(CAH16) law","(CAH16-01-01) law","Northern Ireland","2345","2185","0.931"
