"Year","Subject group HECoS","Detailed subject group HECoS","Provider country","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2023","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","England","6855","4830","0.705"
"2019","(CAH10) engineering and technology","(CAH10-03-02) materials technology","England","1435","1030","0.719"
"2020","(CAH10) engineering and technology","(CAH10-03-02) materials technology","England","1470","975","0.664"
"2021","(CAH10) engineering and technology","(CAH10-03-02) materials technology","England","1300","905","0.6970000000000001"
"2022","(CAH10) engineering and technology","(CAH10-03-02) materials technology","England","1080","720","0.665"
"2023","(CAH10) engineering and technology","(CAH10-03-02) materials technology","England","1450","1025","0.705"
"2019","(CAH10) engineering and technology","(CAH10-03-06) others in technology","England","2625","2215","0.844"
"2020","(CAH10) engineering and technology","(CAH10-03-06) others in technology","England","2950","2415","0.8190000000000001"
"2021","(CAH10) engineering and technology","(CAH10-03-06) others in technology","England","3215","2765","0.859"
"2022","(CAH10) engineering and technology","(CAH10-03-06) others in technology","England","3285","2745","0.835"
"2023","(CAH10) engineering and technology","(CAH10-03-06) others in technology","England","3430","2850","0.8310000000000001"
"2019","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","England","8615","7170","0.833"
"2020","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","England","8695","7250","0.834"
"2021","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","England","9320","7725","0.8290000000000001"
"2022","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","England","10685","8550","0.8"
"2023","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","England","10215","8240","0.807"
"2019","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","England","18435","14275","0.774"
"2020","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","England","18945","14605","0.771"
"2021","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","England","19365","14605","0.754"
"2022","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","England","20600","14785","0.718"
"2023","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","England","21400","15770","0.737"
"2019","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","England","20700","15660","0.756"
"2020","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","England","22195","16565","0.746"
"2021","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","England","23195","16535","0.713"
"2022","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","England","25950","17350","0.669"
"2023","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","England","25905","17595","0.679"
"2019","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","England","18210","14620","0.803"
"2020","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","England","18365","14880","0.81"
"2021","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","England","18955","15195","0.802"
"2022","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","England","18340","14175","0.773"
"2023","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","England","17600","13555","0.77"
"2019","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","England","815","635","0.78"
"2020","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","England","830","715","0.862"
"2021","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","England","730","620","0.849"
"2022","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","England","875","755","0.865"
"2023","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","England","1095","900","0.8220000000000001"
"2019","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","England","12605","9970","0.791"
"2020","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","England","12325","9880","0.801"
"2021","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","England","11440","9100","0.795"
"2022","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","England","10705","8195","0.766"
"2023","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","England","11960","9065","0.758"
"2019","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","England","185","130","0.7030000000000001"
"2020","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","England","145","100","0.68"
"2021","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","England","115","85","0.718"
"2022","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","England","200","145","0.724"
"2023","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","England","295","210","0.716"
"2019","(CAH10) engineering and technology","(CAH10-03-01) minerals technology","England","15","10"," "
"2020","(CAH10) engineering and technology","(CAH10-03-01) minerals technology","England","20","15","0.705"
"2021","(CAH10) engineering and technology","(CAH10-03-01) minerals technology","England","10","10"," "
"2022","(CAH10) engineering and technology","(CAH10-03-01) minerals technology","England","15","10","0.8"
"2023","(CAH10) engineering and technology","(CAH10-03-01) minerals technology","England","15","10","0.733"
"2019","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","England","16500","10610","0.643"
"2020","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","England","16995","11080","0.652"
"2021","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","England","19115","12660","0.662"
"2022","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","England","18995","11955","0.629"
"2023","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","England","18800","11885","0.632"
"2019","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","England","95","80","0.8280000000000001"
"2020","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","England","85","70","0.8210000000000001"
"2021","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","England","35","35","0.9430000000000001"
"2022","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","England","55","35","0.655"
"2023","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","England","50","35","0.74"
"2019","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","England","35750","28095","0.786"
"2020","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","England","36355","29115","0.801"
"2021","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","England","37305","28440","0.762"
"2022","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","England","38630","28445","0.736"
"2023","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","England","39915","29370","0.736"
"2019","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","England","390","325","0.8320000000000001"
"2020","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","England","455","390","0.862"
"2021","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","England","340","305","0.899"
"2022","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","England","340","285","0.836"
"2023","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","England","325","280","0.858"
"2019","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","England","115","110","0.9500000000000001"
"2020","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","England","160","145","0.921"
"2021","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","England","40","35","0.913"
"2022","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","England","40","35","0.885"
"2023","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","England","40","35","0.85"
"2019","(CAH10) engineering and technology","(CAH10-03-07) materials science","England","1550","875","0.5650000000000001"
"2020","(CAH10) engineering and technology","(CAH10-03-07) materials science","England","1750","1065","0.609"
"2021","(CAH10) engineering and technology","(CAH10-03-07) materials science","England","1565","870","0.555"
"2022","(CAH10) engineering and technology","(CAH10-03-07) materials science","England","1400","810","0.579"
"2023","(CAH10) engineering and technology","(CAH10-03-07) materials science","England","1460","895","0.613"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","England","6450","3670","0.5690000000000001"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","England","6325","3670","0.58"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","England","5740","3685","0.642"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","England","6160","3225","0.524"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","England","6735","3910","0.581"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","England","4370","3455","0.791"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","England","5385","4360","0.81"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","England","5140","4005","0.78"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","England","5465","3510","0.642"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","England","5130","3510","0.684"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","England","8310","2950","0.355"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","England","9080","3390","0.373"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","England","11160","3730","0.334"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","England","11265","3400","0.302"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","England","11715","3675","0.314"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","England","2000","1280","0.64"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","England","2140","1415","0.66"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","England","2720","1880","0.6920000000000001"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","England","2620","1710","0.653"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","England","1815","1205","0.663"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","England","25250","10075","0.399"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","England","27535","11120","0.404"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","England","37990","13380","0.352"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","England","39785","13310","0.335"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","England","34205","11745","0.343"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","England","6160","4630","0.752"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","England","6320","4655","0.737"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","England","6610","4940","0.747"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","England","6120","4455","0.728"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","England","5350","3780","0.706"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","England","2750","2560","0.93"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","England","3000","2830","0.9440000000000001"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","England","4340","4200","0.968"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","England","3690","3525","0.9550000000000001"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","England","2965","2720","0.918"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","England","9405","5775","0.614"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","England","10210","6370","0.624"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","England","11575","7300","0.631"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","England","11590","6790","0.586"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","England","10840","6415","0.592"
"2019","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","England","5215","4195","0.805"
"2020","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","England","5460","4410","0.808"
"2021","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","England","6565","5040","0.768"
"2022","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","England","7385","5165","0.7000000000000001"
"2023","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","England","7760","5535","0.713"
"2019","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","England","16185","10755","0.664"
"2020","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","England","16110","10510","0.653"
"2021","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","England","19085","13250","0.6940000000000001"
"2022","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","England","21775","12850","0.59"
"2023","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","England","27800","14895","0.536"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","England","16615","6045","0.364"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","England","18105","6875","0.38"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","England","20210","6890","0.341"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","England","22795","6350","0.279"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","England","23320","7090","0.304"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","England","5565","3680","0.661"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","England","6645","4540","0.683"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","England","6745","4430","0.656"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","England","7770","5435","0.6990000000000001"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","England","8120","5900","0.726"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","England","42730","37070","0.867"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","England","43795","38085","0.87"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","England","45870","39845","0.869"
