"------------------------------------------------------------------"
"Sex, area background and ethnic group			"
"------------------------------------------------------------------"
"This file contains data used reported in the Sex, area background and ethnic group reports, covering all providers for whom reports have been published on the UCAS website."
"Cycle years: 2010 - 2021"
"Cycle reference point: End of Cycle"
"Applicant coverage: UK domiciled"
"Equality dimensions: Sex, POLAR4, SIMD 2016, ethnic group"
"Statistics reported:"
"June deadline applicants, placed June deadline applicants, all placed applicants, June deadline applicants per 10,000 population, placed June deadline applicants per 10,000 population,"
"all placed applicants per 10,000 population"
"June deadline applications, offers, offer rate, average offer rate, percentage point difference between offer rate and average offer rate, contribution of group to the average offer rate"
"Non-disclosure controls: To avoid the disclosure of information about any individual the following measures are taken"
"Applicants, placed applicants, applications and offers are rounded to the nearest 5."
"Applicants/placed applicants per 10,000 population figures are reported as 0 if the applicant/placed applicant figures are rounded to 0."
"All statistics related to the offer rate are not reported when the number of applications for a group is less than 10. The percentage point difference between the offer rate and"
"the average offer rate is not reported when the number of applications for a group is less than 50."
"Offer rates are reported as 0% if there are fewer than 5 offers, and 100% if the number of offers is within 5 of the number of applications. When the offer rate is reported as 0% or 100%,"
"it is reported in italics."
"------------------------------------------------------------------"
Please refer to the Sex, area background and ethnic group reports specified above for technical notes and definitions.
Data lines are comma delimited.
Data follows - 2808 lines in total
------------------------------------------------------------------
appl_higher_lev_dom,Cycle,statistic,equality_dimension,agegroup,value
UK providers,2012,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,2320.2
UK providers,2012,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,1876
UK providers,2012,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,1219.1
UK providers,2012,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,1802.5
UK providers,2012,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,2230.7
UK providers,2012,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,2702.3
UK providers,2012,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,3659.7
UK providers,2012,"Placed June deadline applicants per 10,000 population",Men,18 year olds,2053.6
UK providers,2012,"Placed June deadline applicants per 10,000 population",Women,18 year olds,2723.9
UK providers,2013,"Placed June deadline applicants per 10,000 population",Total,18 year olds,2522.6
UK providers,2013,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,2514
UK providers,2013,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,2488.7
UK providers,2013,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,2616.1
UK providers,2013,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,2423.8
UK providers,2013,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,1989.5
UK providers,2013,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,1326.6
UK providers,2013,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,1929.5
UK providers,2013,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,2389.8
UK providers,2013,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,2855.8
UK providers,2013,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,3804
UK providers,2013,"Placed June deadline applicants per 10,000 population",Men,18 year olds,2192.9
UK providers,2013,"Placed June deadline applicants per 10,000 population",Women,18 year olds,2870
UK providers,2014,"Placed June deadline applicants per 10,000 population",Total,18 year olds,2591.8
UK providers,2014,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,2585.2
UK providers,2014,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,2547
UK providers,2014,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,2667
UK providers,2014,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,2476.9
UK providers,2014,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,2204.6
UK providers,2014,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,1451.5
UK providers,2014,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,2054.7
UK providers,2014,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,2475.9
UK providers,2014,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,2906.4
UK providers,2014,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,3791.7
UK providers,2014,"Placed June deadline applicants per 10,000 population",Men,18 year olds,2240.9
UK providers,2014,"Placed June deadline applicants per 10,000 population",Women,18 year olds,2962.8
UK providers,2015,"Placed June deadline applicants per 10,000 population",Total,18 year olds,2662
UK providers,2015,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,2633.9
UK providers,2015,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,2709.4
UK providers,2015,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,2789.4
UK providers,2015,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,2596.9
UK providers,2015,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,2418.4
UK providers,2015,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,1520
UK providers,2015,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,2081.2
UK providers,2015,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,2556.2
UK providers,2015,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,2993.1
UK providers,2015,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,3865.5
UK providers,2015,"Placed June deadline applicants per 10,000 population",Men,18 year olds,2272.6
UK providers,2015,"Placed June deadline applicants per 10,000 population",Women,18 year olds,3070.8
UK providers,2016,"Placed June deadline applicants per 10,000 population",Total,18 year olds,2747.8
UK providers,2016,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,2714.7
UK providers,2016,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,2856.9
UK providers,2016,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,2896.6
UK providers,2016,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,2659.6
UK providers,2016,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,2425.8
UK providers,2016,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,1592.1
UK providers,2016,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,2207.2
UK providers,2016,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,2606.4
UK providers,2016,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,3061.1
UK providers,2016,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,3934.8
UK providers,2016,"Placed June deadline applicants per 10,000 population",Men,18 year olds,2345.3
UK providers,2016,"Placed June deadline applicants per 10,000 population",Women,18 year olds,3170.9
UK providers,2017,"Placed June deadline applicants per 10,000 population",Total,18 year olds,2789.7
UK providers,2017,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,2741.5
UK providers,2017,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,2932
UK providers,2017,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,2993
UK providers,2017,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,2753.3
UK providers,2017,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,2625
UK providers,2017,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,1662.5
UK providers,2017,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,2240.5
UK providers,2017,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,2674.2
UK providers,2017,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,3073.1
UK providers,2017,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,3951.9
UK providers,2017,"Placed June deadline applicants per 10,000 population",Men,18 year olds,2368.1
UK providers,2017,"Placed June deadline applicants per 10,000 population",Women,18 year olds,3233.3
UK providers,2018,"Placed June deadline applicants per 10,000 population",Total,18 year olds,2814.8
UK providers,2018,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,2751.5
UK providers,2018,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,3036.9
UK providers,2018,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,3075.1
UK providers,2018,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,2745.1
UK providers,2018,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,2664
UK providers,2018,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,1682
UK providers,2018,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,2269.8
UK providers,2018,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,2650.2
UK providers,2018,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,3121.3
UK providers,2018,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,3984
UK providers,2018,"Placed June deadline applicants per 10,000 population",Men,18 year olds,2386.6
UK providers,2018,"Placed June deadline applicants per 10,000 population",Women,18 year olds,3265.6
UK providers,2019,"Placed June deadline applicants per 10,000 population",Total,18 year olds,2852.3
UK providers,2019,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,2758.8
UK providers,2019,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,3187.9
UK providers,2019,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,3192.2
UK providers,2019,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,2858.5
UK providers,2019,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,2945.8
UK providers,2019,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,1760.2
UK providers,2019,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,2279.5
UK providers,2019,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,2721.1
UK providers,2019,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,3151.2
UK providers,2019,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,3977.5
UK providers,2019,"Placed June deadline applicants per 10,000 population",Men,18 year olds,2407
UK providers,2019,"Placed June deadline applicants per 10,000 population",Women,18 year olds,3319.2
UK providers,2020,"Placed June deadline applicants per 10,000 population",Total,18 year olds,3058.1
UK providers,2020,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,2936
UK providers,2020,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,3572.8
UK providers,2020,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,3442.9
UK providers,2020,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,3039.1
UK providers,2020,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,3361.6
UK providers,2020,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,1961.3
UK providers,2020,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,2496.7
UK providers,2020,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,2878.8
UK providers,2020,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,3362.5
UK providers,2020,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,4208.5
UK providers,2020,"Placed June deadline applicants per 10,000 population",Men,18 year olds,2550.7
UK providers,2020,"Placed June deadline applicants per 10,000 population",Women,18 year olds,3592.5
UK providers,2021,"Placed June deadline applicants per 10,000 population",Total,18 year olds,3377.8
UK providers,2021,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,3209.8
UK providers,2021,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,3995.1
UK providers,2021,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,3959.8
UK providers,2021,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,3363.9
UK providers,2021,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,3712.7
UK providers,2021,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,2105.8
UK providers,2021,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,2695
UK providers,2021,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,3182.5
UK providers,2021,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,3722.8
UK providers,2021,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,4727.7
UK providers,2021,"Placed June deadline applicants per 10,000 population",Men,18 year olds,2847.1
UK providers,2021,"Placed June deadline applicants per 10,000 population",Women,18 year olds,3938.2
UK providers,2010,"All placed applicants per 10,000 population",Total,18 year olds,2699.1
UK providers,2010,"All placed applicants per 10,000 population",White ethnic group,18 year olds,2632.2
UK providers,2010,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,2856.9
UK providers,2010,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,3161
UK providers,2010,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,2749.9
UK providers,2010,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,2256.1
UK providers,2010,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,1320.6
UK providers,2010,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,1999.1
UK providers,2010,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,2544.9
UK providers,2010,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,3160.3
UK providers,2010,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,4194.9
UK providers,2010,"All placed applicants per 10,000 population",Men,18 year olds,2377.5
UK providers,2010,"All placed applicants per 10,000 population",Women,18 year olds,3032.1
UK providers,2011,"All placed applicants per 10,000 population",Total,18 year olds,2826.1
UK providers,2011,"All placed applicants per 10,000 population",White ethnic group,18 year olds,2747.9
UK providers,2011,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,3120
UK providers,2011,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,3289.2
UK providers,2011,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,3011.5
UK providers,2011,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,2390.2
UK providers,2011,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,1395.5
UK providers,2011,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,2087.3
UK providers,2011,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,2648.1
UK providers,2011,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,3307.4
UK providers,2011,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,4384.5
UK providers,2011,"All placed applicants per 10,000 population",Men,18 year olds,2484.4
UK providers,2011,"All placed applicants per 10,000 population",Women,18 year olds,3183.1
UK providers,2012,"All placed applicants per 10,000 population",Total,18 year olds,2741.6
UK providers,2012,"All placed applicants per 10,000 population",White ethnic group,18 year olds,2663.2
UK providers,2012,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,3110.9
UK providers,2012,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,3210.4
UK providers,2012,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,2741.4
UK providers,2012,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,2525.8
UK providers,2012,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,1403.3
UK providers,2012,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,2075
UK providers,2012,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,2587.7
UK providers,2012,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,3144
UK providers,2012,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,4171.2
UK providers,2012,"All placed applicants per 10,000 population",Men,18 year olds,2370.3
UK providers,2012,"All placed applicants per 10,000 population",Women,18 year olds,3132.2
UK providers,2013,"All placed applicants per 10,000 population",Total,18 year olds,2881.9
UK providers,2013,"All placed applicants per 10,000 population",White ethnic group,18 year olds,2792.2
UK providers,2013,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,3400.5
UK providers,2013,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,3385.7
UK providers,2013,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,2839.9
UK providers,2013,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,2600.4
UK providers,2013,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,1514.8
UK providers,2013,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,2199.9
UK providers,2013,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,2744.2
UK providers,2013,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,3294.5
UK providers,2013,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,4307.2
UK providers,2013,"All placed applicants per 10,000 population",Men,18 year olds,2499.8
UK providers,2013,"All placed applicants per 10,000 population",Women,18 year olds,3284.5
UK providers,2014,"All placed applicants per 10,000 population",Total,18 year olds,2981.1
UK providers,2014,"All placed applicants per 10,000 population",White ethnic group,18 year olds,2883.1
UK providers,2014,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,3527.4
UK providers,2014,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,3503.5
UK providers,2014,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,2911.4
UK providers,2014,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,2942.7
UK providers,2014,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,1662.3
UK providers,2014,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,2351.3
UK providers,2014,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,2848.2
UK providers,2014,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,3384.9
UK providers,2014,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,4338.9
UK providers,2014,"All placed applicants per 10,000 population",Men,18 year olds,2578.6
UK providers,2014,"All placed applicants per 10,000 population",Women,18 year olds,3406.8
UK providers,2015,"All placed applicants per 10,000 population",Total,18 year olds,3071.5
UK providers,2015,"All placed applicants per 10,000 population",White ethnic group,18 year olds,2945.7
UK providers,2015,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,3726
UK providers,2015,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,3656.4
UK providers,2015,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,3073
UK providers,2015,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,3203.7
UK providers,2015,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,1747.5
UK providers,2015,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,2404.1
UK providers,2015,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,2954.8
UK providers,2015,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,3485.6
UK providers,2015,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,4428.1
UK providers,2015,"All placed applicants per 10,000 population",Men,18 year olds,2621.6
UK providers,2015,"All placed applicants per 10,000 population",Women,18 year olds,3544
UK providers,2016,"All placed applicants per 10,000 population",Total,18 year olds,3187.2
UK providers,2016,"All placed applicants per 10,000 population",White ethnic group,18 year olds,3046.7
UK providers,2016,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,3918
UK providers,2016,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,3830.9
UK providers,2016,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,3148.4
UK providers,2016,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,3261.8
UK providers,2016,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,1836.6
UK providers,2016,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,2539.3
UK providers,2016,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,3040
UK providers,2016,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,3575.4
UK providers,2016,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,4552.2
UK providers,2016,"All placed applicants per 10,000 population",Men,18 year olds,2719.2
UK providers,2016,"All placed applicants per 10,000 population",Women,18 year olds,3679.2
UK providers,2017,"All placed applicants per 10,000 population",Total,18 year olds,3259.9
UK providers,2017,"All placed applicants per 10,000 population",White ethnic group,18 year olds,3094.2
UK providers,2017,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,4012.3
UK providers,2017,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,3989.4
UK providers,2017,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,3298.5
UK providers,2017,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,3588.9
UK providers,2017,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,1928.6
UK providers,2017,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,2592
UK providers,2017,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,3126.3
UK providers,2017,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,3637
UK providers,2017,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,4607.9
UK providers,2017,"All placed applicants per 10,000 population",Men,18 year olds,2775.2
UK providers,2017,"All placed applicants per 10,000 population",Women,18 year olds,3769.6
UK providers,2018,"All placed applicants per 10,000 population",Total,18 year olds,3298.5
UK providers,2018,"All placed applicants per 10,000 population",White ethnic group,18 year olds,3106.1
UK providers,2018,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,4133.9
UK providers,2018,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,4106.5
UK providers,2018,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,3309.5
UK providers,2018,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,3599.8
UK providers,2018,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,1964.2
UK providers,2018,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,2648.5
UK providers,2018,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,3120.2
UK providers,2018,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,3690
UK providers,2018,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,4640.6
UK providers,2018,"All placed applicants per 10,000 population",Men,18 year olds,2799
UK providers,2018,"All placed applicants per 10,000 population",Women,18 year olds,3824.3
UK providers,2019,"All placed applicants per 10,000 population",Total,18 year olds,3410
UK providers,2019,"All placed applicants per 10,000 population",White ethnic group,18 year olds,3161.5
UK providers,2019,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,4419.4
UK providers,2019,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,4367.3
UK providers,2019,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,3499.9
UK providers,2019,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,4023.6
UK providers,2019,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,2091.8
UK providers,2019,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,2713.1
UK providers,2019,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,3262.7
UK providers,2019,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,3798.5
UK providers,2019,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,4737.5
UK providers,2019,"All placed applicants per 10,000 population",Men,18 year olds,2896.3
UK providers,2019,"All placed applicants per 10,000 population",Women,18 year olds,3948.4
UK providers,2020,"All placed applicants per 10,000 population",Total,18 year olds,3697.5
UK providers,2020,"All placed applicants per 10,000 population",White ethnic group,18 year olds,3413.2
UK providers,2020,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,4893.8
UK providers,2020,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,4685.3
UK providers,2020,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,3752.3
UK providers,2020,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,4591.3
UK providers,2020,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,2323.7
UK providers,2020,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,2983.1
UK providers,2020,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,3483
UK providers,2020,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,4109
UK providers,2020,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,5111.8
UK providers,2020,"All placed applicants per 10,000 population",Men,18 year olds,3125.6
UK providers,2020,"All placed applicants per 10,000 population",Women,18 year olds,4299.9
UK providers,2021,"All placed applicants per 10,000 population",Total,18 year olds,3826.7
UK providers,2021,"All placed applicants per 10,000 population",White ethnic group,18 year olds,3521.7
UK providers,2021,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,5120.6
UK providers,2021,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,4877.3
UK providers,2021,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,3838
UK providers,2021,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,4612.1
UK providers,2021,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,2395.1
UK providers,2021,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,3066.1
UK providers,2021,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,3635.4
UK providers,2021,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,4255.7
UK providers,2021,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,5273.2
UK providers,2021,"All placed applicants per 10,000 population",Men,18 year olds,3242.5
UK providers,2021,"All placed applicants per 10,000 population",Women,18 year olds,4443.5
UK providers,2010,June deadline applications,Total,18 year olds,1241905
UK providers,2010,June deadline applications,White ethnic group,18 year olds,1023810
UK providers,2010,June deadline applications,Black ethnic group,18 year olds,45465
UK providers,2010,June deadline applications,Asian ethnic group,18 year olds,116890
UK providers,2010,June deadline applications,Mixed ethnic group,18 year olds,38365
UK providers,2010,June deadline applications,Other ethnic group,18 year olds,10270
UK providers,2010,June deadline applications,POLAR4 Q1,18 year olds,116300
UK providers,2010,June deadline applications,POLAR4 Q2,18 year olds,177330
UK providers,2010,June deadline applications,POLAR4 Q3,18 year olds,230980
UK providers,2010,June deadline applications,POLAR4 Q4,18 year olds,289410
UK providers,2010,June deadline applications,POLAR4 Q5,18 year olds,425785
UK providers,2010,June deadline applications,Men,18 year olds,553830
UK providers,2010,June deadline applications,Women,18 year olds,688075
UK providers,2011,June deadline applications,Total,18 year olds,1256765
UK providers,2011,June deadline applications,White ethnic group,18 year olds,1023695
UK providers,2011,June deadline applications,Black ethnic group,18 year olds,50060
UK providers,2011,June deadline applications,Asian ethnic group,18 year olds,122595
UK providers,2011,June deadline applications,Mixed ethnic group,18 year olds,42535
UK providers,2011,June deadline applications,Other ethnic group,18 year olds,11255
UK providers,2011,June deadline applications,POLAR4 Q1,18 year olds,120000
UK providers,2011,June deadline applications,POLAR4 Q2,18 year olds,180415
UK providers,2011,June deadline applications,POLAR4 Q3,18 year olds,231695
UK providers,2011,June deadline applications,POLAR4 Q4,18 year olds,293385
UK providers,2011,June deadline applications,POLAR4 Q5,18 year olds,429345
UK providers,2011,June deadline applications,Men,18 year olds,559775
UK providers,2011,June deadline applications,Women,18 year olds,696995
UK providers,2012,June deadline applications,Total,18 year olds,1205485
UK providers,2012,June deadline applications,White ethnic group,18 year olds,973360
UK providers,2012,June deadline applications,Black ethnic group,18 year olds,50400
UK providers,2012,June deadline applications,Asian ethnic group,18 year olds,121670
UK providers,2012,June deadline applications,Mixed ethnic group,18 year olds,41305
UK providers,2012,June deadline applications,Other ethnic group,18 year olds,12970
UK providers,2012,June deadline applications,POLAR4 Q1,18 year olds,114495
