Subject,              Level,Year, Total,1,2,3,4,5,6,7,8
COMPUTER SCIENCE       ,G,2024,349,13.2,22.6,22.3,13.8,12.6,7.4,3.7,4.3
RELIGIOUS EDUCATION    ,A,2024,1154,11.2,24.4,29.5,19.6,10.7,3.5,0.7,0.5
RELIGIOUS EDUCATION    ,G,2024,96,1,8.3,21.9,20.8,19.8,15.6,8.3,4.2
PHYSICAL EDUCATION     ,A,2024,7392,10.8,28.8,25.1,19.5,10.7,3.6,0.9,0.7
PHYSICAL EDUCATION     ,G,2024,634,2.4,13.7,26.2,22.2,12.6,10.7,6.6,5.5
CZECH                  ,A,2024,15,46.7,13.3,20,13.3,6.7,0,0,0
POLISH                 ,A,2024,998,41.6,30.2,16.7,7,1.9,0.8,1.3,0.5
POLISH                 ,G,2024,52,32.7,26.9,13.5,15.4,7.7,0,3.8,0
LATVIAN                ,A,2024,52,36.5,9.6,13.5,5.8,11.5,7.7,7.7,7.7
LITHUANIAN             ,A,2024,251,61.8,18.3,8.8,7.6,1.6,1.2,0.8,0
LITHUANIAN             ,G,2024,14,35.7,14.3,28.6,14.3,0,7.1,0,0
HUNGARIAN              ,A,2024,35,17.1,25.7,8.6,5.7,8.6,14.3,8.6,11.4
ROMANIAN               ,A,2024,421,27.3,23.3,24.2,12.6,7.8,3.1,0.5,1.2
SLOVAKIAN              ,A,2024,28,35.7,14.3,21.4,14.3,3.6,7.1,3.6,0
BULGARIAN              ,A,2024,27,18.5,29.6,25.9,3.7,18.5,0,0,3.7
DESIGN & COMMUNICATION ,A,2024,5371,17.3,23,24.5,19.2,10.1,3.6,1.6,0.7
DESIGN & COMMUNICATION ,G,2024,793,14.5,20.9,25.5,16.5,9.8,4.5,4.3,3.9
MANDARIN CHINESE       ,A,2024,337,95,2.7,0.9,0.3,0.3,0.6,0.3,0
CROATIAN               ,A,2024,102,27.5,26.5,17.6,10.8,9.8,5.9,0,2
POLITICS AND SOCIETY   ,A,2024,2350,13.4,25.5,25.4,18.3,9.1,5.8,1.3,1.2
POLITICS AND SOCIETY   ,G,2024,296,1.7,10.1,23.6,23,21.3,11.5,5.4,3.4
,,,,,,,,,,,
IRISH                  ,A,2023,23899,15.7,21.8,23.7,21.1,12.8,4.1,0.7,0.1
IRISH                  ,B,2023,2408,4.2,12.7,21.1,24,19,11.7,5.8,1.5
IRISH                  ,G,2023,22851,2.3,13.5,24.6,25.4,18.3,9.7,4.3,1.8
ENGLISH                ,A,2023,43275,7.5,17.9,29,27.5,14.3,3,0.5,0.2
ENGLISH                ,G,2023,13998,4.2,16.7,29.6,26.6,14.6,5.7,1.4,1.2
MATHEMATICS            ,A,2023,20516,11.2,16.7,21.9,23,16.6,7.7,2.3,0.5
MATHEMATICS            ,B,2023,3612,9.8,20.2,24.9,22.1,14.6,5.6,2.2,0.7
MATHEMATICS            ,G,2023,33220,9.2,23.9,25.3,18.6,11.5,6.3,3.3,2
HISTORY                ,A,2023,9503,15.5,19,21.9,19.2,14.3,7.2,2.4,0.6
HISTORY                ,G,2023,3006,8.3,16,21.7,25.1,19.5,6,2.4,0.9
GEOGRAPHY              ,A,2023,16889,12.9,19.2,23.6,21.8,15.8,5.6,0.9,0.2
GEOGRAPHY              ,G,2023,3531,4.6,13.7,29,28,15.8,6.3,2.1,0.5
LATIN                  ,A,2023,48,37.5,25,20.8,6.3,2.1,4.2,2.1,2.1
ANCIENT GREEK          ,A,2023,11,36.4,18.2,36.4,0,9.1,0,0,0
CLASSICAL STUDIES      ,A,2023,566,17.3,23.3,27.6,17.1,6.7,5.5,2.1,0.4
CLASSICAL STUDIES      ,G,2023,44,18.2,9.1,43.2,9.1,13.6,4.5,2.3,0
FRENCH                 ,A,2023,14701,15.8,19.2,20.8,20,15.4,6.8,1.8,0.3
FRENCH                 ,G,2023,5130,2.6,11.2,21.7,24.8,21.1,12.8,4.5,1.3
GERMAN                 ,A,2023,6129,14.8,15.2,17.6,19.8,17.7,10.2,3.8,0.8
GERMAN                 ,G,2023,1729,3.5,13.6,26,24.9,16.8,8.6,4.2,2.3
SPANISH                ,A,2023,7574,17.6,19,19.3,19.7,14.8,7.1,2,0.4
SPANISH                ,G,2023,2520,5,20.9,28.8,21.4,12.7,6.5,3.3,1.3
ITALIAN                ,A,2023,409,43,18.6,11.5,11.7,9.8,4.2,0.7,0.5
ITALIAN                ,G,2023,64,1.6,6.3,32.8,25,17.2,7.8,4.7,4.7
ART                    ,A,2023,7642,16.6,25.6,25.5,19.1,9.4,2.7,0.6,0.4
ART                    ,G,2023,1502,15.3,32,29.6,9.8,5.5,2.3,1.3,4.1
DUTCH                  ,A,2023,28,46.4,21.4,3.6,14.3,7.1,0,0,7.1
PORTUGUESE             ,A,2023,187,76.5,11.2,5.3,2.7,1.6,2.1,0,0.5
APPLIED MATHEMATICS    ,A,2023,1701,31,21.5,15.2,14.2,10,4.9,2.6,0.6
APPLIED MATHEMATICS    ,G,2023,52,13.5,19.2,23.1,11.5,7.7,11.5,7.7,5.8
PHYSICS                ,A,2023,6143,21.2,17.1,13.8,13.5,13.9,10.6,5.7,4
PHYSICS                ,G,2023,1383,10,18.1,20,16.8,15.5,7.5,5.8,6.3
CHEMISTRY              ,A,2023,8068,23.2,17.2,15.4,13.2,11.3,8.7,5.6,5.3
CHEMISTRY              ,G,2023,1682,6.4,13.1,17.2,17.7,16.9,11.8,9,7.9
PHYSICS & CHEMISTRY    ,A,2023,344,16.3,14,13.4,16,16.6,11.3,7,5.5
PHYSICS & CHEMISTRY    ,G,2023,63,0,1.6,9.5,15.9,11.1,22.2,15.9,23.8
AGRICULTURAL SCIENCE   ,A,2023,6132,13.1,23.6,23.3,19.4,12.6,5.8,1.4,0.7
AGRICULTURAL SCIENCE   ,G,2023,1328,1.1,9.4,23.2,24.2,19.7,12.5,6.6,3.3
BIOLOGY                ,A,2023,28724,19.2,16.4,16.3,15.4,14.6,10.7,5.4,2.1
BIOLOGY                ,G,2023,5879,4,17,29,22.9,14.5,7.1,3.5,2.1
ENGINEERING            ,A,2023,5623,15.9,25.7,25.5,19,9.1,3.2,0.9,0.6
ENGINEERING            ,G,2023,699,3.7,13.6,27,25,15.6,7.2,5.2,2.7
CONSTRUCTION STUDIES   ,A,2023,9165,8.5,24,28.8,21.9,11.2,3.8,1.3,0.4
CONSTRUCTION STUDIES   ,G,2023,1095,0.5,6.8,22.3,26.8,19.5,10.7,6.6,6.8
ACCOUNTING             ,A,2023,5051,20.4,19.8,15,14.1,12,9.6,4.1,4.9
ACCOUNTING             ,G,2023,2007,17.3,13.7,12.1,13,11.4,9.8,7.9,14.9
