Subject,              Level,Year, Total,1,2,3,4,5,6,7,8
PHYSICS & CHEMISTRY,G,2021,57,5.3,1.8,10.5,21.1,12.3,22.8,10.5,15.8
AGRICULTURAL SCIENCE,A,2021,7553,11.3,16.6,22.6,21.5,15.7,8.8,2.3,1.2
AGRICULTURAL SCIENCE,G,2021,915,0.8,5.7,14.2,20.8,23.5,21,6.6,7.5
BIOLOGY,A,2021,30677,17.4,18.3,19.4,18,13.8,8.9,3.1,1.3
BIOLOGY,G,2021,4211,1.7,6.8,15.1,23,24.7,18.8,5.2,4.6
ENGINEERING,A,2021,5555,10.9,19.1,26.2,22.1,13.5,5.7,1.5,0.9
ENGINEERING,G,2021,691,6.1,13.6,18.7,17.5,15.5,15.1,5.8,7.8
CONSTRUCTION STUDIES,A,2021,9124,10.3,19.9,25.9,22,13.3,5.6,1.5,1.5
CONSTRUCTION STUDIES,G,2021,1003,1.3,6.7,16.7,16.5,19.9,18.6,7.3,13
ACCOUNTING,A,2021,6872,25.9,24,19.9,13.8,9.5,4.5,1.5,0.9
ACCOUNTING,G,2021,1454,24,20.9,19.1,12.4,8.1,8.8,2.4,4.3
BUSINESS,A,2021,15573,13.7,19.7,21.6,19.9,14.3,7.6,2,1.2
BUSINESS,G,2021,2460,5.9,12.2,20.3,21.1,18.6,13.6,4.2,4.3
ECONOMICS,A,2021,4979,13.6,22.3,25.1,19.8,12.1,5.2,1.2,0.7
ECONOMICS,G,2021,486,2.9,10.5,18.9,21.6,17.9,17.9,4.3,6
JAPANESE,A,2021,250,31.2,24.4,19.6,12.8,6,3.2,1.6,1.2
JAPANESE,G,2021,48,4.2,12.5,18.8,18.8,14.6,20.8,8.3,2.1
ARABIC,A,2021,164,55.5,22.6,14,5.5,1.8,0,0,0.6
ARABIC,G,2021,24,8.3,0,33.3,33.3,16.7,4.2,0,4.2
TECHNOLOGY,A,2021,1807,15.7,23.1,24.6,19,10.7,4.6,1.2,1
TECHNOLOGY,G,2021,153,2,16.3,13.1,18.3,17,18.3,7.2,7.8
MUSIC,A,2021,6435,20.2,37.1,27.5,10.6,2.9,1,0.3,0.3
MUSIC,G,2021,425,6.8,23.1,22.8,18.1,8.9,11.3,3.1,5.9
HOME ECONOMICS S & S,A,2021,10915,12.7,23.8,24.6,20.8,11.5,4.8,0.9,0.8
HOME ECONOMICS S & S,G,2021,1679,2.8,8.9,19.3,22.6,20.5,16,4.5,5.4
RUSSIAN,A,2021,474,71.3,15.8,7,4.4,0.6,0.4,0,0.4
COMPUTER SCIENCE,A,2021,640,14.1,16.3,21.3,18.9,16.3,8.4,3.3,1.6
COMPUTER SCIENCE,G,2021,66,1.5,4.5,15.2,21.2,25.8,12.1,6.1,13.6
RELIGIOUS EDUCATION,A,2021,1036,14,27.2,23.6,18,9.8,5,1.2,1.3
RELIGIOUS EDUCATION,G,2021,83,0,6,9.6,19.3,22.9,28.9,4.8,8.4
PHYSICAL EDUCATION,A,2021,1501,11.3,20.8,24.9,20.9,13.3,5.9,1.9,1
PHYSICAL EDUCATION,G,2021,99,0,9.1,13.1,17.2,15.2,25.3,6.1,14.1
CZECH,A,2021,16,37.5,0,12.5,18.8,6.3,12.5,0,12.5
LATVIAN,A,2021,40,12.5,12.5,15,22.5,22.5,7.5,7.5,0
HUNGARIAN,A,2021,47,34,14.9,19.1,14.9,6.4,4.3,2.1,4.3
ROMANIAN,A,2021,325,30.8,18.2,21.5,16.3,8.9,3.4,0.9,0
SLOVAKIAN,A,2021,16,43.8,12.5,6.3,12.5,0,12.5,0,12.5
BULGARIAN,A,2021,22,13.6,22.7,18.2,13.6,9.1,18.2,4.5,0
DESIGN & COMMUNICATION GRAPHIC,A,2021,5010,21,27.6,23.9,15.2,7.2,3.3,0.9,0.9
DESIGN & COMMUNICATION GRAPHIC,G,2021,856,12.1,19.6,22,17.3,11.7,9.1,3.7,4.4
CROATIAN,A,2021,72,27.8,34.7,11.1,16.7,6.9,2.8,0,0
POLITICS AND SOCIETY,A,2021,1992,13.3,18.2,23.2,19.7,14.3,7.9,2.3,1.1
POLITICS AND SOCIETY,G,2021,230,1.3,5.2,19.1,18.3,18.3,19.6,8.7,9.6
,,,,,,,,,,,
IRISH,A,2020,24725,9.1,19.8,27.1,24.6,13.7,4.8,0.7,0.2
IRISH,B,2020,1462,5.9,17.6,25.5,23.1,16,10.4,0.4,1
IRISH,G,2020,23546,1.9,8.9,19.6,26.3,23.2,15.3,3.4,1.4
ENGLISH,A,2020,41950,4.4,13.5,25,28.3,19.1,8.1,1.3,0.3
ENGLISH,G,2020,14639,3,10.8,23,27.1,20.8,12,2.2,1
MATHEMATICS,A,2020,20521,8.6,15.4,21.6,23.2,18.3,10.2,2.3,0.4
MATHEMATICS,B,2020,2602,7.1,18.9,20.7,20.4,18.5,11.3,1.8,1.3
MATHEMATICS,G,2020,33862,4.6,12.8,20.7,23.3,19.7,13.4,3.8,1.7
HISTORY,A,2020,9470,11,19.7,24.7,21.5,13.6,6.9,2,0.7
HISTORY,G,2020,2825,4.7,11.3,19.1,22,21.3,15.7,3.4,2.5
GEOGRAPHY,A,2020,20506,6.3,14.6,23.4,24.6,18.9,9.5,2.3,0.5
GEOGRAPHY,G,2020,3644,1.8,8.4,18.1,27.2,23.3,16,3,2.1
LATIN,A,2020,53,41.5,35.8,13.2,1.9,5.7,0,0,1.9
ANCIENT GREEK,A,2020,15,33.3,33.3,6.7,20,6.7,0,0,0
CLASSICAL STUDIES,A,2020,489,12.7,24.1,27,20,9.2,4.3,2,0.6
CLASSICAL STUDIES,G,2020,28,3.6,7.1,7.1,39.3,28.6,10.7,0,3.6
FRENCH,A,2020,16519,7.9,16.1,23.9,24.6,17.2,8,1.8,0.4
FRENCH,G,2020,6361,1.7,9.2,20.8,26.9,22.7,14.2,2.8,1.6
GERMAN,A,2020,6779,9.2,17.4,24,23.5,15.7,7.9,1.8,0.4
GERMAN,G,2020,1922,2,8.7,18.4,25.5,22.7,17.8,3.3,1.6
SPANISH,A,2020,6330,11.6,18.2,23,21.3,15.2,8.1,1.9,0.7
SPANISH,G,2020,2025,2,10.7,22.2,26.4,21.3,12.6,3.2,1.6
ITALIAN,A,2020,338,22.2,20.4,21.6,16.9,10.4,4.4,3.8,0.3
ITALIAN,G,2020,70,0,12.9,22.9,24.3,20,12.9,4.3,2.9
ART,A,2020,8112,8.8,20.5,27.8,23.3,12,5.2,1.5,0.9
ART,G,2020,1504,3.4,9.4,19.9,23.6,20,14.9,3.7,5.2
DUTCH,A,2020,17,52.9,29.4,17.6,0,0,0,0,0
APPLIED MATHEMATICS,A,2020,2115,29.9,26.7,19.5,11.5,8,3.3,0.7,0.5
APPLIED MATHEMATICS,G,2020,67,35.8,20.9,14.9,10.4,4.5,9,0,4.5
PHYSICS,A,2020,7037,16.1,19.3,20.6,18.6,13.6,7.9,2.9,0.9
PHYSICS,G,2020,1060,5.4,12.1,18.9,21.8,19,14.5,4.7,3.7
CHEMISTRY,A,2020,8696,18.1,20.9,20.8,17.1,12.2,7.1,2.6,1.2
CHEMISTRY,G,2020,966,4,12.7,18.2,18.9,21.9,14.4,5,4.8
PHYSICS & CHEMISTRY,A,2020,460,15.4,17,18.5,16.7,13.3,9.8,5.7,3.7
PHYSICS & CHEMISTRY,G,2020,69,4.3,5.8,17.4,17.4,7.2,20.3,10.1,17.4
AGRICULTURAL SCIENCE,A,2020,7371,9.5,16.3,21.5,21.7,17.6,9.8,2.8,0.8
AGRICULTURAL SCIENCE,G,2020,1130,0.8,6,15.8,21.4,26.1,20.2,5,4.7
BIOLOGY,A,2020,29583,11.6,16.7,20.1,20.1,16.1,10.3,3.9,1.3
BIOLOGY,G,2020,5270,0.9,6.6,14.9,22.9,24.9,20.1,6.2,3.4
ENGINEERING,A,2020,5326,8.5,18.6,27.6,24.2,13.5,5.5,1.4,0.6
ENGINEERING,G,2020,779,1.7,8.9,21.2,22.8,21.3,14.1,4,6
CONSTRUCTION STUDIES,A,2020,8565,7.5,17.6,26.3,24.5,15.8,6.4,1.5,0.5
CONSTRUCTION STUDIES,G,2020,1144,2.4,8.2,17.8,22.8,21.9,16.8,5.5,4.6
ACCOUNTING,A,2020,6316,17.9,23.3,23.1,17.5,10.5,5.3,1.6,0.9
ACCOUNTING,G,2020,1790,16.8,22.3,18.9,14.7,11.5,9.2,3.5,3.1
BUSINESS,A,2020,15225,8.7,16.6,22.7,22.5,16.8,9.4,2.7,0.6
BUSINESS,G,2020,2676,3.5,10.7,21.6,22.3,20.4,15.4,3.6,2.5
ECONOMICS,A,2020,5081,10.8,20,23.2,20.4,14.4,7.9,2.4,0.9
ECONOMICS,G,2020,665,5.4,16.7,22.9,18.3,16.4,15,2.3,3
JAPANESE,A,2020,232,22.8,21.6,19,14.7,12.9,5.6,2.6,0.9
JAPANESE,G,2020,35,2.9,11.4,14.3,14.3,22.9,22.9,5.7,5.7
ARABIC,A,2020,163,25.2,39.9,19.6,6.7,7.4,1.2,0,0
ARABIC,G,2020,16,12.5,12.5,18.8,18.8,37.5,0,0,0
TECHNOLOGY,A,2020,1696,10.3,21.1,25.2,21.5,13.6,6.3,1.3,0.8
TECHNOLOGY,G,2020,161,1.2,9.3,25.5,21.7,16.8,14.3,4.3,6.8
MUSIC,A,2020,6509,13.1,34.8,30.8,15.1,4.5,1.3,0.2,0.2
MUSIC,G,2020,427,3.7,14.5,28.6,23,15.5,8.7,2.6,3.5
HOME ECONOMICS S & S,A,2020,10249,7.3,19,27.7,24.9,14.2,5.3,1.1,0.5
HOME ECONOMICS S & S,G,2020,1739,0.3,4.5,16.4,27.2,24.6,15.5,7.4,4
RUSSIAN,A,2020,395,78.5,15.9,4.1,0.5,0.8,0.3,0,0
COMPUTER SCIENCE,A,2020,677,7.4,16.5,22.5,22.9,15.4,9.7,4.4,1.2
COMPUTER SCIENCE,G,2020,62,1.6,16.1,8.1,22.6,16.1,24.2,4.8,6.5
RELIGIOUS EDUCATION,A,2020,1196,8.9,18.9,25.5,23,12.9,8,1.8,0.9
RELIGIOUS EDUCATION,G,2020,110,0.9,3.6,19.1,25.5,18.2,27.3,1.8,3.6
PHYSICAL EDUCATION,A,2020,1374,9,20.4,27.4,22,13.4,5.6,1.7,0.6
PHYSICAL EDUCATION,G,2020,90,3.3,7.8,14.4,13.3,15.6,27.8,7.8,10
LATVIAN,A,2020,25,28,36,24,4,4,0,0,4
HUNGARIAN,A,2020,30,50,23.3,23.3,3.3,0,0,0,0
ROMANIAN,A,2020,237,37.6,32.5,20.7,5.9,2.5,0.8,0,0
SLOVAKIAN,A,2020,17,52.9,17.6,5.9,11.8,11.8,0,0,0
BULGARIAN,A,2020,13,46.2,23.1,7.7,7.7,15.4,0,0,0
DESIGN & COMMUNICATION GRAPHIC,A,2020,4720,15.3,25.1,26,18.9,9.7,3.6,0.9,0.6
DESIGN & COMMUNICATION GRAPHIC,G,2020,926,5.3,16,22.5,23,14.5,10.9,3.7,4.2
CROATIAN,A,2020,44,61.4,25,2.3,11.4,0,0,0,0
POLITICS AND SOCIETY,A,2020,1440,7.9,15.5,23.8,21.9,17,9,3.2,1.7
POLITICS AND SOCIETY,G,2020,214,0.9,6.5,15,20.1,24.3,23.8,5.6,3.7
,,,,,,,,,,,
IRISH,A,2019,23176,6.1,17.7,22.3,23,18.2,9.5,2.8,0.4
IRISH,B,2019,2834,1.9,11.8,19.9,24.5,20.9,12,6.2,2.9
IRISH,G,2019,22323,0.3,5.2,18.6,26.2,25,15.7,6.3,2.7
ENGLISH,A,2019,40217,3,10.1,20.5,27.5,23.7,11.9,2.6,0.6
ENGLISH,G,2019,14477,1.5,7.3,20.3,28.1,23.5,12.7,4.5,2
MATHEMATICS,A,2019,18153,6.4,11.2,17.1,22.5,21.6,14.2,5.3,1.7
MATHEMATICS,B,2019,5467,4.3,13.5,19.4,21.7,20.2,12.7,5.6,2.6
MATHEMATICS,G,2019,31474,1.7,11.2,20.1,23.2,20.1,13,6.5,4.3
HISTORY,A,2019,8825,6.9,16.2,21.7,23.2,16.1,10.3,4,1.7
HISTORY,G,2019,2919,5.2,14.8,18.6,21.9,19.4,13.9,3.6,2.7
GEOGRAPHY,A,2019,19983,3.9,13.2,20.7,23,20.1,13.6,4.6,1
GEOGRAPHY,G,2019,4139,1.9,8.3,19,28.4,24.4,12,4.3,1.7
LATIN,A,2019,54,18.5,37,22.2,11.1,5.6,3.7,0,1.9
ANCIENT GREEK,A,2019,17,23.5,23.5,11.8,11.8,23.5,0,5.9,0
CLASSICAL STUDIES,A,2019,442,6.6,17.6,23.3,18.1,16.5,10.9,3.8,3.2
CLASSICAL STUDIES,G,2019,52,1.9,3.8,11.5,11.5,13.5,25,13.5,19.2
FRENCH,A,2019,15654,6.6,14,18.7,22.3,21.2,12.9,3.7,0.6
FRENCH,G,2019,7707,0.1,2.8,14.7,27,27.7,17.6,7,3
GERMAN,A,2019,6247,6.4,14.1,18.5,20.8,19.5,13.2,5.5,2
GERMAN,G,2019,2297,0.7,7.1,18.9,24.5,21.2,13.6,8.2,5.8
SPANISH,A,2019,5646,8.3,16.2,17.7,19.9,18,12.7,5.8,1.5
SPANISH,G,2019,2065,1,8.4,21.2,28,20.6,11.6,6,3.1
ITALIAN,A,2019,361,18.8,24.1,19.4,13.3,12.7,7.2,3.6,0.8
ITALIAN,G,2019,112,1.8,6.3,19.6,25.9,21.4,8,10.7,6.3
ART,A,2019,7624,3.2,14.2,22.4,24,19,11.5,4.2,1.4
ART,G,2019,1563,2.2,9.5,25.1,27.8,16.8,7.9,4.5,6.1
DUTCH,A,2019,17,17.6,35.3,23.5,17.6,5.9,0,0,0
PORTUGUESE,A,2019,116,24.1,14.7,22.4,12.9,8.6,2.6,6.9,7.8
APPLIED MATHEMATICS,A,2019,1988,16.5,19.9,18.6,14.7,11.3,9.3,4.8,4.9
APPLIED MATHEMATICS,G,2019,116,15.5,10.3,12.1,13.8,12.9,12.1,7.8,15.5
PHYSICS,A,2019,6583,10.9,16.3,15,14.1,14.6,12.7,9.1,7.3
PHYSICS,G,2019,1359,3.7,13.9,23,20.1,14,11.6,5.7,8.1
CHEMISTRY,A,2019,8243,13.5,18.1,16.5,14.6,12.5,10.9,6.4,7.4
CHEMISTRY,G,2019,1262,4,9.9,13.7,17.4,18.2,14.2,9.8,12.8
PHYSICS & CHEMISTRY,A,2019,464,7.8,15.7,17,14.2,12.1,12.7,9.1,11.4
PHYSICS & CHEMISTRY,G,2019,74,4.1,8.1,9.5,10.8,16.2,16.2,10.8,24.3
AGRICULTURAL SCIENCE,A,2019,6604,5,12.2,14.8,16.5,16.4,15.1,12.7,7.3
AGRICULTURAL SCIENCE,G,2019,1141,0,0.8,6.9,17.3,25.9,21.6,16.1,11.3
BIOLOGY,A,2019,27063,8.2,15.7,16.5,16.5,16.1,13.7,8.6,4.8
BIOLOGY,G,2019,7046,0.2,3.2,14.7,26.1,25.7,17,8.5,4.7
ENGINEERING,A,2019,4765,3.7,15.9,22.4,22.4,17.9,11.7,4.3,1.7
ENGINEERING,G,2019,650,0.9,5.2,17.2,19.8,26.3,17.2,9.5,3.7
CONSTRUCTION STUDIES,A,2019,7896,3,14.8,20.7,23.5,19.3,11.8,5.2,1.7
CONSTRUCTION STUDIES,G,2019,1114,0.2,2.2,9.5,21.7,27.5,20.6,10.2,8.1
ACCOUNTING,A,2019,6095,6.9,21.5,19.5,16.2,12.6,10.1,6.8,6.5
ACCOUNTING,G,2019,1812,8.9,18.4,15.8,15.1,12.3,8.6,7.5,13.4
BUSINESS,A,2019,13804,4.2,16.4,19.7,18.5,17.4,13.2,7.2,3.5
BUSINESS,G,2019,3521,3.7,14,22.2,24.7,17.6,11.3,3.7,2.8
ECONOMICS,A,2019,4990,4.3,16.7,19.9,18.8,15.8,13,6.5,4.9
ECONOMICS,G,2019,873,3.1,13.3,22.1,22.6,17.3,13.2,4,4.5
JAPANESE,A,2019,208,9.1,19.2,19.7,22.1,19.7,5.8,3.4,1
JAPANESE,G,2019,66,0,3,21.2,25.8,18.2,16.7,6.1,9.1
ARABIC,A,2019,168,6.5,19.6,25,22,8.3,8.9,5.4,4.2
ARABIC,G,2019,24,12.5,0,20.8,12.5,20.8,8.3,12.5,12.5
TECHNOLOGY,A,2019,1695,5.1,18.3,23.5,20.6,16,9.3,4.2,3
TECHNOLOGY,G,2019,176,1.7,13.1,19.9,15.9,15.3,14.8,7.4,11.9
MUSIC,A,2019,6234,4.3,32.1,35.4,18.6,7.2,1.8,0.4,0.1
MUSIC,G,2019,425,0.5,14.4,29.6,28.5,16.5,7.3,2.6,0.7
HOME ECONOMICS S & S,A,2019,9730,3.3,16,25.7,25.1,17.7,9.1,2.5,0.6
HOME ECONOMICS S & S,G,2019,2272,0.6,6.9,21.6,24.6,21.8,14.5,6,4
RUSSIAN,A,2019,458,58.1,22.9,10.5,4.6,1.3,1.1,1.1,0.4
RUSSIAN,G,2019,12,41.7,16.7,8.3,0,25,0,0,8.3
RELIGIOUS EDUCATION,A,2019,1164,3.1,18.1,24.7,21.3,16.2,11.2,3.7,1.7
RELIGIOUS EDUCATION,G,2019,129,0,3.9,14,17.1,18.6,10.9,14,21.7
CZECH,A,2019,12,50,0,16.7,25,8.3,0,0,0
POLISH,A,2019,780,8.3,16.7,28.5,25.9,12.2,4.5,2.3,1.7
LATVIAN,A,2019,62,19.4,21,24.2,14.5,6.5,11.3,0,3.2
LITHUANIAN,A,2019,177,13,16.9,15.3,19.8,16.4,13.6,2.8,2.3
HUNGARIAN,A,2019,51,9.8,23.5,25.5,11.8,11.8,5.9,7.8,3.9
ROMANIAN,A,2019,340,18.5,21.2,23.2,19.4,9.4,5.6,0.9,1.8
SLOVAKIAN,A,2019,18,38.9,11.1,16.7,16.7,11.1,5.6,0,0
BULGARIAN,A,2019,16,0,37.5,25,18.8,18.8,0,0,0
DESIGN & COMMUNICATION GRAPHIC,A,2019,4567,6.7,19.8,23.7,21.2,15.7,7.9,3.3,1.7
DESIGN & COMMUNICATION GRAPHIC,G,2019,1024,2.2,12.4,23.1,22.3,15.9,11.1,6.3,6.5
CROATIAN,A,2019,61,9.8,32.8,27.9,14.8,4.9,6.6,0,3.3
POLITICS AND SOCIETY,A,2019,676,4.6,11.1,20.4,21.4,18.8,12.6,7.8,3.3
POLITICS AND SOCIETY,G,2019,103,0,1.9,12.6,30.1,24.3,21.4,2.9,6.8
,,,,,,,,,,,
