Code,Subject,Level,Year,Total,A,B,C,D,E,F,NG
8,CLASSICAL STUDIES      ,A,2014,525,21.5,34.7,25.7,15.6,1.3,1.1,0
8,CLASSICAL STUDIES      ,G,2014,76,6.6,27.6,25,26.3,5.3,6.6,2.6
10,FRENCH                 ,A,2014,26441,9.6,26,34.4,24.6,5,0.4,0
10,FRENCH                 ,G,2014,7467,2.9,25.4,36.3,27.4,6.7,1.1,0.2
11,GERMAN                 ,A,2014,8103,13.2,29.8,31.5,21.1,3.9,0.5,0
11,GERMAN                 ,G,2014,2364,5.1,34.7,34.7,17.6,5.8,1.9,0.2
12,SPANISH                ,A,2014,6323,14.1,29.1,33.2,18.3,4.3,0.8,0.1
12,SPANISH                ,G,2014,2092,5.9,34.6,31.7,18.5,5.9,2.7,0.7
13,ITALIAN                ,A,2014,348,19.5,29.9,27.9,21,1.7,0,0
13,ITALIAN                ,G,2014,109,1.8,27.5,44,18.3,5.5,2.8,0
40,TYPEWRITING            ,A,2014,65,26.2,24.6,18.5,7.7,4.6,18.5,0
40,TYPEWRITING            ,G,2014,127,18.9,45.7,23.6,5.5,4.7,1.6,0
41,ART  CRAFT  DESIGN     ,A,2014,15985,22.5,31.7,34.5,10.1,1,0.2,0
41,ART  CRAFT  DESIGN     ,G,2014,5607,12.6,30.5,33,16.7,4.9,2.1,0.3
42,BUSINESS STUDIES       ,A,2014,26144,9.7,35,36.4,16.9,1.8,0.2,0
42,BUSINESS STUDIES       ,G,2014,7581,8.1,39.6,30.8,15,4,2.1,0.5
46,MUSIC                  ,A,2014,9273,12.8,38.6,30.9,15.5,1.6,0.4,0
46,MUSIC                  ,G,2014,1704,1.9,22.7,43,23.9,4.2,4.1,0.2
47,MATERIAL TECHNOLOGY (W ,A,2014,13487,8.3,40.6,36.1,12.6,1.5,0.6,0.2
47,MATERIAL TECHNOLOGY (W ,G,2014,2977,5.2,35.2,36.6,15.3,3.3,3.4,1
48,TECHNICAL GRAPHICS     ,A,2014,8953,14.8,31.6,30.6,18.4,3.7,0.8,0.1
48,TECHNICAL GRAPHICS     ,G,2014,3396,11.1,35.3,26.5,19.1,5.4,2.1,0.4
52,HOME ECONOMICS         ,A,2014,17773,13.9,49,29.9,6.4,0.5,0.2,0.1
52,HOME ECONOMICS         ,G,2014,3797,1.8,37.6,43.7,12,2.9,1,1
54,METALWORK              ,A,2014,6373,9.4,41.1,31.2,14.1,3,1.2,0.1
54,METALWORK              ,G,2014,1507,5,34.4,25.9,18.4,8,6.6,1.7
57,SCIENCE                ,A,2014,42821,11.4,31.1,36.4,19.5,1.5,0.2,0
57,SCIENCE                ,G,2014,11936,1.7,31.1,46.6,16.4,3,1.1,0.1
65,TECHNOLOGY             ,A,2014,2830,10.1,33.6,35,17.6,2.8,0.8,0.1
65,TECHNOLOGY             ,G,2014,393,5.6,30.3,33.3,20.1,6.4,3.6,0.8
81,ENVIRON & SOCIAL STUDI ,A,2014,239,4.2,45.2,37.7,10,2.1,0.8,0
81,ENVIRON & SOCIAL STUDI ,G,2014,345,5.8,30.1,35.9,20.6,4.3,2.6,0.6
218,C.S.P.E                ,C,2014,59174,21.1,42,25.9,8.7,1.5,0.8,0.1
220,RELIGIOUS EDUCATION    ,A,2014,23344,13.2,40.3,34.4,10.7,0.9,0.4,0.1
220,RELIGIOUS EDUCATION    ,G,2014,5254,10.9,32.7,35.1,15.7,3,2.4,0.3
1,IRISH                  ,A,2015,29100,11.2,35.2,38.2,14.2,1.1,0.1,0
1,IRISH                  ,B,2015,1217,12.6,31.6,35.2,16.5,3.2,0.8,0.2
1,IRISH                  ,G,2015,21679,2.1,28.9,42.9,22,3.5,0.4,0.1
2,ENGLISH                ,A,2015,44333,9.3,26,40.2,22.6,1.7,0.2,0
2,ENGLISH                ,B,2015,1060,9.8,25.9,37.3,20.7,4.1,2,0.3
2,ENGLISH                ,G,2015,13627,6.1,29,42.4,20.4,1.6,0.3,0.1
3,MATHEMATICS            ,A,2015,32535,11.3,31.2,32.2,21.1,3.7,0.5,0
3,MATHEMATICS            ,B,2015,3484,14.6,35.9,30.2,16.2,2.7,0.4,0.1
3,MATHEMATICS            ,G,2015,22856,7.4,28.3,34.5,23.8,4.9,0.9,0.1
4,HISTORY                ,A,2015,39788,14.9,27.4,28.3,21.4,6.6,1.3,0.1
4,HISTORY                ,G,2015,14194,10.2,33.3,33.6,20,2.3,0.5,0.1
5,GEOGRAPHY              ,A,2015,46229,8,30.8,35.7,22.8,2.6,0.1,0
5,GEOGRAPHY              ,G,2015,8679,8.6,35.8,34.6,16.9,3.3,0.8,0
6,LATIN                  ,A,2015,272,31.3,26.5,14.7,18,8.5,0.7,0.4
6,LATIN                  ,G,2015,13,0,15.4,46.2,30.8,7.7,0,0
7,ANCIENT GREEK          ,A,2015,32,21.9,43.8,15.6,9.4,3.1,6.3,0
8,CLASSICAL STUDIES      ,A,2015,512,21.3,32.4,27.1,13.1,5.1,1,0
8,CLASSICAL STUDIES      ,G,2015,92,4.3,28.3,28.3,21.7,13,3.3,1.1
10,FRENCH                 ,A,2015,24866,9.9,27,33.6,24,5,0.5,0
10,FRENCH                 ,G,2015,7178,2.8,22,36.1,29.7,8.1,1,0.1
