,Subject,              Level,Year, Total,         A1,        A2,        B1,        B2,        B3,        C1,        C2,        C3,        D1,        D2,        D3,        E,         F,         NG
32,ACCOUNTING             ,A,2013,3933,9.2,10.7,10.4,10.2,8.8,8.2,8.2,8.1,6.2,5,6.1,5.2,2.7,1
32,ACCOUNTING             ,G,2013,1740,10.2,10.1,10.5,8.4,9.2,7.6,6.2,5.7,4.9,5.1,5.5,6.7,6.1,4
33,BUSINESS               ,A,2013,11573,3.9,7,8.8,10.3,11.1,10,9.7,9.9,7.7,6.9,7.6,5.5,1.4,0.1
33,BUSINESS               ,G,2013,5359,3.2,7.6,7.4,10.5,13.4,11.2,10,11.4,6.3,5.6,6.7,4.4,1.9,0.3
34,ECONOMICS              ,A,2013,3757,2.1,9.1,5.5,11.6,13.1,11.8,10.9,10,7.6,6,7.3,3.8,1.1,0.1
34,ECONOMICS              ,G,2013,875,3.2,8.1,8.5,12.6,12,12.1,10.5,9.5,6.7,3.7,6.1,4.6,1.8,0.7
58,JAPANESE               ,A,2013,208,12.5,10.1,13,11.1,12.5,8.2,6.7,7.7,3.8,5.3,3.8,2.4,2.9,0
58,JAPANESE               ,G,2013,49,2,0,2,14.3,10.2,12.2,10.2,10.2,4.1,16.3,8.2,6.1,4.1,0
59,ARABIC                 ,A,2013,124,3.2,11.3,4,14.5,15.3,10.5,12.9,8.9,6.5,2.4,3.2,4,2.4,0.8
59,ARABIC                 ,G,2013,12,0,0,0,25,16.7,0,8.3,16.7,0,16.7,0,0,16.7,0
65,TECHNOLOGY             ,A,2013,944,5.4,10,9.4,12.9,11.9,11.3,10.2,8.3,6.8,4.7,5.3,2.9,1,0.1
65,TECHNOLOGY             ,G,2013,130,0,2.3,5.4,5.4,11.5,13.8,7.7,11.5,5.4,6.9,11.5,14.6,3.1,0.8
67,MUSIC                  ,A,2013,5713,3.6,10.5,17.1,19.4,16.1,12.6,9.9,5.6,2.8,1.4,0.6,0.3,0,0
67,MUSIC                  ,G,2013,507,0.6,2.4,11.8,13.8,20.7,13.6,9.5,10.7,5.5,4.7,4.3,1.8,0.6,0
98,HOME ECONOMICS S & S   ,A,2013,8900,2.2,6.2,8,11.5,12.9,13,13.5,11.3,8.1,6.7,4,2.5,0.3,0
98,HOME ECONOMICS S & S   ,G,2013,3146,0.5,1.7,5,7.7,12.1,13.1,12.8,12.1,9.2,9,7.8,6.7,2.2,0.2
99,RUSSIAN                ,A,2013,285,66.7,13,5.6,4.6,3.5,1.8,1.4,1.4,0.7,0.7,0,0.4,0.4,0
223,RELIGIOUS EDUCATION    ,A,2013,1123,4.1,8.8,8.2,12.5,13.6,9.8,10.3,11.1,6,4.7,6.1,3.6,1.2,0
223,RELIGIOUS EDUCATION    ,G,2013,157,0,8.9,0,3.2,20.4,3.2,1.9,26.8,2.5,2.5,21.7,7,0.6,1.3
562,DESIGN & COMMUNICATION ,A,2013,4017,6.1,8.5,10.2,11.2,11.7,12.4,10.3,9.3,7.3,5.6,4.1,2.6,0.6,0.1
562,DESIGN & COMMUNICATION ,G,2013,1334,2.5,6.2,8.6,10.9,10.8,13.2,11.5,8.2,7.1,6.2,5.2,5.6,2.8,0.9
,,,,,,,,,,,,,,,,,,
1,IRISH                  ,A,2014,18134,5.4,9,12,13.6,14.3,13.4,11.7,9.3,5.8,3.3,1.4,0.5,0.1,0
1,IRISH                  ,B,2014,3803,1.9,4.4,9.2,10.4,14.4,13.8,12.9,11.1,7.9,5.5,4.3,3.4,0.7,0
1,IRISH                  ,G,2014,23331,0.3,2,5.8,10.7,14.1,15.7,14.2,12,9.5,6.7,5.4,2.9,0.6,0.1
2,ENGLISH                ,A,2014,35122,3.4,6,5,8.9,12.7,13,14.4,13,11.3,6.7,4.3,1.2,0.1,0
2,ENGLISH                ,G,2014,17154,2.1,5.3,4.6,9.4,15.6,12,14.5,12.8,8.8,6.3,5.2,2.5,0.8,0.2
3,MATHEMATICS            ,A,2014,14326,4.1,6.3,8,9.6,11.3,11.5,11.1,10.8,8.9,7.3,6.8,3.5,0.7,0
3,MATHEMATICS            ,B,2014,5628,1.6,3.7,7.6,10.8,14.2,14.4,13,10.2,8,5.7,5.3,4.2,1.3,0.1
3,MATHEMATICS            ,G,2014,32428,2,4.8,7.6,9.6,10.8,10.8,11,10.1,9.1,7.6,8,6.6,1.8,0.2
4,HISTORY                ,A,2014,8470,7.3,5.9,9.4,10.8,11.3,12.1,10.8,9.8,7.9,5.9,5.4,3,0.4,0.1
4,HISTORY                ,G,2014,3711,6.5,10.3,7.3,10.5,13.7,8.9,9.8,10.4,6.4,6,6.2,2.9,0.9,0.2
5,GEOGRAPHY              ,A,2014,19694,3.5,5.6,8,9.9,12.8,12.3,12,11.3,9.1,6.8,5.7,2.7,0.2,0
5,GEOGRAPHY              ,G,2014,5429,1.9,2.8,5.7,8.4,11.9,13.9,15.3,14.3,8.8,6.8,5.7,3.4,1,0.1
6,LATIN                  ,A,2014,108,14.8,13.9,14.8,10.2,9.3,11.1,4.6,7.4,6.5,2.8,0.9,2.8,0.9,0
8,CLASSICAL STUDIES      ,A,2014,500,4.4,7,8,10.2,10.2,8.6,9.6,9.8,8.6,7,6.8,6.2,3.2,0.4
8,CLASSICAL STUDIES      ,G,2014,51,3.9,3.9,3.9,9.8,3.9,5.9,7.8,5.9,3.9,9.8,19.6,5.9,13.7,2
10,FRENCH                 ,A,2014,15014,5.3,6.8,8.1,9.1,10.4,11.4,11.6,11.9,9.9,7.4,5.7,2.1,0.1,0
10,FRENCH                 ,G,2014,11482,0.2,0.8,2.7,5.3,9,13,14.2,15.1,12.4,9.9,9.3,6.6,1.3,0.1
11,GERMAN                 ,A,2014,4722,7,7.9,8.1,9.9,11.7,11.8,10.5,10.1,9.7,6.3,4.8,2.1,0.2,0
11,GERMAN                 ,G,2014,2135,0.7,3.4,5.9,12.3,13.7,14,11.5,9.2,9.5,6,6.5,5.1,1.8,0.3
12,SPANISH                ,A,2014,3397,7.5,8.9,10.4,11.2,11.1,10.7,10,9.7,8.2,5.9,4.2,2,0.2,0
12,SPANISH                ,G,2014,1943,0.9,3.8,7.1,11.4,13.2,12.8,11.7,11,8,6.8,7.3,4.3,1.4,0.2
13,ITALIAN                ,A,2014,248,10.9,10.9,10.1,6.5,9.7,11.7,9.3,12.1,6,6,4,2.4,0.4,0
13,ITALIAN                ,G,2014,85,0,1.2,2.4,4.7,9.4,10.6,11.8,14.1,14.1,9.4,16.5,5.9,0,0
14,ART                    ,A,2014,7723,0.8,4,7.7,11.7,14.1,14.5,13.9,12.5,9.8,5.8,3.8,1.1,0.1,0.1
14,ART                    ,G,2014,2110,0.2,1.2,4.1,7.3,11,15.6,15.8,14.4,11,7.6,5.4,3.8,1.5,0.9
20,APPLIED MATHEMATICS    ,A,2014,1569,14.7,13.6,8.3,10,9.2,8,6.2,8.4,3.3,4.5,6,5.6,1.8,0.4
20,APPLIED MATHEMATICS    ,G,2014,137,37.2,4.4,13.1,3.6,5.1,8.8,3.6,4.4,6.6,3.6,0.7,2.9,4.4,1.5
