Subject,Level,Year,Total,DN,HM,MT,AD,PA,NG
GEOGRAPHY,C,2024,61498,3.5,23.8,45,19.9,7.3,0.5
GEOGRAPHY,C,2023,59966,3.7,26.5,42.9,19.4,7.2,0.4
GEOGRAPHY,C,2022,58608,2.6,23.6,46.1,20.4,6.9,0.4
,,,,,,,,,
FRENCH,C,2024,29257,4.1,20.9,35.7,23.1,14,2.1
FRENCH,C,2023,28873,4.1,22.4,36.3,20.7,14.7,1.8
FRENCH,C,2022,29267,4.1,19.9,37.4,25.9,11.5,1
,,,,,,,,,
GERMAN,C,2024,10603,4.3,24.4,38.9,19.8,10.5,2.1
GERMAN,C,2023,11209,4.6,28.3,37.2,18.6,9.6,1.7
GERMAN,C,2022,10740,3.5,22.1,42.3,21.2,9.8,1.2
,,,,,,,,,
SPANISH,C,2024,18426,4.1,27.4,41.7,17.7,7.8,1.3
SPANISH,C,2023,17160,4.2,29.6,37.5,17.2,9.4,2.1
SPANISH,C,2022,15761,3.2,24.8,41.1,20,9.5,1.4
,,,,,,,,,
ITALIAN,C,2024,535,7.9,21.1,39.4,21.7,8,1.9
ITALIAN,C,2023,497,9.5,18.9,38.6,22.1,9.5,1.4
ITALIAN,C,2022,459,7.4,26.1,42.9,16.6,5.2,1.7
,,,,,,,,,
ENGINEERING,C,2024,11724,4,32.5,31.6,16.2,12.2,3.4
ENGINEERING,C,2023,10245,3.8,33.1,29.7,16.5,13.3,3.6
ENGINEERING,C,2022,9050,2.3,29.8,35.6,16.3,12.5,3.6
,,,,,,,,,
BUSINESS STUDIES,C,2024,39060,3.6,27.1,43.7,16.4,7.6,1.6
BUSINESS STUDIES,C,2023,38544,3.8,26.1,43,17.9,7.7,1.5
BUSINESS STUDIES,C,2022,37342,3.4,22.1,43.2,21.6,8.7,1.1
,,,,,,,,,
MUSIC,C,2024,10376,4.6,39,37.8,11.5,5.6,1.5
MUSIC,C,2023,10989,4.6,38.6,40.8,10.6,4.4,1
MUSIC,C,2022,11447,6.5,38.3,38.5,11.1,4.7,1
,,,,,,,,,
HOME ECONOMICS,C,2024,26962,3.5,39.5,44,9.3,3.1,0.6
HOME ECONOMICS,C,2023,26764,3.2,36.4,45.7,11,3.1,0.7
HOME ECONOMICS,C,2022,26322,2.2,29.9,53.4,10.7,3.1,0.7
,,,,,,,,,
SCIENCE,C,2024,67707,3.5,27.5,45.8,16.2,6.5,0.5
SCIENCE,C,2023,65578,4,27.6,39.4,18.7,8.7,1.4
SCIENCE,C,2022,62554,3.8,25.4,41.7,19.3,8.9,0.9
,,,,,,,,,
CLASSICS,C,2024,1037,6,35.8,37.9,13,6.5,0.9
CLASSICS,C,2023,883,5.8,32.5,40.9,13.7,5.7,1.5
CLASSICS,C,2022,909,5.4,36.4,41.5,12,4.2,0.6
,,,,,,,,,
APPLIED TECHNOLOGY,C,2024,6565,3.9,25.6,46.7,15.5,6.5,1.8
APPLIED TECHNOLOGY,C,2023,6191,3.8,25.6,46.8,14.7,6.8,2.3
APPLIED TECHNOLOGY,C,2022,5662,2.2,19.4,42.9,22.3,10.7,2.5
,,,,,,,,,
WOOD TECHNOLOGY,C,2024,22230,3.8,32.3,50.9,9.5,2,1.5
WOOD TECHNOLOGY,C,2023,21644,3.4,31,51.2,10.5,2.4,1.6
WOOD TECHNOLOGY,C,2022,20203,2.3,32.8,51.2,9.7,2.1,1.7
,,,,,,,,,
GRAPHICS,C,2024,14966,4.2,25.1,39.3,17.6,10.8,2.9
GRAPHICS,C,2023,14379,4,26.9,40.6,16,9.8,2.6
GRAPHICS,C,2022,13883,4.6,23.6,40.1,17.7,10.4,3.6
,,,,,,,,,
RELIGIOUS EDUCATION,C,2024,26749,4.2,25,45.9,18.5,5.4,1
RELIGIOUS EDUCATION,C,2023,26087,3.9,26.8,48.2,15.8,4.6,0.8
RELIGIOUS EDUCATION,C,2022,25112,3.5,24.9,49.7,16.9,4.4,0.7
,,,,,,,,,
VISUAL ART,C,2024,24117,4.2,18.9,50.1,23.4,2.6,0.8
VISUAL ART,C,2023,22278,3.8,19.8,46.3,26.4,2.8,1
VISUAL ART,C,2022,20856,2.3,14.2,41.1,34.7,6.3,1.4
,,,,,,,,,
