"ID","GaelicKeywords","WordBreaks","GaelicKeywordsTraditionalSpelling","WordClass","WordClassMerged"
"49362","dubh-chreideamh, dhubh-chreideamh, dubh-chreideimh, dhubh-chreideimh, , , , , , , , dubh-chreideamhan, dhubh-chreideamhan, , , , , , , dubh-chreideamhaibh, dhubh-chreideamhaibh, dubh-chreideamhan, dhubh-chreideamhan, , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"49373","clàr-fearainn, chlàr-fearainn, chlàr-fhearainn, clàir-fhearainn, chlàir-fhearainn, , , , , , , , clàran-fearainn, chlàran-fearainn, , , , , , , , , clàran-fearainn, chlàran-fearainn, , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"49374","seirbheis fearainn, seirbheis fhearainn, ",", ",", ",,NULL
"49386","rothaiche, , rothaiche, , , , , , , , , rothaichean, , , , , , , , rothaichibh, , rothaichean, , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"49398","saoidhe, saoidh, shaoidhe, shaoidh, saoidhe, saoidh, shaoidhe, shaoidh, saoidhe, shaoidhe, , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","boir.","noun"
"49399","fàladair, fàldair, fhàladair, fhàladair, fàladair, fàldair, fhàladair, fhàladair, , , , , , , , fàladairean, fàldairean, fhàladairean, fhàldairean, , , , , , , fàladairibh, fàldairibh, fhàladairibh, fhàldairibh, fàladairean, fàldairean, fhàladairean, fhàldairean, , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"49419","ratreut, ra-treut, , ratreuta, ra-treuta, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"49424","bàrcadh, bhàrcadh, bàrcaidh, bhàrcaidh, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"49432","long-fhada, , luing-fhada, , luinge-fada, , , , , , , , , longan-fada, , , , , , , , , , longan-fada, , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","boir.","noun"
"49470","neach-nigheachain, fear-nigheachain, bean-nigheachain, neach-nigheachain, fhear-nigheachain, bhean-nigheachain, fir-nigheachain, luchd-nigheachain, fhir-nigheachain, luchd-nigheachain, fir-nigheachain, luchd-nigheachain, fhir-nigheachain, luchd-nigheachain, fear-nigheachain, luchd-nigheachain, fhear-nigheachain, luchd-nigheachain, mnà-nigheachain, mhnà-nigheachain, mnathan-nigheachain, mhnathan-nigheachain, ban-nigheachain, bhan-nigheachain, ",", , , , , , , , , , , , , , ",", , , , , , , , , , , , , , ","fir.","noun"
