"------------------------------------------------------------------"
"Sex, area background and ethnic group			"
"------------------------------------------------------------------"
"This file contains data used reported in the Sex, area background and ethnic group reports, covering all providers for whom reports have been published on the UCAS website."
"Cycle years: 2010 - 2021"
"Cycle reference point: End of Cycle"
"Applicant coverage: UK domiciled"
"Equality dimensions: Sex, POLAR4, SIMD 2016, ethnic group"
"Statistics reported:"
"June deadline applicants, placed June deadline applicants, all placed applicants, June deadline applicants per 10,000 population, placed June deadline applicants per 10,000 population,"
"all placed applicants per 10,000 population"
"June deadline applications, offers, offer rate, average offer rate, percentage point difference between offer rate and average offer rate, contribution of group to the average offer rate"
"Non-disclosure controls: To avoid the disclosure of information about any individual the following measures are taken"
"Applicants, placed applicants, applications and offers are rounded to the nearest 5."
"Applicants/placed applicants per 10,000 population figures are reported as 0 if the applicant/placed applicant figures are rounded to 0."
"All statistics related to the offer rate are not reported when the number of applications for a group is less than 10. The percentage point difference between the offer rate and"
"the average offer rate is not reported when the number of applications for a group is less than 50."
"Offer rates are reported as 0% if there are fewer than 5 offers, and 100% if the number of offers is within 5 of the number of applications. When the offer rate is reported as 0% or 100%,"
"it is reported in italics."
"------------------------------------------------------------------"
Please refer to the Sex, area background and ethnic group reports specified above for technical notes and definitions.
Data lines are comma delimited.
Data follows - 12312 lines in total
------------------------------------------------------------------
inst_cntry_2021_map,Cycle,statistic,equality_dimension,agegroup,value
English providers,2016,June deadline applicants,Total,18 year olds,253490
English providers,2016,June deadline applicants,White ethnic group,18 year olds,192995
English providers,2016,June deadline applicants,Black ethnic group,18 year olds,13590
English providers,2016,June deadline applicants,Asian ethnic group,18 year olds,30500
English providers,2016,June deadline applicants,Mixed ethnic group,18 year olds,11150
English providers,2016,June deadline applicants,Other ethnic group,18 year olds,3640
English providers,2016,June deadline applicants,POLAR4 Q1,18 year olds,27995
English providers,2016,June deadline applicants,POLAR4 Q2,18 year olds,38970
English providers,2016,June deadline applicants,POLAR4 Q3,18 year olds,47600
English providers,2016,June deadline applicants,POLAR4 Q4,18 year olds,57425
English providers,2016,June deadline applicants,POLAR4 Q5,18 year olds,81200
English providers,2016,June deadline applicants,Men,18 year olds,110385
English providers,2016,June deadline applicants,Women,18 year olds,143105
English providers,2017,June deadline applicants,Total,18 year olds,254545
English providers,2017,June deadline applicants,White ethnic group,18 year olds,191025
English providers,2017,June deadline applicants,Black ethnic group,18 year olds,13835
English providers,2017,June deadline applicants,Asian ethnic group,18 year olds,32235
English providers,2017,June deadline applicants,Mixed ethnic group,18 year olds,11800
English providers,2017,June deadline applicants,Other ethnic group,18 year olds,4045
English providers,2017,June deadline applicants,POLAR4 Q1,18 year olds,28425
English providers,2017,June deadline applicants,POLAR4 Q2,18 year olds,38775
English providers,2017,June deadline applicants,POLAR4 Q3,18 year olds,47850
English providers,2017,June deadline applicants,POLAR4 Q4,18 year olds,57650
English providers,2017,June deadline applicants,POLAR4 Q5,18 year olds,81565
English providers,2017,June deadline applicants,Men,18 year olds,111335
English providers,2017,June deadline applicants,Women,18 year olds,143210
English providers,2018,June deadline applicants,Total,18 year olds,250220
English providers,2018,June deadline applicants,White ethnic group,18 year olds,183640
English providers,2018,June deadline applicants,Black ethnic group,18 year olds,14530
English providers,2018,June deadline applicants,Asian ethnic group,18 year olds,34115
English providers,2018,June deadline applicants,Mixed ethnic group,18 year olds,11900
English providers,2018,June deadline applicants,Other ethnic group,18 year olds,4290
English providers,2018,June deadline applicants,POLAR4 Q1,18 year olds,27800
English providers,2018,June deadline applicants,POLAR4 Q2,18 year olds,38165
English providers,2018,June deadline applicants,POLAR4 Q3,18 year olds,46490
English providers,2018,June deadline applicants,POLAR4 Q4,18 year olds,57085
English providers,2018,June deadline applicants,POLAR4 Q5,18 year olds,80385
English providers,2018,June deadline applicants,Men,18 year olds,109030
English providers,2018,June deadline applicants,Women,18 year olds,141185
English providers,2019,June deadline applicants,Total,18 year olds,253550
English providers,2019,June deadline applicants,White ethnic group,18 year olds,180335
English providers,2019,June deadline applicants,Black ethnic group,18 year olds,15935
English providers,2019,June deadline applicants,Asian ethnic group,18 year olds,37715
English providers,2019,June deadline applicants,Mixed ethnic group,18 year olds,12805
English providers,2019,June deadline applicants,Other ethnic group,18 year olds,5005
English providers,2019,June deadline applicants,POLAR4 Q1,18 year olds,28660
English providers,2019,June deadline applicants,POLAR4 Q2,18 year olds,38165
English providers,2019,June deadline applicants,POLAR4 Q3,18 year olds,47505
English providers,2019,June deadline applicants,POLAR4 Q4,18 year olds,57935
English providers,2019,June deadline applicants,POLAR4 Q5,18 year olds,81000
English providers,2019,June deadline applicants,Men,18 year olds,110405
English providers,2019,June deadline applicants,Women,18 year olds,143145
English providers,2020,June deadline applicants,Total,18 year olds,260215
English providers,2020,June deadline applicants,White ethnic group,18 year olds,180375
English providers,2020,June deadline applicants,Black ethnic group,18 year olds,17285
English providers,2020,June deadline applicants,Asian ethnic group,18 year olds,41355
English providers,2020,June deadline applicants,Mixed ethnic group,18 year olds,13810
English providers,2020,June deadline applicants,Other ethnic group,18 year olds,5445
English providers,2020,June deadline applicants,POLAR4 Q1,18 year olds,30140
English providers,2020,June deadline applicants,POLAR4 Q2,18 year olds,39485
English providers,2020,June deadline applicants,POLAR4 Q3,18 year olds,48080
English providers,2020,June deadline applicants,POLAR4 Q4,18 year olds,59085
English providers,2020,June deadline applicants,POLAR4 Q5,18 year olds,83160
English providers,2020,June deadline applicants,Men,18 year olds,112550
English providers,2020,June deadline applicants,Women,18 year olds,147665
English providers,2021,June deadline applicants,Total,18 year olds,286385
English providers,2021,June deadline applicants,White ethnic group,18 year olds,196630
English providers,2021,June deadline applicants,Black ethnic group,18 year olds,19715
English providers,2021,June deadline applicants,Asian ethnic group,18 year olds,45605
English providers,2021,June deadline applicants,Mixed ethnic group,18 year olds,15980
English providers,2021,June deadline applicants,Other ethnic group,18 year olds,6260
