"------------------------------------------------------------------"
"Sex, area background and ethnic group			"
"------------------------------------------------------------------"
"This file contains data used reported in the Sex, area background and ethnic group reports, covering all providers for whom reports have been published on the UCAS website."
"Cycle years: 2010 - 2021"
"Cycle reference point: End of Cycle"
"Applicant coverage: UK domiciled"
"Equality dimensions: Sex, POLAR4, SIMD 2016, ethnic group"
"Statistics reported:"
"June deadline applicants, placed June deadline applicants, all placed applicants, June deadline applicants per 10,000 population, placed June deadline applicants per 10,000 population,"
"all placed applicants per 10,000 population"
"June deadline applications, offers, offer rate, average offer rate, percentage point difference between offer rate and average offer rate, contribution of group to the average offer rate"
"Non-disclosure controls: To avoid the disclosure of information about any individual the following measures are taken"
"Applicants, placed applicants, applications and offers are rounded to the nearest 5."
"Applicants/placed applicants per 10,000 population figures are reported as 0 if the applicant/placed applicant figures are rounded to 0."
"All statistics related to the offer rate are not reported when the number of applications for a group is less than 10. The percentage point difference between the offer rate and"
"the average offer rate is not reported when the number of applications for a group is less than 50."
"Offer rates are reported as 0% if there are fewer than 5 offers, and 100% if the number of offers is within 5 of the number of applications. When the offer rate is reported as 0% or 100%,"
"it is reported in italics."
"------------------------------------------------------------------"
Please refer to the Sex, area background and ethnic group reports specified above for technical notes and definitions.
Data lines are comma delimited.
Data follows - 12312 lines in total
------------------------------------------------------------------
inst_cntry_2021_map,Cycle,statistic,equality_dimension,agegroup,value
Northern Irish providers,2019,"June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,144.1
Northern Irish providers,2019,"June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,193.8
Northern Irish providers,2019,"June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,248.8
Northern Irish providers,2019,"June deadline applicants per 10,000 population",Men,18 year olds,130.5
Northern Irish providers,2019,"June deadline applicants per 10,000 population",Women,18 year olds,187.7
Northern Irish providers,2020,"June deadline applicants per 10,000 population",Total,18 year olds,157.5
Northern Irish providers,2020,"June deadline applicants per 10,000 population",White ethnic group,18 year olds,192.4
Northern Irish providers,2020,"June deadline applicants per 10,000 population",Black ethnic group,18 year olds,22.6
Northern Irish providers,2020,"June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,38.4
Northern Irish providers,2020,"June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,54.1
Northern Irish providers,2020,"June deadline applicants per 10,000 population",Other ethnic group,18 year olds,27.8
Northern Irish providers,2020,"June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,90.5
Northern Irish providers,2020,"June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,83.9
Northern Irish providers,2020,"June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,142.9
Northern Irish providers,2020,"June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,193.1
Northern Irish providers,2020,"June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,246.6
Northern Irish providers,2020,"June deadline applicants per 10,000 population",Men,18 year olds,126.3
Northern Irish providers,2020,"June deadline applicants per 10,000 population",Women,18 year olds,190.3
Northern Irish providers,2021,"June deadline applicants per 10,000 population",Total,18 year olds,170.2
Northern Irish providers,2021,"June deadline applicants per 10,000 population",White ethnic group,18 year olds,209.3
Northern Irish providers,2021,"June deadline applicants per 10,000 population",Black ethnic group,18 year olds,29
Northern Irish providers,2021,"June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,40.3
Northern Irish providers,2021,"June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,55.1
Northern Irish providers,2021,"June deadline applicants per 10,000 population",Other ethnic group,18 year olds,37.9
Northern Irish providers,2021,"June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,104.6
Northern Irish providers,2021,"June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,91.8
Northern Irish providers,2021,"June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,155.5
Northern Irish providers,2021,"June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,206.2
Northern Irish providers,2021,"June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,261.1
Northern Irish providers,2021,"June deadline applicants per 10,000 population",Men,18 year olds,138.5
Northern Irish providers,2021,"June deadline applicants per 10,000 population",Women,18 year olds,203.5
Northern Irish providers,2010,"Placed June deadline applicants per 10,000 population",Total,18 year olds,71
Northern Irish providers,2010,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,82.6
Northern Irish providers,2010,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,0
Northern Irish providers,2010,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,3.7
Northern Irish providers,2010,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,8.2
Northern Irish providers,2010,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,3.9
Northern Irish providers,2010,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,31.6
Northern Irish providers,2010,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,31
Northern Irish providers,2010,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,57.6
Northern Irish providers,2010,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,88.1
Northern Irish providers,2010,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,135.6
Northern Irish providers,2010,"Placed June deadline applicants per 10,000 population",Men,18 year olds,64.2
Northern Irish providers,2010,"Placed June deadline applicants per 10,000 population",Women,18 year olds,77.9
Northern Irish providers,2011,"Placed June deadline applicants per 10,000 population",Total,18 year olds,68.8
Northern Irish providers,2011,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,80.8
Northern Irish providers,2011,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,0
Northern Irish providers,2011,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,4.8
Northern Irish providers,2011,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,11.1
Northern Irish providers,2011,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,4.9
Northern Irish providers,2011,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,27
Northern Irish providers,2011,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,29
Northern Irish providers,2011,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,54.5
Northern Irish providers,2011,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,92.4
Northern Irish providers,2011,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,129.5
Northern Irish providers,2011,"Placed June deadline applicants per 10,000 population",Men,18 year olds,62.9
Northern Irish providers,2011,"Placed June deadline applicants per 10,000 population",Women,18 year olds,75
Northern Irish providers,2012,"Placed June deadline applicants per 10,000 population",Total,18 year olds,72.3
Northern Irish providers,2012,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,85.4
Northern Irish providers,2012,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,2.5
Northern Irish providers,2012,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,5.4
Northern Irish providers,2012,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,8.4
Northern Irish providers,2012,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,6.8
Northern Irish providers,2012,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,30
Northern Irish providers,2012,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,32.6
Northern Irish providers,2012,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,56.2
Northern Irish providers,2012,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,97.6
Northern Irish providers,2012,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,132
Northern Irish providers,2012,"Placed June deadline applicants per 10,000 population",Men,18 year olds,64.2
Northern Irish providers,2012,"Placed June deadline applicants per 10,000 population",Women,18 year olds,80.8
Northern Irish providers,2013,"Placed June deadline applicants per 10,000 population",Total,18 year olds,76.3
Northern Irish providers,2013,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,91.1
Northern Irish providers,2013,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,2.7
Northern Irish providers,2013,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,5.6
Northern Irish providers,2013,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,8.9
Northern Irish providers,2013,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,3.3
Northern Irish providers,2013,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,30.2
Northern Irish providers,2013,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,32.5
Northern Irish providers,2013,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,60.4
Northern Irish providers,2013,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,100.8
Northern Irish providers,2013,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,141.9
Northern Irish providers,2013,"Placed June deadline applicants per 10,000 population",Men,18 year olds,70.2
Northern Irish providers,2013,"Placed June deadline applicants per 10,000 population",Women,18 year olds,82.8
Northern Irish providers,2014,"Placed June deadline applicants per 10,000 population",Total,18 year olds,74
Northern Irish providers,2014,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,89
Northern Irish providers,2014,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,2.6
Northern Irish providers,2014,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,6.3
Northern Irish providers,2014,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,9.7
Northern Irish providers,2014,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,5.4
Northern Irish providers,2014,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,34.1
Northern Irish providers,2014,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,35
Northern Irish providers,2014,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,64.2
Northern Irish providers,2014,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,97.3
Northern Irish providers,2014,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,126.9
Northern Irish providers,2014,"Placed June deadline applicants per 10,000 population",Men,18 year olds,66.5
Northern Irish providers,2014,"Placed June deadline applicants per 10,000 population",Women,18 year olds,82
Northern Irish providers,2015,"Placed June deadline applicants per 10,000 population",Total,18 year olds,66.3
Northern Irish providers,2015,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,79.8
Northern Irish providers,2015,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,1.6
Northern Irish providers,2015,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,6.5
Northern Irish providers,2015,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,12.6
Northern Irish providers,2015,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,4.1
Northern Irish providers,2015,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,29.8
Northern Irish providers,2015,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,30.6
Northern Irish providers,2015,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,58.9
Northern Irish providers,2015,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,88.6
Northern Irish providers,2015,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,112.2
Northern Irish providers,2015,"Placed June deadline applicants per 10,000 population",Men,18 year olds,58
Northern Irish providers,2015,"Placed June deadline applicants per 10,000 population",Women,18 year olds,75
Northern Irish providers,2016,"Placed June deadline applicants per 10,000 population",Total,18 year olds,68.5
Northern Irish providers,2016,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,83.1
Northern Irish providers,2016,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,1.9
Northern Irish providers,2016,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,7.6
Northern Irish providers,2016,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,10.2
Northern Irish providers,2016,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,0
Northern Irish providers,2016,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,33.1
Northern Irish providers,2016,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,35.2
Northern Irish providers,2016,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,57.4
Northern Irish providers,2016,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,93.5
Northern Irish providers,2016,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,110.5
Northern Irish providers,2016,"Placed June deadline applicants per 10,000 population",Men,18 year olds,62.4
Northern Irish providers,2016,"Placed June deadline applicants per 10,000 population",Women,18 year olds,74.9
Northern Irish providers,2017,"Placed June deadline applicants per 10,000 population",Total,18 year olds,65.5
Northern Irish providers,2017,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,80.1
Northern Irish providers,2017,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,2.9
Northern Irish providers,2017,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,5.4
Northern Irish providers,2017,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,9
Northern Irish providers,2017,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,2.9
Northern Irish providers,2017,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,33
Northern Irish providers,2017,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,35.5
Northern Irish providers,2017,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,58.9
Northern Irish providers,2017,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,83.8
Northern Irish providers,2017,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,104.2
Northern Irish providers,2017,"Placed June deadline applicants per 10,000 population",Men,18 year olds,56.6
Northern Irish providers,2017,"Placed June deadline applicants per 10,000 population",Women,18 year olds,74.8
Northern Irish providers,2018,"Placed June deadline applicants per 10,000 population",Total,18 year olds,66.6
Northern Irish providers,2018,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,81.9
Northern Irish providers,2018,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,3.1
Northern Irish providers,2018,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,7.7
Northern Irish providers,2018,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,14.5
Northern Irish providers,2018,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,5.6
Northern Irish providers,2018,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,34.8
Northern Irish providers,2018,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,32.1
Northern Irish providers,2018,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,60.8
Northern Irish providers,2018,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,87.4
Northern Irish providers,2018,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,105.3
Northern Irish providers,2018,"Placed June deadline applicants per 10,000 population",Men,18 year olds,59.7
Northern Irish providers,2018,"Placed June deadline applicants per 10,000 population",Women,18 year olds,73.9
Northern Irish providers,2019,"Placed June deadline applicants per 10,000 population",Total,18 year olds,72
Northern Irish providers,2019,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,90
Northern Irish providers,2019,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,2.1
Northern Irish providers,2019,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,8.2
Northern Irish providers,2019,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,9.1
Northern Irish providers,2019,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,4.5
Northern Irish providers,2019,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,36.8
Northern Irish providers,2019,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,38.1
Northern Irish providers,2019,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,66.4
Northern Irish providers,2019,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,93.7
Northern Irish providers,2019,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,111.2
Northern Irish providers,2019,"Placed June deadline applicants per 10,000 population",Men,18 year olds,62.7
Northern Irish providers,2019,"Placed June deadline applicants per 10,000 population",Women,18 year olds,81.8
Northern Irish providers,2020,"Placed June deadline applicants per 10,000 population",Total,18 year olds,88
Northern Irish providers,2020,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,110.6
Northern Irish providers,2020,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,4.2
Northern Irish providers,2020,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,10.8
Northern Irish providers,2020,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,21
Northern Irish providers,2020,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,5.4
Northern Irish providers,2020,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,49.8
Northern Irish providers,2020,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,43.3
Northern Irish providers,2020,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,81.6
Northern Irish providers,2020,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,112.5
Northern Irish providers,2020,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,135.9
Northern Irish providers,2020,"Placed June deadline applicants per 10,000 population",Men,18 year olds,76.6
Northern Irish providers,2020,"Placed June deadline applicants per 10,000 population",Women,18 year olds,100
Northern Irish providers,2021,"Placed June deadline applicants per 10,000 population",Total,18 year olds,86.8
Northern Irish providers,2021,"Placed June deadline applicants per 10,000 population",White ethnic group,18 year olds,110.4
Northern Irish providers,2021,"Placed June deadline applicants per 10,000 population",Black ethnic group,18 year olds,2.3
Northern Irish providers,2021,"Placed June deadline applicants per 10,000 population",Asian ethnic group,18 year olds,10.6
Northern Irish providers,2021,"Placed June deadline applicants per 10,000 population",Mixed ethnic group,18 year olds,12.4
Northern Irish providers,2021,"Placed June deadline applicants per 10,000 population",Other ethnic group,18 year olds,9.7
Northern Irish providers,2021,"Placed June deadline applicants per 10,000 population",POLAR4 Q1,18 year olds,50.9
Northern Irish providers,2021,"Placed June deadline applicants per 10,000 population",POLAR4 Q2,18 year olds,44.2
Northern Irish providers,2021,"Placed June deadline applicants per 10,000 population",POLAR4 Q3,18 year olds,81.2
Northern Irish providers,2021,"Placed June deadline applicants per 10,000 population",POLAR4 Q4,18 year olds,111.7
Northern Irish providers,2021,"Placed June deadline applicants per 10,000 population",POLAR4 Q5,18 year olds,130.3
Northern Irish providers,2021,"Placed June deadline applicants per 10,000 population",Men,18 year olds,79
Northern Irish providers,2021,"Placed June deadline applicants per 10,000 population",Women,18 year olds,95
Northern Irish providers,2010,"All placed applicants per 10,000 population",Total,18 year olds,75.1
Northern Irish providers,2010,"All placed applicants per 10,000 population",White ethnic group,18 year olds,87.4
Northern Irish providers,2010,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,0
Northern Irish providers,2010,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,3.9
Northern Irish providers,2010,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,10.8
Northern Irish providers,2010,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,3.9
Northern Irish providers,2010,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,33.2
Northern Irish providers,2010,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,32.7
Northern Irish providers,2010,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,61.1
Northern Irish providers,2010,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,93.6
Northern Irish providers,2010,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,143.4
Northern Irish providers,2010,"All placed applicants per 10,000 population",Men,18 year olds,68.3
Northern Irish providers,2010,"All placed applicants per 10,000 population",Women,18 year olds,82.2
Northern Irish providers,2011,"All placed applicants per 10,000 population",Total,18 year olds,72.9
Northern Irish providers,2011,"All placed applicants per 10,000 population",White ethnic group,18 year olds,85.4
Northern Irish providers,2011,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,0
Northern Irish providers,2011,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,5.6
Northern Irish providers,2011,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,12.8
Northern Irish providers,2011,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,4.9
Northern Irish providers,2011,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,28.3
Northern Irish providers,2011,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,30.8
Northern Irish providers,2011,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,57.6
Northern Irish providers,2011,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,98.1
Northern Irish providers,2011,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,137.1
Northern Irish providers,2011,"All placed applicants per 10,000 population",Men,18 year olds,66.2
Northern Irish providers,2011,"All placed applicants per 10,000 population",Women,18 year olds,79.8
Northern Irish providers,2012,"All placed applicants per 10,000 population",Total,18 year olds,77.2
Northern Irish providers,2012,"All placed applicants per 10,000 population",White ethnic group,18 year olds,91.1
Northern Irish providers,2012,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,2.8
Northern Irish providers,2012,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,6.3
Northern Irish providers,2012,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,9.2
Northern Irish providers,2012,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,6.8
Northern Irish providers,2012,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,31.8
Northern Irish providers,2012,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,34.8
Northern Irish providers,2012,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,60.1
Northern Irish providers,2012,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,104.5
Northern Irish providers,2012,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,140.9
Northern Irish providers,2012,"All placed applicants per 10,000 population",Men,18 year olds,68.6
Northern Irish providers,2012,"All placed applicants per 10,000 population",Women,18 year olds,86.3
Northern Irish providers,2013,"All placed applicants per 10,000 population",Total,18 year olds,81.4
Northern Irish providers,2013,"All placed applicants per 10,000 population",White ethnic group,18 year olds,97.1
Northern Irish providers,2013,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,2.7
Northern Irish providers,2013,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,6.4
Northern Irish providers,2013,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,9.6
Northern Irish providers,2013,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,3.3
Northern Irish providers,2013,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,32.7
Northern Irish providers,2013,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,34.5
Northern Irish providers,2013,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,64.6
Northern Irish providers,2013,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,107.3
Northern Irish providers,2013,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,151.1
Northern Irish providers,2013,"All placed applicants per 10,000 population",Men,18 year olds,74.1
Northern Irish providers,2013,"All placed applicants per 10,000 population",Women,18 year olds,89.1
Northern Irish providers,2014,"All placed applicants per 10,000 population",Total,18 year olds,79.1
Northern Irish providers,2014,"All placed applicants per 10,000 population",White ethnic group,18 year olds,95
Northern Irish providers,2014,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,3
Northern Irish providers,2014,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,6.9
Northern Irish providers,2014,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,11.1
Northern Irish providers,2014,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,6.4
Northern Irish providers,2014,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,36.6
Northern Irish providers,2014,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,37.5
Northern Irish providers,2014,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,68.3
Northern Irish providers,2014,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,104.2
Northern Irish providers,2014,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,135.8
Northern Irish providers,2014,"All placed applicants per 10,000 population",Men,18 year olds,71
Northern Irish providers,2014,"All placed applicants per 10,000 population",Women,18 year olds,87.8
Northern Irish providers,2015,"All placed applicants per 10,000 population",Total,18 year olds,69.7
Northern Irish providers,2015,"All placed applicants per 10,000 population",White ethnic group,18 year olds,83.9
Northern Irish providers,2015,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,2.5
Northern Irish providers,2015,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,6.9
Northern Irish providers,2015,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,12.6
Northern Irish providers,2015,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,4.1
Northern Irish providers,2015,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,31.4
Northern Irish providers,2015,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,32
Northern Irish providers,2015,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,61.8
Northern Irish providers,2015,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,94.5
Northern Irish providers,2015,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,116.9
Northern Irish providers,2015,"All placed applicants per 10,000 population",Men,18 year olds,60.6
Northern Irish providers,2015,"All placed applicants per 10,000 population",Women,18 year olds,79.2
Northern Irish providers,2016,"All placed applicants per 10,000 population",Total,18 year olds,73.5
Northern Irish providers,2016,"All placed applicants per 10,000 population",White ethnic group,18 year olds,89.1
Northern Irish providers,2016,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,2.6
Northern Irish providers,2016,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,9.4
Northern Irish providers,2016,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,11.4
Northern Irish providers,2016,"All placed applicants per 10,000 population",Other ethnic group,18 year olds,0
Northern Irish providers,2016,"All placed applicants per 10,000 population",POLAR4 Q1,18 year olds,35.4
Northern Irish providers,2016,"All placed applicants per 10,000 population",POLAR4 Q2,18 year olds,38
Northern Irish providers,2016,"All placed applicants per 10,000 population",POLAR4 Q3,18 year olds,62.8
Northern Irish providers,2016,"All placed applicants per 10,000 population",POLAR4 Q4,18 year olds,100.3
Northern Irish providers,2016,"All placed applicants per 10,000 population",POLAR4 Q5,18 year olds,117.8
Northern Irish providers,2016,"All placed applicants per 10,000 population",Men,18 year olds,66.3
Northern Irish providers,2016,"All placed applicants per 10,000 population",Women,18 year olds,81.2
Northern Irish providers,2017,"All placed applicants per 10,000 population",Total,18 year olds,72.5
Northern Irish providers,2017,"All placed applicants per 10,000 population",White ethnic group,18 year olds,88.7
Northern Irish providers,2017,"All placed applicants per 10,000 population",Black ethnic group,18 year olds,3.2
Northern Irish providers,2017,"All placed applicants per 10,000 population",Asian ethnic group,18 year olds,6.5
Northern Irish providers,2017,"All placed applicants per 10,000 population",Mixed ethnic group,18 year olds,10.3
